"V1" "V2" "V3"
"1" 41300.3984375 30231.99609375 22268.75390625
"2" 41627.6177 28286.4563 21651.5941
"3" 41907.0627 26343.1368 21066.7301
"4" 41615.593 24366.5647 20540.5137
"5" 40952.1461 22435.4334 20222.2669
"6" 40245.3306 20499.9684 20022.9904
"7" 39387.9698 18630.1291 19942.537
"8" 38609.1107 16716.338 19868.3014
"9" 37900.3718 14779.5305 19766.7745
"10" 37273.8821 12815.1938 19616.3285
"11" 36594.8017 10868.7205 19472.2632
"12" 35676.3435 9015.0822 19377.6594
"13" 34705.466 7192.5799 19233.1558
"14" 33558.7079 5493.942 19094.5745
"15" 32042.0912 4130.0028 18971.875
"16" 30074.609375 3549.76220703125 18916.68359375
"17" 42224.55078125 51396.421875 8349.4501953125
"18" 43459.6658 51705.0999 9532.5901
"19" 45022.1023 51694.6976 9964.3328
"20" 46532.4598 51061.513 9364.4726
"21" 48112.0383 50545.837 8914.1827
"22" 49690.0672 51130.9954 8652.7438
"23" 50640.8786 52310.6315 7873.2213
"24" 50678.2676 53708.9948 6914.2128
"25" 49464.0394 54526.8975 6493.1796
"26" 47741.067 54509.8698 6439.1365
"27" 46177.8707 54787.3772 7169.2337
"28" 44691.6247 54661.6671 7839.9842
"29" 43204.7086 54059.8231 7304.3182
"30" 42190.4732 52739.2882 7277.2396
"31" 41300.3984375 30231.99609375 22268.75390625
"32" 35732.23828125 33199.9609375 19708.27734375
"33" 33636.625 14009.916015625 33152.8125
"34" 32815.7989 15221.0351 33735.4716
"35" 32578.4292 16706.5391 34201.6668
"36" 32653.4831 18202.1425 34681.6401
"37" 33260.1292 19643.3899 34921.9798
"38" 34108.1238 20968.1426 35101.0711
"39" 35083.5087 22224.5269 35012.4606
"40" 36133.9427 23393.4897 34831.954
"41" 37297.7709 24135.0054 34099.331
"42" 38426.8707 24363.6728 33089.8659
"43" 39434.102 23738.6436 32023.6519
"44" 40221.6155 22842.2021 30999.207
"45" 40811.5516 21683.303 30090.3863
"46" 41121.4713 20364.3571 29286.2716
"47" 41094.7533 18934.4469 28581.5507
"48" 40852.2842 17462.2165 28045.7686
"49" 40271.3532 15999.3932 27836.0788
"50" 39592.537 14559.0007 27860.1727
"51" 38627.5674 13372.3766 28251.5826
"52" 37595.7739 12553.0129 29130.8406
