"V1" "V2" "V3"
"1" 4.04102420806885 20.4094753265381 15.0645780563354
"2" 4.3517 19.7929 14.2548
"3" 4.7005 19.2933 13.3824
"4" 5.1564 19.0004 12.4867
"5" 5.4639 18.6293 11.5496
"6" 5.9174 18.4309 10.6057
"7" 6.4647 18.1827 9.7264
"8" 7.0572 17.987 8.8622
"9" 7.7357 17.8635 8.0598
"10" 8.3409 17.8761 7.2018
"11" 9.0529 17.9245 6.4112
"12" 9.786 17.9972 5.64
"13" 10.472 17.9023 4.8472
"14" 11.0589 17.4255 4.1
"15" 11.6821 16.844 3.5969
"16" 12.6567134857178 17.1435947418213 3.37158489227295
"17" 5.30809593200684 17.1670780181885 24.4614639282227
"18" 4.6742 17.3506 24.4142
"19" 4.0283 17.411 24.6136
"20" 3.3602 17.4598 24.6619
"21" 2.705 17.3688 24.5114
"22" 2.2224 17.028 24.7063
"23" 2.1857 16.6201 25.2355
"24" 2.2813 16.3837 25.856
"25" 2.8324 16.4464 26.153
"26" 3.4977 16.5368 26.1231
"27" 4.137 16.318 26.081
"28" 4.6998 16.141 25.8317
"29" 5.1555 16.2671 25.3603
"30" 5.4057 16.666 24.887
"31" 4.04102420806885 20.4094753265381 15.0645780563354
"32" 9.52928161621094 19.1703414916992 9.15327262878418
"33" 9.18775749206543 27.4246520996094 6.63465166091919
"34" 9.3748 28.4115 7.7263
"35" 9.6562 29.1661 8.9921
"36" 9.7753 29.8131 10.3382
"37" 9.5439 30.2798 11.7431
"38" 8.5631 30.3772 12.8547
"39" 7.4573 30.1119 13.8361
"40" 6.3177 29.6733 14.7079
"41" 5.2744 29.0664 15.6054
"42" 4.4847 28.0208 16.2999
"43" 3.6407 26.7958 16.3307
"44" 3.0956 25.4577 15.9572
"45" 3.116 24.0913 15.3643
"46" 3.4794 22.9371 14.476
"47" 3.8992 22.0806 13.3192
"48" 4.6794 21.526 12.1662
"49" 5.5778 21.2206 10.9983
"50" 6.3482 21.2064 9.7152
"51" 7.1471 21.3441 8.446
"52" 7.8328 22.0829 7.3601
"53" 8.3575 23.1843 6.5065
"54" 8.6418 24.6062 6.1123
"55" 8.8487 26.0725 6.0604
"56" 6.30891990661621 21.0296516418457 16.6737995147705
"57" 6.6421 20.6277 15.2391
"58" 6.8012 20.3837 13.7171
"59" 7.3922 20.0169 12.3155
"60" 8.2144 19.6279 11.0343
"61" 8.9566 19.2573 9.697
"62" 9.8742 19.0813 8.4382
"63" 10.6691 19.1932 7.0869
"64" 11.9025 19.4675 6.2081
"65" 13.3976125717163 19.6499080657959 6.05392742156982
"66" 6.30891990661621 21.0296516418457 16.6737995147705
"67" 14.0072555541992 25.5920085906982 1.48055648803711
"68" 13.3976125717163 19.6499080657959 6.05392742156982
"69" 14.0072555541992 25.5920085906982 1.48055648803711
"70" 14.2825 26.8861 2.9554
"71" 14.3941 27.7086 4.7604
"72" 14.5411 28.6392 6.5149
"73" 14.6796 29.3453 8.3701
"74" 14.6722 29.9486 10.2644
"75" 14.7208 30.4271 12.1973
"76" 14.8482 30.6316 14.1748
"77" 15.0523 30.6947 16.155
"78" 15.23 30.6357 18.1406
"79" 15.28 30.6211 20.1327
"80" 15.2787 30.5635 22.1249
"81" 15.3646 30.4057 24.1085
"82" 15.4672 30.2548 26.0856
"83" 15.3785 29.8516 28.0352
"84" 15.3812 29.495 29.9941
"85" 15.3503 29.2833 31.9607
"86" 15.2342 29.0718 33.9369
"87" 15.1982307434082 28.9351367950439 35.9069938659668
"88" 13.8150043487549 19.1862773895264 36.2897567749023
"89" 15.1982307434082 28.9351367950439 35.9069938659668
"90" 12.6567134857178 17.1435947418213 3.37158489227295
"91" 22.3493347167969 16.9297637939453 14.6228647232056
"92" 21.6434 16.3554 13.8046
"93" 21.0043 16.059 12.7959
"94" 20.4103 15.9622 11.7249
"95" 19.7577 15.935 10.6813
"96" 19.0805 15.8554 9.6601
"97" 18.3407 15.9478 8.6909
"98" 17.595 16.1206 7.7291
"99" 16.9036 16.449 6.7646
"100" 16.1356 16.8197 5.8835
"101" 15.3253 17.0715 4.9922
"102" 14.519 16.8959 4.1192
"103" 13.6003 16.4065 3.5583
"104" 12.6567134857178 17.1435947418213 3.37158489227295
"105" 22.3493347167969 16.9297637939453 14.6228647232056
"106" 16.4820461273193 17.9714393615723 9.03165340423584
"107" 19.6970977783203 25.5491046905518 6.27493286132812
"108" 20.1878 26.2923 7.575
"109" 20.2969 27.1073 8.9165
"110" 20.4393 27.7406 10.3367
"111" 20.9684 27.9476 11.773
"112" 22.0601 27.6299 12.8517
"113" 23.1138 26.9356 13.7917
"114" 23.9921 26.0918 14.7794
"115" 24.5849 24.9158 15.5752
"116" 25.004 23.4475 15.8064
"117" 25.0516 21.9361 15.6162
"118" 24.709 20.4722 15.1594
"119" 23.8752 19.428 14.3453
"120" 23.0858 18.5594 13.2967
"121" 22.0935 18.2834 12.104
"122" 21.1086 18.1499 10.8781
"123" 20.2848 18.3909 9.5672
"124" 19.4942 18.85 8.2982
"125" 18.9841 19.8241 7.2143
"126" 18.8645 21.1374 6.3541
"127" 19.0655 22.6095 5.8296
"128" 19.3068 24.1199 5.73
"129" 20.7146034240723 18.5741271972656 16.2798862457275
"130" 19.9902 18.2865 15.0116
"131" 19.6324 18.0634 13.5288
"132" 18.8458 17.9146 12.2131
"133" 17.9664 17.8333 10.9457
"134" 17.0547 17.7404 9.703
"135" 16.1806 17.9365 8.4478
"136" 15.4575 18.3236 7.1412
"137" 14.548 18.8284 6.0067
"138" 13.3976125717163 19.6499080657959 6.05392742156982
"139" 20.7146034240723 18.5741271972656 16.2798862457275
"140" 5.04789257049561 16.896541595459 24.6497859954834
"141" 5.06746673583984 16.6916809082031 24.8601951599121
"142" 5.09351015090942 16.5585994720459 24.987699508667
"143" 5.00977325439453 16.2250747680664 25.4247303009033
"144" 4.82645034790039 16.1132831573486 25.7272853851318
"145" 4.85561609268188 16.9363307952881 24.669620513916
"146" 4.86026000976562 16.8589000701904 24.7495002746582
"147" 4.79406976699829 16.7526245117188 24.9088973999023
"148" 4.59401988983154 16.2807006835938 25.6224994659424
"149" 4.46346664428711 16.3027000427246 25.7052383422852
"150" 4.54166030883789 17.1288452148438 24.6331558227539
"151" 4.4527006149292 16.9891128540039 24.8337631225586
"152" 4.44427013397217 16.8052005767822 25.0883007049561
"153" 4.24848556518555 16.4351024627686 25.6887588500977
