"V1" "V2" "V3"
"1" 74.3319549560547 64.1777801513672 40.4475631713867
"2" 74.8676 59.6234 40.6162
"3" 75.4328 55.1308 39.9596
"4" 74.5371 50.6968 39.2184
"5" 72.9274 46.3899 38.9166
"6" 71.5105 42.034 38.5203
"7" 69.6298 37.858 38.1263
"8" 67.7237 33.6643 37.983
"9" 65.7624 29.5 37.7803
"10" 63.945 25.2732 37.5523
"11" 62.2671 20.9957 37.1886
"12" 60.2201 16.8736 37.0729
"13" 57.598 13.0943 37.0203
"14" 54.449 9.7587 36.7848
"15" 50.7447 7.0794 36.5599
"16" 46.2774887084961 6.13831329345703 36.932258605957
"17" 74.2542953491211 102.007026672363 19.4217128753662
"18" 76.3571 101.4099 22.0631
"19" 79.742 102.5664 22.1618
"20" 82.6078 102.2477 20.1403
"21" 85.8018 101.202 18.8331
"22" 89.0534 101.2154 17.6761
"23" 90.4277 103.786 15.7317
"24" 90.1731 107.1392 14.4716
"25" 88.4433 110.2509 14.5257
"26" 85.2961 111.1271 15.7181
"27" 82.158 110.5789 17.3925
"28" 78.844 109.4244 17.468
"29" 75.7551 107.7216 16.6712
"30" 73.8749 105.1039 17.5548
"31" 74.3319549560547 64.1777801513672 40.4475631713867
"32" 59.1003341674805 56.2117004394531 41.563419342041
"33" 51.0844497680664 17.5500469207764 55.9007263183594
"34" 51.375 19.4357 56.8851
"35" 51.8829 21.4581 57.3632
"36" 52.7055 23.4403 57.5304
"37" 53.7856 25.3026 57.662
"38" 55.3637 26.7266 57.3899
"39" 57.0443 27.9956 56.954
"40" 58.7555 28.903 56.065
"41" 60.4706 29.0836 54.8073
"42" 61.8999 28.9046 53.335
"43" 63.0476 27.9281 51.8058
"44" 63.6915 26.6974 50.2495
"45" 63.6918 24.784 49.283
"46" 63.0786 22.7911 48.7525
"47" 62.3547 20.7797 48.4658
"48" 61.4447 18.8301 48.3619
"49" 60.3193 16.9918 48.3952
"50" 58.8416 15.4966 48.8234
"51" 57.2916 14.2875 49.6281
"52" 55.7009 13.6297 50.8971
"53" 54.1275 13.5246 52.3402
"54" 52.7316 14.1813 53.8262
"55" 51.8755 15.8133 54.8937
"56" 70.9686737060547 70.4660720825195 37.3293037414551
"57" 66.4915 64.2596 38.4034
"58" 61.4264 58.6706 40.1616
"59" 57.6753 52.2773 42.3363
"60" 54.5639 45.2457 43.165
"61" 52.3485 37.8258 42.8796
"62" 50.1091 30.4857 41.8799
"63" 48.4508 23.0487 40.9688
"64" 48.2877 15.3675 41.4875
"65" 46.0452308654785 8.16751384735107 41.1341819763184
"66" 70.9686737060547 70.4660720825195 37.3293037414551
"67" 45.8494606018066 7.14167022705078 49.8141250610352
