"V1" "V2" "V3"
"1" 27.7465133666992 17.897253036499 8.33401012420654
"2" 27.4868 16.8953 7.8427
"3" 27.0864 15.909 7.4183
"4" 26.6304 14.9339 7.0248
"5" 26.1353 13.9385 6.7663
"6" 25.5421 13.0062 6.4773
"7" 24.8984 12.0589 6.4056
"8" 24.1987 11.1929 6.1538
"9" 23.4606 10.3186 6.1091
"10" 22.6238 9.5406 6.005
"11" 21.7647 8.7844 6.0716
"12" 20.8424 8.1066 6.1625
"13" 19.8912 7.484 6.3275
"14" 18.9062 6.9219 6.5054
"15" 17.8926 6.4192 6.7037
"16" 16.880126953125 6.15739631652832 7.16006278991699
"17" 27.73974609375 33.0390014648438 5.73547077178955
"18" 28.2907 32.7948 5.9287
"19" 28.8918 32.9825 6.121
"20" 29.4748 33.0901 6.3105
"21" 29.9659 32.7296 6.5171
"22" 30.4182 32.5702 6.4976
"23" 30.7615 33.0089 6.1949
"24" 30.8892 33.6191 5.9988
"25" 30.4845 33.8658 5.8457
"26" 29.8712 34.0488 5.7056
"27" 29.2978 34.2233 5.4484
"28" 28.7036 34.3337 5.1976
"29" 28.1781 34.0799 5.1962
"30" 27.8426 33.5924 5.3931
"31" 27.7465133666992 17.897253036499 8.33401012420654
"32" 20.4998512268066 11.2950096130371 7.05329704284668
"33" 18.972017288208 9.75476741790771 13.0892829895019
"34" 18.4313 10.6124 14.0348
"35" 18.146 11.7118 14.8176
"36" 18.188 12.9896 15.3566
"37" 18.4498 14.2593 15.8229
"38" 19.0719 15.4711 16.1071
"39" 19.824 16.6059 16.2801
"40" 20.9852 17.365 16.4071
"41" 22.1801 18.0648 16.5344
"42" 23.437 18.0693 16.0615
"43" 24.4662 17.7293 15.2005
"44" 25.1951 17.4188 14.0666
"45" 25.6891 16.8489 12.8956
"46" 26.0331 16.1837 11.7337
"47" 25.9425 15.2145 10.7484
"48" 25.6014 14.2525 9.8096
"49" 25.0436 13.1422 9.2227
"50" 24.2836 12.0278 8.9024
"51" 23.3305 11.0145 8.8548
"52" 22.3165 10.1122 9.0772
"53" 21.3234 9.4579 9.7741
"54" 20.4733 9.205 10.8208
"55" 19.7563 9.4524 11.9781
"56" 25.0156917572021 19.2565059661865 8.0710620880127
