"V1" "V2" "V3"
"1" 195.385803222656 124.894180297852 76.5796966552734
"2" 193.9217 114.3438 78.9084
"3" 191.0421 104.7313 81.5456
"4" 186.8334 95.0394 84.3575
"5" 183.5482 84.9952 86.9969
"6" 178.794 75.5376 89.6766
"7" 173.1586 66.6952 92.5609
"8" 167.3229 58.9843 97.4145
"9" 162.5898 52.1923 104.4682
"10" 158.9612 49.6785 113.2045
"11" 158.9055 51.0476 123.6436
"12" 154.3063 44.3067 128.9582
"13" 150.1489 36.5817 122.7543
"14" 142.4388 33.0266 126.6553
"15" 135.2073 32.4404 134.6706
"16" 127.160858154297 32.8056030273438 141.734039306641
"17" 179.893753051758 142.595489501953 20.3088264465332
"18" 181.9902 143.1887 24.1607
"19" 185.9947 142.7747 26.3313
"20" 190.2287 142.0902 25.7682
"21" 194.5383 143.3968 24.5436
"22" 198.5836 145.2646 23.2064
"23" 200.9997 148.6366 21.3745
"24" 201.1678 149.6649 16.8201
"25" 198.56 150.292 13.0781
"26" 194.9564 148.2935 11.0843
"27" 190.3558 147.6996 11.4692
"28" 185.7848 147.3085 11.0306
"29" 181.8026 145.7219 12.1141
"30" 180.2469 143.2424 15.7081
"31" 195.385803222656 124.894180297852 76.5796966552734
"32" 147.429092407227 65.113037109375 118.82682800293
"33" 155.886932373047 100.933395385742 166.421722412109
"34" 156.0007 110.3748 169.3832
"35" 156.7434 120.2227 167.6878
"36" 159.1203 129.6899 165.9201
"37" 160.1976 137.9258 160.4691
"38" 164.4178 144.7787 154.7593
"39" 167.2567 152.1324 148.5181
"40" 172.1518 156.5239 141.3784
"41" 179.6872 156.0193 134.8015
"42" 185.8649 153.4057 127.3325
"43" 190.1807 146.78 121.2242
"44" 191.1347 138.2003 116.319
"45" 190.5104 128.8967 112.6094
"46" 187.4677 119.6616 110.72
"47" 184.1061 110.275 110.3662
"48" 180.4162 101.1863 112.4641
"49" 176.4881 93.3801 117.4252
"50" 171.8715 86.7572 123.3919
"51" 167.3328 81.0174 130.1452
"52" 163.0061 77.7368 138.5358
"53" 159.2886 78.4616 147.5248
