"V1" "V2" "V3"
"1" 127131.1484375 94570.9296875 115334.359375
"2" 124645.5083 97147.5202 109061.7072
"3" 120524.2743 94562.3577 104277.0068
"4" 119380.7371 92407.4042 97652.1007
"5" 118158.7918 90259.0048 90857.8038
"6" 116255.4012 89097.7895 83961.2175
"7" 113173.7458 87476.9231 77733.6603
"8" 110475.9482 87246.1867 71074.7974
"9" 107573.8368 84486.474 65052.1463
"10" 104489.8624 81834.0182 59131.7262
"11" 100743.2036 78896.8362 53590.7519
"12" 96973.1225 76718.3768 47960.1079
"13" 92404.6007 74543.2825 42746.2573
"14" 86617.2019 73360.8979 38647.2008
"15" 80004.1101 72164.0987 36009.1204
"16" 73769.78125 69620.8125 34724.22265625
"17" 118045.9921875 118045.609375 180510.203125
"18" 123614.5485 117140.7698 179387.2958
"19" 128864.5713 114801.597 179118.2678
"20" 134030.7405 112777.6277 177850.3647
"21" 137236.1716 110476.8657 173799.5516
"22" 141268.3876 109200.6052 169975.3204
"23" 145309.2167 105482.9008 170091.242
"24" 146426.4295 105806.3031 175036.6297
"25" 144786.3337 107295.5388 180320.6643
"26" 140607.6396 107780.9983 184051.2722
"27" 135109.1742 108122.7249 185415.0758
"28" 130087.5714 110736.0425 186223.4957
"29" 125016.8174 113274.3487 187002.7782
"30" 121425.5099 116459.5585 184833.4721
"31" 127131.1484375 94570.9296875 115334.359375
"32" 99030.671875 90081.625 94778.71875
"33" 107089.078125 44055.80859375 102992.0078125
"34" 109827.6486 41296.8449 109457.4575
"35" 111179.3498 39586.2956 116323.2824
"36" 114598.3422 39739.9763 123004.6015
"37" 119529.148 40991.6593 128428.6301
"38" 125575.8748 44351.1027 129397.7328
"39" 129445.3589 48678.2708 134154.876
"40" 131449.6887 54068.8424 138983.8344
"41" 132193.2914 61086.6477 141541.4418
"42" 133316.5345 68274.13 139984.7044
"43" 133814.2917 74733.9022 136260.6418
"44" 133566.6591 78447.0198 130246.5935
"45" 130572.4889 78576.2561 123288.1791
"46" 127868.2928 79457.6281 116299.4763
"47" 124675.2772 80807.1731 109673.0106
"48" 122740.2578 81357.6711 102566.843
"49" 119370.5533 79606.9152 96294.3301
"50" 115263.4409 76363.9365 91126.9577
"51" 113407.6701 70141.2674 87225.5228
"52" 111126.0076 63454.2267 84843.3192
"53" 109432.3512 56163.8968 85380.069
"54" 109178.346 50119.1156 89835.4591
"55" 108795.4844 46148.4549 95906.5783
"56" 103874.765625 89400.6640625 113349.75
"57" 101750.183 90679.6146 104871.5266
"58" 99015.3283 91150.1973 96355.4421
"59" 97111.0507 92763.1209 87974.6394
"60" 94676.0395 92711.6832 79285.1403
"61" 90272.3478 92964.7669 71420.0079
"62" 85814.1686 88323.6447 65388.4651
"63" 83738.8154 80745.1466 61301.9351
"64" 80830.8305 74890.6377 55391.9281
"65" 74488.046875 70580.21875 50877.6015625
"66" 103874.765625 89400.6640625 113349.75
"67" 75849.921875 34598.25 83040.09375
"68" 74488.046875 70580.21875 50877.6015625
"69" 75849.921875 34598.25 83040.09375
"70" 75675.7918 33939.3642 91835.3445
"71" 76512.279 34726.7227 100768.3619
"72" 76753.0552 34411.9615 109779.369
"73" 77179.6249 32949.819 118671.3213
"74" 77757.2072 32234.0851 127634.4386
"75" 78567.7729 31715.2009 136574.2792
"76" 79296.5577 28367.909 144883.3924
"77" 79247.1648 27398.6501 153827.9267
"78" 79074.1885 26750.0913 162838.7549
"79" 79350.8117 27956.9032 171624.2295
"80" 79682.4982 30954.8805 180077.7897
"81" 80112.1651 33673.654 188622.6617
"82" 80693.0612 35257.9916 197447.698
"83" 80373.2843 36999.4387 206269.4865
