"V1" "V2" "V3"
"1" 17199.55078125 10075.041015625 2759.02172851562
"2" 16701.0599 9538.2979 2425.0838
"3" 16225.2305 8943.823 2046.516
"4" 15659.1069 8365.2073 1766.1108
"5" 15053.0256 7834.4384 1475.6145
"6" 14433.6872 7258.1878 1354.772
"7" 13851.5835 6650.0872 1215.9648
"8" 13277.0488 6023.8343 1129.6985
"9" 12709.827 5386.0562 1208.1148
"10" 12136.0491 4756.9412 1296.8986
"11" 11502.6371 4178.0658 1311.9683
"12" 10868.8161 3599.668 1327.9204
"13" 10234.8642 3022.9941 1309.333
"14" 9637.4396 2446.6631 1490.1594
"15" 8972.1709 2112.6022 1887.4
"16" 8282.8291015625 1842.25439453125 2317.478515625
"17" 16805.09375 19710.03125 2614.994140625
"18" 17192.8407 19437.7329 2575.4239
"19" 17712.6238 19482.1871 2610.0069
"20" 18204.9094 19430.6724 2616.154
"21" 18605.3193 19159.746 2419.0514
"22" 19052.6566 19112.6884 2214.9058
"23" 19384.7428 19401.9148 2025.3323
"24" 19305.2409 19871.0891 1878.5405
"25" 18953.2591 20219.0365 1864.0163
"26" 18524.1004 20274.8826 2158.392
"27" 18089.1505 20358.9105 2374.6482
"28" 17616.7423 20536.3943 2252.8085
"29" 17135.0738 20477.8795 2223.6794
"30" 16753.8647 20149.0957 2353.3281
"31" 17199.55078125 10075.041015625 2759.02172851562
"32" 11766.9189453125 6863.0068359375 3209.69287109375
"33" 11930.388671875 2979.41259765625 7305.626953125
"34" 12095.2713 3113.5231 8461.1626
"35" 12649.1034 3614.3661 9369.8992
"36" 13306.5229 4380.595 10009.0452
"37" 13950.3599 5243.5261 10542.5255
"38" 14725.0054 6136.9894 10715.3175
"39" 15500.1638 7044.5242 10835.0535
"40" 16275.5204 7941.1794 10827.8222
"41" 17028.2723 8863.9533 10679.5589
"42" 17524.0891 9793.1335 10200.3529
"43" 17917.856 9905.4378 9103.5019
"44" 17975.4742 9777.3993 7914.2528
"45" 17805.3044 9621.7121 6738.9902
"46" 17506.7918 9324.9259 5621.6244
"47" 16880.5947 8921.2072 4681.5592
"48" 16099.4225 8412.848 3934.0541
"49" 15356.4983 7669.068 3367.0248
"50" 14587.1499 6777.5262 3116.9583
"51" 13743.7879 5938.3865 3090.0771
"52" 12926.1817 5146.2891 3319.356
"53" 12464.212 4359.4486 4086.7216
"54" 12168.1671 3713.7102 5053.982
"55" 11925.8767 3247.8265 6131.9649
"56" 14725.36328125 10791.12890625 4054.9482421875
"57" 14101.7363 9832.2839 3656.879
"58" 13398.7863 8879.2581 3410.7951
"59" 12674.9888 7924.53 3223.5506
"60" 12001.4293 6952.4032 3106.0388
"61" 11206.4329 6098.1945 2817.696
"62" 10523.4435 5119.5636 2651.3465
"63" 10116.366 3986.5349 2772.1203
"64" 9485.4205 3256.9014 3171.016
"65" 8484.6650390625 2941.6123046875 3653.88671875
"66" 14725.36328125 10791.12890625 4054.9482421875
"67" 8712.3486328125 626.234375 7451.24951171875
"68" 8484.6650390625 2941.6123046875 3653.88671875
"69" 8712.3486328125 626.234375 7451.24951171875
"70" 8879.5247 1446.4948 8443.3816
"71" 9056.1438 2429.0243 9292.258
"72" 9264.0145 3486.3518 10027.8761
"73" 9385.5236 4597.6334 10706.649
"74" 9523.3438 5721.0541 11363.3562
"75" 9707.1563 6842.2868 12010.1081
"76" 9864.1445 7968.4089 12652.7821
"77" 9961.2246 9172.5312 13149.7403
"78" 10108.9587 10417.2521 13528.6284
"79" 10264.3879 11661.2084 13907.5195
"80" 10441.0726 12891.0765 14319.9713
"81" 10629.605 14069.1697 14840.952
"82" 10842.8722 15314.7195 15182.8723
"83" 11083.8477 16574.4374 15125.4151
"84" 11292.614 17840.9099 15365.5595
"85" 11381.6564 19136.7466 15484.1807
"86" 11494.6088 20425.2977 15681.36
"87" 11568.1083984375 21700.9765625 15939.69921875
"88" 11815.591796875 28670.880859375 9377.576171875
"89" 11568.1083984375 21700.9765625 15939.69921875
"90" 8282.8291015625 1842.25439453125 2317.478515625
"91" 1494.1806640625 11835.0302734375 4206.185546875
"92" 1827.3131 11143.2311 3570.367
"93" 2321.6462 10302.2782 3386.5311
"94" 2684.0802 9643.2236 2719.5953
"95" 3186.3757 8814.0567 2405.9568
"96" 3733.1114 7994.7953 2145.5046
"97" 4219.7478 7120.0744 1966.6612
"98" 4713.9549 6279.4695 2197.9926
"99" 5227.3618 5481.394 1895.4511
"100" 5728.066 4703.3306 1729.5329
"101" 6331.1666 3896.1325 1641.3836
"102" 6900.1086 3084.3819 1712.188
"103" 7541.1135 2382.8861 1896.2235
"104" 8282.8291015625 1842.25439453125 2317.478515625
"105" 1494.1806640625 11835.0302734375 4206.185546875
"106" 6302.8955078125 7460.595703125 3640.234375
"107" 5997.14404296875 3432.1796875 8218.271484375
"108" 5931.8153 3847.1921 9380.9475
"109" 5645.2752 4662.4105 10330.9263
"110" 5321.6476 5643.7716 11069.5052
"111" 4810.2645 6691.1465 11594.3386
"112" 4175.3039 7784.699 11835.6289
"113" 3570.7314 8906.6402 12020.3777
"114" 2971.0316 10042.953 12083.2621
"115" 2596.3577 11234.3781 11871.5321
"116" 2008.4982 11721.9238 10880.5724
"117" 1632.364 11619.4042 9663.7488
"118" 1478.4873 11392.0559 8410.3751
"119" 1520.6111 11058.6925 7178.9085
"120" 1925.3318 10532.0508 6082.5821
"121" 2493.9159 9838.3617 5163.309
"122" 3014.7689 8984.5873 4378.9503
"123" 3593.0351 7917.0135 3950.4417
"124" 4203.9309 6832.2562 3739.7287
"125" 4808.5458 5754.5533 3963.107
"126" 5223.6026 4882.5242 4785.02
"127" 5566.4493 4266.4182 5857.2362
"128" 5968.1702 3786.6425 6982.4254
"129" 4119.06982421875 11813.013671875 4758.7431640625
"130" 4534.5291 10780.2475 4374.8568
"131" 5047.6113 9761.2181 4056.2085
"132" 5596.3036 8760.8839 3790.2413
"133" 6180.5822 7774.6151 3768.6699
"134" 6376.9846 6722.3414 3267.9298
"135" 6906.8965 5720.8553 2970.3348
"136" 7211.6172 4582.3847 3012.676
"137" 7604.6276 3549.1789 3180.3194
"138" 8484.6650390625 2941.6123046875 3653.88671875
"139" 4119.06982421875 11813.013671875 4758.7431640625
"140" 16939.599609375 19768.708984375 2445.33081054688
"141" 16988.26953125 19959.94921875 2366.82373046875
"142" 17042.056640625 20102.943359375 2316.64086914062
"143" 17120.4375 20229.33203125 2262.47827148438
"144" 17239.171875 20411.677734375 2204.39111328125
"145" 17161.19140625 19708.00390625 2455.47241210938
"146" 17197.005859375 19897.97265625 2390.79125976562
"147" 17262.4609375 20053.740234375 2349.42065429688
"148" 17313.501953125 20201.025390625 2292.39672851562
"149" 17472.62109375 20323.732421875 2246.37622070312
"150" 17382.779296875 19707.974609375 2478.8759765625
"151" 17448.36328125 19885.181640625 2422.7177734375
"152" 17470.591796875 20043.802734375 2366.43017578125
"153" 17580.009765625 20192.09375 2312.90625
"154" 17673.3671875 20298.8203125 2287.36865234375
"155" 17576.62890625 19702.908203125 2495.11474609375
"156" 17644.15625 19855.826171875 2444.39990234375
"157" 17708.208984375 20005.701171875 2397.57470703125
"158" 17766.072265625 20133.79296875 2353.607421875
"159" 17887.734375 20227.216796875 2346.66064453125
"160" 17833.794921875 19700.220703125 2532.03662109375
"161" 17906.568359375 19831.111328125 2477.53393554688
"162" 17950.94921875 19950.416015625 2430.99951171875
"163" 18013.6640625 20064.154296875 2398.47485351562
"164" 18095.232421875 20147.494140625 2388.0771484375
"165" 18072.671875 19685.654296875 2542.22534179688
"166" 18167.703125 19792.7578125 2458.44360351562
"167" 18220.357421875 19910.5859375 2394.99633789062
"168" 18338.185546875 19987.548828125 2294.36499023438
"169" 18342.841796875 20097.29296875 2265.736328125
"170" 18412.88671875 19552.333984375 2376.80126953125
"171" 18380.837890625 19725.947265625 2328.90942382812
"172" 18437.19140625 19905.189453125 2209.15869140625
"173" 18438.166015625 20120.830078125 2203.93627929688
"174" 18579.654296875 19482.404296875 2317.37060546875
"175" 18572.19921875 19591.67578125 2274.40454101562
"176" 18573.3046875 19749.291015625 2126.9150390625
"177" 18598.876953125 20005.119140625 2050.45190429688
"178" 18757.115234375 19307.197265625 2258.55200195312
"179" 18733.548828125 19535.873046875 2095.56201171875
"180" 18751.802734375 19755.5546875 2001.48510742188
"181" 18772.361328125 20003.97265625 1899.11328125
"182" 18916.509765625 19304.849609375 2082.49780273438
"183" 18938.17578125 19513.224609375 1970.64404296875
"184" 18933.37109375 19709.068359375 1914.17639160156
"185" 18927.173828125 19991.484375 1854.24255371094
"186" 19154.517578125 19442.638671875 1946.3134765625
"187" 19129.84765625 19641.51171875 1879.02087402344
"188" 19171.1015625 19853.568359375 1848.26574707031
"189" 16896.322265625 9822.9013671875 3277.57788085938
"190" 16979.634765625 9773.2578125 3921.68359375
"191" 16476.744140625 9728.337890625 4451.068359375
"192" 15979.4169921875 9775.013671875 4386.81689453125
"193" 15696.36328125 10007.44140625 4232.15966796875
"194" 15331.5380859375 10195.2783203125 3969.62841796875
"195" 15032.6494140625 10388.181640625 3849.9384765625
"196" 16427.91015625 9362.57421875 2768.08032226562
"197" 16386.810546875 9451.12890625 3378.1845703125
"198" 16146.2900390625 9169.958984375 4147.7685546875
"199" 15525.15625 9335.5244140625 4001.35766601562
"200" 15036.6708984375 9613.7236328125 3815.740234375
"201" 14793.8388671875 9620.673828125 3839.42163085938
"202" 16057.734375 8935.1708984375 2497.888671875
"203" 15999.689453125 9002.673828125 3005.09716796875
"204" 15786.9111328125 8932.724609375 3739.4755859375
"205" 15381.423828125 8953.673828125 3709.92016601562
"206" 14978.9638671875 9107.0419921875 3597.0185546875
"207" 14567 9269.3896484375 3450.35009765625
"208" 14319.626953125 9337.7744140625 3518.31640625
"209" 15690.59765625 8554.216796875 2348.93994140625
"210" 15594.3681640625 8615.48828125 2868.5
"211" 15398.5615234375 8549.158203125 3513.81884765625
"212" 14887.7802734375 8592.326171875 3441.62353515625
"213" 14560.1396484375 8831.3837890625 3151.51245117188
"214" 14137.248046875 8957.85546875 3316.490234375
"215" 15338.263671875 8171.990234375 2106.93139648438
"216" 15227.9599609375 8194.61328125 2582.638671875
"217" 15049.9921875 8301.267578125 3012.59619140625
"218" 14734.876953125 8146.751953125 3280.79272460938
"219" 14394.228515625 8384.91796875 3007.6943359375
"220" 14064.216796875 8549.5537109375 3012.607421875
"221" 13609.4326171875 8649.4677734375 3125.919921875
"222" 14908.86328125 7749.515625 1913.68054199219
"223" 14821.4306640625 7722.5107421875 2302.63330078125
"224" 14629.998046875 7778.4267578125 2751.71264648438
"225" 14328.94140625 7694.2373046875 3159.50048828125
"226" 13952.3271484375 7819.55078125 3070.27124023438
"227" 13687.65625 7967.75830078125 2869.7998046875
"228" 13408.2275390625 8195.0322265625 3014.04663085938
"229" 14406.0322265625 7240.49267578125 1797.21899414062
"230" 14243.5986328125 7153.68310546875 2269.85546875
"231" 14217.599609375 7163.8798828125 2912.94995117188
"232" 13669.8720703125 7191.748046875 2982.09521484375
"233" 13499.263671875 7353.82763671875 2744.2216796875
"234" 13280.357421875 7567.66796875 2816.48901367188
"235" 12999.8447265625 7758.62255859375 2960.6220703125
"236" 13827.166015625 6620.06103515625 1692.11926269531
"237" 13686.208984375 6583.82666015625 2201.41967773438
"238" 13548.73046875 6452.21484375 2772.65380859375
"239" 13279.8759765625 6662.50830078125 2877.67163085938
"240" 13028.8671875 6953.2470703125 2694.93798828125
"241" 12818.1640625 7234.19287109375 2848.48095703125
"242" 13342.904296875 6082.7802734375 1577.52990722656
"243" 13195.2353515625 6019.5107421875 2061.2294921875
"244" 13082.7001953125 5893.5400390625 2668.8798828125
"245" 12748.7412109375 6022.3642578125 2793.85107421875
"246" 12625.6171875 6255.0107421875 2606.05053710938
"247" 12517.3359375 6453.74267578125 2696.15893554688
"248" 12265.2255859375 6826.04736328125 2903.47802734375
"249" 12726.9375 5449.64697265625 1733.88928222656
"250" 12541.5751953125 5386.6201171875 2206.6767578125
"251" 12368.3408203125 5245.3037109375 2828.21240234375
"252" 12130.279296875 5471.8701171875 2773.88403320312
"253" 12036.8134765625 5591.3369140625 2537.41040039062
"254" 11776.1904296875 5771.47314453125 2597.21411132812
"255" 11574.2841796875 6055.0751953125 2732.43481445312
"256" 12133.908203125 4796.59716796875 1762.46105957031
"257" 11979.29296875 4770.87158203125 2193.04565429688
"258" 11934.2607421875 4660.12841796875 2840.23095703125
"259" 11614.1328125 4779.0517578125 2723.25756835938
"260" 11489.140625 4907.4453125 2405.62475585938
"261" 11319.3251953125 5094.21484375 2417.80712890625
"262" 11074.2021484375 5210.5185546875 2458.25610351562
"263" 11626.990234375 4303.47607421875 1701.50256347656
"264" 11639.6015625 4263.7578125 2579.9765625
"265" 11314.5 4101.14990234375 2661.9599609375
"266" 10921.1494140625 4064.43310546875 2558.86889648438
"267" 10704.75 4136.59228515625 2450.91015625
"268" 10509.314453125 4126.30712890625 2534.83032226562
"269" 10984.31640625 3713.64770507812 1720.68591308594
"270" 11096.5625 3723.82568359375 2500.95043945312
"271" 10959.15234375 3548.73974609375 2726.6396484375
"272" 10486.42578125 3592.11010742188 2695.49682617188
"273" 10219.28125 3495.9951171875 2786.4765625
"274" 9971.611328125 3436.83251953125 2841.29296875
"275" 10494.427734375 3286.29760742188 2072.880859375
"276" 10555.1689453125 3068.52587890625 2843.32666015625
"277" 10056.48046875 3171.10546875 2867.0400390625
"278" 9681.14453125 3124.60034179688 2914.04077148438
"279" 9429.8896484375 3013.97998046875 3108.89990234375
"280" 10085.33984375 2888.7890625 1847.82702636719
"281" 10063.0029296875 2816.02124023438 2613.44946289062
