"V1" "V2" "V3"
"1" 74086.28125 56089.0390625 12376.49609375
"2" 72138.3216 52481.4196 12605.1399
"3" 70218.723 48865.9428 12639.6327
"4" 68076.1928 45365.1267 12415.4225
"5" 65933.6627 41864.3106 12191.2123
"6" 64094.0664 38222.3212 12217.6423
"7" 62590.7247 34610.264 13405.8362
"8" 60716.2166 31052.1824 14065.6463
"9" 58606.0124 27607.2152 14747.4746
"10" 56750.6843 24052.3932 15318.6546
"11" 54692.2166 20595.306 15911.9381
"12" 52685.0657 17216.2408 17115.9657
"13" 50677.9149 13837.1755 18319.9932
"14" 48660.3028 10466.3877 19510.2316
"15" 45313.1474 8147.5875 18947.972
"16" 41413.3515625 7267.3984375 18018.47265625
"17" 70807.171875 95110.8671875 5227.919921875
"18" 72999.987 93737.509 5184.1993
"19" 75659.4311 93930.5377 5138.8385
"20" 78187.8329 93882.4602 4667.3905
"21" 80623.2912 93056.7125 4202.7419
"22" 83026.26 92906.0935 3440.4105
"23" 85179.3194 94091.5915 2562.7381
"24" 85324.5779 96387.7516 1841.5814
"25" 83319.8081 98101.6664 1657.5393
"26" 80739.6861 98740.8001 1897.086
"27" 78379.0337 99471.8983 2850.7796
"28" 75906.5585 99599.4331 3826.9335
"29" 73336.7351 98927.2942 3849.064
"30" 71217.5705 97566.19 4265.7001
"31" 74086.28125 56089.0390625 12376.49609375
"32" 51673.84375 37062.34375 25582.857421875
"33" 59242.0703125 32251.904296875 40410.79296875
"34" 59768.6199 34602.9132 44544.0739
"35" 60499.6872 37911.4459 47906.6438
"36" 62176.6296 41615.0057 50417.5307
"37" 63905.8604 45687.6065 52110.9504
"38" 65685.308 49897.9425 53503.8732
"39" 69074.1131 53161.2198 53542.1505
"40" 72778.9442 56163.1952 53226.4689
"41" 76136.7993 59316.8212 52141.7587
"42" 78377.3096 62819.6611 49965.6801
"43" 80361.0191 64966.7362 46295.8185
"44" 81579.8492 64552.7102 41724.7284
"45" 81832.9711 63329.2605 37128.209
"46" 81685.0191 61474.541 32725.1807
"47" 79981.5705 59212.5475 28988.502
"48" 77353.7094 55682.4345 27264.6624
"49" 74340.2679 52177.5639 26082.6917
"50" 71188.2253 48625.9611 25581.1806
"51" 69006.8625 44555.6801 26636.5108
"52" 66976.4333 40503.6713 27946.0896
"53" 64070.03 36961.2769 28835.324
"54" 61631.0604 34227.4228 31854.1749
"55" 59834.6437 32156.5065 35659.2702
"56" 61358.8359375 57348.63671875 23929.84765625
