"V1" "V2" "V3"
"1" 57.3153381347656 18.4460411071777 51.3857383728027
"2" 59.5928 19.753 49.3707
"3" 59.4995 21.0113 46.018
"4" 59.186 22.2201 42.6797
"5" 58.7982 23.3463 39.3115
"6" 58.3686 24.3232 35.9264
"7" 57.7413 25.0083 32.4769
"8" 57.5203 25.8919 29.0112
"9" 56.771 26.7708 25.6182
"10" 56.2711 27.7753 22.223
"11" 55.9129 28.8995 18.8466
"12" 55.7347 30.029 15.4972
"13" 55.3647 31.1488 12.3147
"14" 55.1944 32.8553 9.2134
"15" 55.2031 35.28 6.7145
"16" 54.1448745727539 38.6079521179199 6.05805587768555
"17" 59.1828117370605 23.5179939270019 87.4467926025391
"18" 58.3958 21.1328 86.9208
"19" 58.0816 18.4695 87.398
"20" 59.0056 15.9625 86.7813
"21" 59.3539 13.2713 86.7029
"22" 59.3016 11.3291 87.8395
"23" 60.2527 11.2908 90.3623
"24" 60.523 11.5389 93.0547
"25" 61.143 13.3078 94.3629
"26" 61.0072 15.9791 94.1213
"27" 60.3946 18.5742 94.0099
"28" 60.5773 21.2501 94.1899
"29" 60.2748 23.3519 92.5218
"30" 59.8203 24.1992 89.9896
"31" 57.3153381347656 18.4460411071777 51.3857383728027
"32" 51.3456268310547 33.9776344299316 26.6609497070312
"33" 33.0907325744629 24.8731098175049 27.0290241241455
"34" 28.4708 24.6086 29.1808
"35" 25.1119 23.2021 32.7197
"36" 22.5499 21.46 36.7862
"37" 20.6109 20.7898 41.4165
"38" 20.0188 18.5178 45.9549
"39" 20.5491 14.997 49.5691
"40" 21.3326 12.2988 53.7929
"41" 22.2064 10.7055 58.5079
"42" 25.2963 10.3251 62.3806
"43" 30.1179 9.4184 63.7295
"44" 35.119 9.7519 62.8746
"45" 40.013 10.2953 61.4882
"46" 44.4984 11.3652 59.3171
"47" 47.6675 13.5028 55.9372
"48" 49.2442 16.0587 51.7939
"49" 50.4586 18.7601 47.6255
"50" 50.8291 20.7343 42.886
"51" 50.5969 22.6838 38.1351
"52" 49.5388 24.4689 33.427
"53" 47.3832 25.6662 28.9673
"54" 43.2427 26.1165 26.069
