"V1" "V2" "V3"
"1" 7852.1962890625 10723.88671875 51229.33203125
"2" 6520.082 11484.2582 53127.1912
"3" 5595.6171 12602.7072 55321.0199
"4" 5220.7745 14022.5319 57552.6779
"5" 5047.0378 15438.4397 59836.1237
"6" 4865.5972 16722.5149 62211.8265
"7" 5060.0287 18209.9183 64434.2019
"8" 5353.0592 19989.5551 66412.7154
"9" 5991.2576 21759.2276 68298.8756
"10" 6923.7508 23364.8772 70266.7693
"11" 7981.3186 24690.988 72362.3953
"12" 9130.0773 25743.2659 74561.2498
"13" 10124.5508 26888.5012 76790.1284
"14" 11048.1215 28383.7468 78740.3822
"15" 12768.7669 30082.2574 79938.4981
"16" 14287.2529296875 32209.412109375 80466.453125
"17" 4422.890625 16310.7880859375 23972.177734375
"18" 4814.9073 15069.7424 24945.3666
"19" 5484.3074 13586.6079 25149.3955
"20" 5848.8334 12039.9352 25501.0446
"21" 5047.1357 10673.313 25572.8231
"22" 3842.3942 9557.1431 25613.1672
"23" 2887.8662 9210.4093 24575.4325
"24" 2573.5876 9323.0593 22962.5297
"25" 2813.1469 9966.8441 21550.7863
"26" 3804.9898 11102.0588 21051.1097
"27" 4619.8141 12464.453 21171.1242
"28" 4490.7165 14003.6332 21094.7524
"29" 3943.9916 15491.5343 21254.6843
"30" 3995.8421 16337.9251 22381.6024
"31" 7852.1962890625 10723.88671875 51229.33203125
"32" 12734.7421875 28327.064453125 57506.98828125
"33" 27276.8359375 22904.44921875 57710.97265625
"34" 27223.8182 21466.7052 56196.8667
"35" 26746.7861 19826.7887 55031.5112
"36" 26285.7381 18042.7991 54105.8585
"37" 25328.3108 16527.5404 53240.4874
"38" 23807.0317 15203.8072 52956.558
"39" 21909.7365 14405.087 53210.7604
"40" 20022.9792 14089.7947 54008.5699
"41" 18329.6308 14294.9547 55170.5572
"42" 16847.7144 14766.8314 56559.2135
"43" 15595.3409 15163.0813 58154.8761
"44" 14838.0242 15652.3214 60029.8445
"45" 14552.482 16592.1897 61861.0773
"46" 15195.7691 17818.3409 63334.7233
"47" 15864.8299 19232.655 64693.0718
"48" 17047.1218 20465.6928 65803.9961
"49" 18739.0777 21561.0796 66302.9588
