"V1" "V2" "V3"
"1" 62.9249000549316 30.1440734863281 37.980152130127
"2" 61.2034 29.8823 39.4673
"3" 59.6913 28.8844 40.8585
"4" 58.1554 28.5102 42.5022
"5" 56.5243 28.7207 44.0852
"6" 55.0138 28.5508 45.8159
"7" 53.2045 27.9882 47.1341
"8" 51.8515 27.2183 48.8027
"9" 50.089 27.4915 50.1553
"10" 48.2648 28.394 51.2133
"11" 46.6393 29.2755 52.5849
"12" 45.3189 30.0769 54.3023
"13" 43.7756 30.6004 55.9269
"14" 42.1717 30.8996 57.5438
"15" 40.9068 30.6135 59.3834
"16" 38.7060317993164 30.7390689849854 59.9779434204102
"17" 54.7568397521973 24.0991630554199 16.8255577087402
"18" 56.3694 23.722 17.0033
"19" 58.0559 23.6866 17.1983
"20" 59.7112 23.406 17.4713
"21" 61.1956 22.6927 17.1916
"22" 62.5358 22.0773 16.3714
"23" 62.7648 21.4193 14.9239
"24" 62.4191 21.95 13.4731
"25" 61.3828 22.8492 12.6201
"26" 59.8819 23.3401 12.8426
"27" 58.2451 23.7804 12.7326
"28" 56.7121 24.179 12.9017
"29" 55.2355 23.8845 13.67
"30" 54.4791 23.9711 15.1778
"31" 62.9249000549316 30.1440734863281 37.980152130127
"32" 46.9793930053711 33.3210411071777 44.0008316040039
"33" 45.996208190918 44.1693496704102 56.866096496582
"34" 45.3393 45.7763 56.7266
"35" 44.8841 47.2546 55.9026
"36" 44.9576 48.5158 54.6771
"37" 44.9391 49.3675 53.1629
"38" 45.8232 50.1407 51.8266
"39" 46.6096 50.5709 50.3073
"40" 47.8225 50.8602 49.0989
"41" 49.3369 50.736 48.2102
"42" 50.8617 50.288 47.4705
"43" 52.1898 49.142 47.39
"44" 53.2139 47.7079 47.4719
"45" 54.0922 46.2539 48.0006
"46" 54.9428 44.7923 48.5412
"47" 55.1787 43.2567 49.365
"48" 55.0086 41.7477 50.2538
"49" 54.1825 40.434 51.0515
"50" 53.2032 39.5768 52.2524
"51" 52.0034 39.2135 53.4867
"52" 50.6219 39.4397 54.5596
"53" 49.3233 40.3112 55.3931
"54" 48.1014 41.4438 55.9966
"55" 47.0199 42.7775 56.442
"56" 49.6520042419434 34.4300346374512 36.8196487426758
"57" 48.0543 34.2031 38.7989
"58" 47.4493 33.7081 41.2223
"59" 47.0081 33.2233 43.682
"60" 46.5125 33.0524 46.1862
"61" 45.2398 33.0554 48.4213
"62" 43.8139 33.3662 50.517
"63" 42.4776 33.7056 52.6537
"64" 40.9263 34.8183 54.3586
"65" 38.8821678161621 35.2976608276367 55.7083778381348
"66" 49.6520042419434 34.4300346374512 36.8196487426758
"67" 39.7832260131836 43.2938804626465 62.4697189331055
"68" 38.8821678161621 35.2976608276367 55.7083778381348
"69" 39.7832260131836 43.2938804626465 62.4697189331055
"70" 39.2771 44.953 60.6868
"71" 39.3252 46.6312 58.6845
"72" 39.2936 48.304 56.6707
"73" 39.7756 49.6924 54.5172
"74" 40.0426 50.8692 52.2068
"75" 39.9144 51.9403 49.8231
"76" 40.0486 52.7385 47.3379
"77" 40.0515 53.3639 44.8097
"78" 39.9706 53.8639 42.2397
"79" 39.9184 53.9992 39.6267
"80" 39.9041 54.1848 37.0204
"81" 40.0248 54.4208 34.4127
"82" 40.1566 54.6373 31.8041
"83" 40.2413 54.6117 29.186
"84" 40.3033 54.5669 26.5678
"85" 40.2331 54.4119 23.9708
"86" 40.1998 54.9488 21.4551
"87" 39.9977607727051 55.329402923584 18.9056777954102
"88" 38.7717933654785 33.341423034668 8.02242469787598
"89" 39.9977607727051 55.329402923584 18.9056777954102
"90" 38.7060317993164 30.7390689849854 59.9779434204102
"91" 15.4915647506714 31.6108551025391 37.9366836547852
"92" 17.353 30.8405 39.5531
"93" 19.0009 29.6703 41.1378
"94" 20.7401 29.7052 43.0646
"95" 22.4835 29.8302 44.9635
"96" 24.4098 29.2615 46.5476
"97" 26.1401 28.2785 48.1935
"98" 28.0832 28.3226 49.8633
"99" 30.0529 29.2398 51.2657
"100" 31.6806 30.3074 52.9464
"101" 33.3352 31.0208 54.7629
"102" 34.7159 31.1464 56.9543
"103" 36.4491 30.7519 58.8369
"104" 38.7060317993164 30.7390689849854 59.9779434204102
"105" 15.4915647506714 31.6108551025391 37.9366836547852
"106" 31.4787712097168 34.3379974365234 44.208740234375
"107" 32.4086837768555 44.3573913574219 56.8581314086914
"108" 33.4519 45.8071 56.6691
"109" 34.0171 47.4328 56.0791
"110" 34.2243 48.7184 54.8527
"111" 34.0167 49.5795 53.2596
"112" 33.3948 50.4088 51.7708
"113" 32.2756 50.9692 50.4331
"114" 31.0014 51.2816 49.1693
"115" 29.4695 51.1417 48.1882
"116" 27.828 50.7702 47.5671
"117" 26.2656 49.8445 47.6721
"118" 25.0799 48.4903 47.8482
"119" 24.3525 46.847 48.0058
"120" 24.0547 45.2054 48.7572
"121" 23.9338 43.7721 49.8644
"122" 24.2685 42.3199 50.8894
"123" 25.1418 41.035 51.8538
"124" 26.2105 40.2361 53.082
"125" 27.5159 40.2363 54.3642
"126" 28.9273 40.5579 55.4681
"127" 30.3471 41.4357 56.1895
"128" 31.4634 42.8112 56.5753
"129" 28.220157623291 35.2510681152344 36.201358795166
"130" 30.1187 35.1601 37.9538
"131" 30.8603 35.0341 40.4675
"132" 31.4107 34.5462 42.9587
"133" 31.7157 34.154 45.4909
"134" 32.5708 33.6326 47.9024
"135" 33.933 33.6322 50.0875
"136" 35.2958 33.9312 52.2775
"137" 36.8016 34.8426 54.2061
"138" 38.8821678161621 35.2976608276367 55.7083778381348
"139" 28.220157623291 35.2510681152344 36.201358795166
"140" 55.2311058044434 23.5147304534912 15.8386545181274
"141" 55.2867393493652 23.4942111968994 15.5225610733032
"142" 55.4744987487793 23.360200881958 14.7707996368408
"143" 55.6727752685547 23.4328804016113 14.2973604202271
"144" 56.1309013366699 23.6781997680664 13.1624002456665
"145" 55.9178771972656 23.5958499908447 16.2259826660156
"146" 56.029354095459 23.4548034667969 15.7357864379883
"147" 56.2062149047852 23.5106296539307 15.0000095367432
"148" 56.5852012634277 23.3904991149902 14.1356000900269
"149" 57.3059577941895 23.4784450531006 13.6938562393188
"150" 56.4748764038086 23.5225925445557 15.9796009063721
"151" 56.4822006225586 23.4225997924805 15.1696996688843
"152" 56.7396125793457 23.4276275634766 14.7410182952881
"153" 57.2282676696777 23.4389324188232 14.1693096160889
"154" 57.6720008850098 23.3582000732422 13.6918001174927
"155" 57.4994010925293 23.5305004119873 16.4157009124756
"156" 57.6642799377441 23.4165897369385 15.4163875579834
"157" 57.9281997680664 23.3649997711182 14.9381999969482
"158" 57.9266738891602 23.3624820709229 14.2141542434692
"159" 57.8601989746094 23.2901000976562 13.6921997070312
"160" 58.0157432556152 23.5526084899902 16.3068084716797
"161" 58.3119010925293 23.3194999694824 15.7540998458862
"162" 58.4270553588867 23.2638416290283 14.9585618972778
"163" 58.6351585388184 23.1376438140869 14.2630891799927
"164" 59.1832008361816 22.9214992523193 13.5410995483398
"165" 58.4763984680176 23.3388004302979 16.1888008117676
"166" 58.989990234375 23.2309341430664 15.5397720336914
"167" 59.0064010620117 23.07200050354 14.8983001708984
"168" 59.3637771606445 22.9377555847168 14.1411943435669
"169" 59.3063011169434 22.8637008666992 13.5712995529175
"170" 59.535701751709 23.1485004425049 16.3402004241943
"171" 59.7544364929199 22.9333477020264 15.4650745391846
"172" 59.8589401245117 22.7852954864502 14.470308303833
"173" 60.1410331726074 22.9300193786621 13.4404230117798
"174" 60.410457611084 22.8787956237793 16.452465057373
"175" 60.41162109375 22.8316078186035 15.6925401687622
"176" 60.5452156066895 22.7388114929199 14.9542636871338
"177" 60.3040237426758 22.4564571380615 13.8665494918823
"178" 61.0726089477539 22.6105842590332 16.5963573455811
"179" 61.0617218017578 22.4521369934082 15.6269941329956
"180" 61.0496063232422 22.2910842895508 14.733380317688
"181" 61.2441787719727 21.9515533447266 13.8690004348755
"182" 61.6042594909668 22.251371383667 16.1926937103271
"183" 61.6656494140625 22.1060199737549 15.4166402816772
"184" 61.602855682373 22.0178108215332 14.7352151870728
"185" 61.4206428527832 21.7976684570312 13.6700210571289
"186" 62.3020515441895 21.7548637390137 15.5974578857422
"187" 62.1103439331055 21.7544822692871 14.8490533828735
"188" 62.1550331115723 21.5469722747803 14.1036720275879
"189" 59.7087097167969 32.8538970947266 40.6838684082031
"190" 57.5869979858398 35.2890968322754 42.6896858215332
"191" 55.199275970459 37.2120666503906 44.7794876098633
"192" 54.0414543151855 37.1338806152344 43.1236991882324
"193" 53.2973175048828 35.8522605895996 41.1552848815918
"194" 52.3095970153809 34.9826622009277 39.5572853088379
"195" 51.0581512451172 34.0477981567383 38.0668029785156
"196" 58.6205215454102 31.5241603851318 41.3213424682617
"197" 56.9785308837891 35.1168937683105 43.4742813110352
"198" 54.6414413452148 36.9986038208008 45.519847869873
"199" 53.8506736755371 35.9103851318359 43.3408012390137
"200" 52.7016181945801 34.9395484924316 41.1811599731445
"201" 50.679988861084 33.8590354919434 40.0696334838867
"202" 57.3271522521973 30.9937534332275 42.8046798706055
"203" 55.7933464050293 33.9697036743164 44.2126045227051
"204" 54.0585403442383 36.9914207458496 46.1374588012695
"205" 53.7913818359375 35.9576721191406 45.2427978515625
"206" 51.7986030578613 34.7516174316406 42.822940826416
"207" 50.6075057983398 34.0439338684082 41.4365692138672
"208" 49.4783554077148 33.5601997375488 40.3585624694824
"209" 55.7147750854492 31.3726482391357 43.9514274597168
"210" 54.5784797668457 34.3230514526367 45.845272064209
"211" 53.5487251281738 36.1704216003418 46.9030113220215
"212" 52.577751159668 35.3365669250488 45.4840507507324
"213" 51.9689025878906 33.7818984985352 43.120964050293
"214" 49.8393402099609 33.2753105163574 41.4095039367676
"215" 54.7833404541016 30.9598846435547 44.7061157226562
"216" 53.7556381225586 33.7138786315918 46.1595191955566
"217" 52.5856819152832 35.8640937805176 47.2023162841797
"218" 52.7441444396973 35.4105033874512 47.2036247253418
"219" 51.7656784057617 33.6692314147949 44.7603530883789
"220" 50.3055953979492 32.9883308410645 43.0525054931641
"221" 49.0583534240723 33.2117881774902 41.9101600646973
"222" 53.9076156616211 30.7397441864014 45.5204582214355
"223" 53.040641784668 32.8327713012695 46.5623435974121
"224" 52.4892272949219 35.3912239074707 48.4807205200195
"225" 51.5155563354492 36.3659400939941 48.4830703735352
"226" 51.7755928039551 34.0734748840332 46.5476150512695
"227" 50.2573051452637 33.0453414916992 44.3873023986816
"228" 50.0155029296875 32.8556632995605 42.8360290527344
