"V1" "V2" "V3"
"1" 25.5337810516357 9.98360157012939 9.19140434265137
"2" 24.3424 9.7006 8.8589
"3" 23.1013 9.4498 8.7337
"4" 21.8655 9.203 8.5684
"5" 20.6294 8.9385 8.5987
"6" 19.3874 8.7562 8.6272
"7" 18.199 8.4506 8.6503
"8" 16.9814 8.0948 8.6609
"9" 15.7798 7.6942 8.7774
"10" 14.5592 7.3931 8.9487
"11" 13.3914 7.0871 9.3348
"12" 12.2035 6.911 9.7536
"13" 11.069 6.6641 10.0575
"14" 9.8878 6.5262 9.6888
"15" 8.6815 6.764 9.8096
"16" 7.62114858627319 7.38113880157471 10.045597076416
"17" 31.6441040039062 24.3785495758057 8.1896448135376
"18" 32.4058 23.6101 8.1756
"19" 33.4264 23.2944 7.8607
"20" 34.1012 22.516 7.4283
"21" 34.781 21.8431 6.836
"22" 35.7269 21.8065 6.3908
"23" 36.1447 22.731 5.9914
"24" 36.144 23.7428 5.74
"25" 35.2724 24.3798 5.9023
"26" 34.7881 25.2666 6.4099
"27" 34.0188 26.0954 6.444
"28" 33.0176 26.5416 6.6607
"29" 32.0514 26.2609 7.1486
"30" 31.6419 25.3256 7.6211
"31" 25.5337810516357 9.98360157012939 9.19140434265137
"32" 16.4436283111572 14.4929866790772 13.3195915222168
"33" 14.7804765701294 5.31293678283691 21.2774887084961
"34" 15.7164 5.3767 22.2504
"35" 16.8931 5.8035 22.8403
"36" 18.1513 6.2544 23.2143
"37" 19.4713 6.6494 23.279
"38" 20.7654 7.0469 23.0619
"39" 21.9735 7.4457 22.553
"40" 22.9589 7.6848 21.6195
"41" 23.755 7.758 20.4866
"42" 24.305 7.8237 19.2141
"43" 24.4088 7.7559 17.8534
"44" 23.9777 7.5997 16.5566
"45" 23.2155 7.3685 15.4215
"46" 22.2234 7.1543 14.505
"47" 20.9584 6.8855 14.0107
"48" 19.6426 6.5343 13.797
"49" 18.3274 6.1392 13.8147
"50" 17.0364 5.8822 14.246
"51" 15.9008 5.5423 14.8923
"52" 15.0309 5.2747 15.9359
"53" 14.5511 5.0086 17.1909
"54" 14.4163 4.8718 18.5608
"55" 14.5519 5.0804 19.9262
"56" 22.6285305023193 15.8688364028931 12.901159286499
"57" 21.5193 15.9609 12.746
"58" 20.3862 15.7513 12.7245
"59" 19.2815 15.432 12.7218
"60" 18.206 15.0574 12.9475
"61" 17.091 14.8726 13.148
"62" 16.0512 14.5124 13.3981
"63" 15.092 14.1548 13.6541
"64" 14.1047 14.3427 13.9289
"65" 13.1204147338867 14.610203742981 14.1904973983765
"66" 22.6285305023193 15.8688364028931 12.901159286499
"67" 6.5750036239624 4.80370140075684 20.556282043457
"68" 13.1204147338867 14.610203742981 14.1904973983765
"69" 6.5750036239624 4.80370140075684 20.556282043457
"70" 7.2933 5.9583 22.1427
"71" 8.2886 7.4131 23.2979
"72" 9.4844 8.9217 24.1247
"73" 10.5958 10.5711 24.8462
"74" 11.8053 12.0933 25.6749
"75" 13.0501 13.6117 26.4511
"76" 14.3517 15.1977 26.9576
"77" 15.5526 16.9204 27.169
"78" 16.7435 18.6454 27.4178
"79" 18.0241 20.3097 27.6713
"80" 19.2132 22.0083 28.0849
"81" 20.493 23.6341 28.5269
"82" 21.7827 25.2807 28.8369
"83" 23.1091 26.9137 29.0186
"84" 24.218 28.705 29.1178
"85" 25.3087 30.5143 29.1908
"86" 26.5279 32.2274 28.9893
"87" 27.6779384613037 33.9981460571289 28.9644298553467
"88" 29.5359897613525 37.2561912536621 14.897271156311
"89" 27.6779384613037 33.9981460571289 28.9644298553467
"90" 7.62114858627319 7.38113880157471 10.045597076416
"91" 4.06341648101807 24.9957447052002 11.3368501663208
"92" 4.137 23.704 10.6581
"93" 4.3063 22.2849 10.3309
"94" 4.52 20.8467 10.1156
"95" 4.6524 19.3926 10.0319
"96" 4.8959 17.955 9.8709
"97" 5.0176 16.4982 9.7768
"98" 5.1312 15.0329 9.7995
"99" 5.2609 13.5811 9.9812
"100" 5.6473 12.1921 10.0944
"101" 5.8583 10.8289 10.5781
"102" 6.0491 9.4636 10.3486
"103" 6.6939 8.4887 9.794
"104" 7.62114858627319 7.38113880157471 10.045597076416
