"V1" "V2" "V3"
"1" 7.03544139862061 37.8475227355957 8.90662479400635
"2" 7.8114 38.6246 7.9349
"3" 8.3919 39.8426 7.3182
"4" 9.0461 41.0792 6.804
"5" 9.704 42.3741 6.4808
"6" 10.433 43.6637 6.5783
"7" 11.1241 44.9835 6.5051
"8" 11.7642 46.325 6.5255
"9" 12.5012 47.5624 6.8741
"10" 13.3391 48.7249 6.9637
"11" 14.0113 49.9479 6.4489
"12" 14.727 51.1891 6.0529
"13" 15.6586 52.2632 5.7786
"14" 16.7944 53.1287 6.1413
"15" 17.7591 53.6874 7.111
"16" 18.8496417999268 53.9809036254883 7.6077938079834
"17" 9.36823558807373 22.7102928161621 4.60513639450073
"18" 8.6878 23.2896 4.7243
"19" 7.7994 23.3639 4.864
"20" 6.9095 23.1446 4.9934
"21" 6.0112 23.2633 4.9654
"22" 5.1923 23.4566 4.6073
"23" 4.5027 23.3763 4.0411
"24" 4.5093 22.6861 3.576
"25" 5.116 22.0384 3.6012
"26" 5.8797 21.7451 3.9572
"27" 6.7642 21.6466 4.1678
"28" 7.6174 21.4703 3.9052
"29" 8.5243 21.6272 3.9641
"30" 9.3669 21.9051 4.1578
"31" 7.03544139862061 37.8475227355957 8.90662479400635
"32" 14.2208986282349 43.0214004516602 8.92638397216797
"33" 11.6969528198242 49.2970161437988 15.2401161193848
"34" 10.6639 49.032 16.5005
"35" 9.8326 48.2406 17.7288
"36" 8.9386 46.9746 18.1449
"37" 8.0967 45.5793 18.5374
"38" 7.4107 44.0671 18.7635
"39" 6.5806 42.6076 18.7312
"40" 6.121 40.9946 18.6918
"41" 5.5961 39.5768 18.0144
"42" 5.059 38.6629 16.7399
"43" 4.5839 38.4995 15.1687
"44" 4.5855 38.7628 13.5182
"45" 4.7343 39.525 12.0315
"46" 5.4503 40.1954 10.6837
"47" 6.7245 40.78 9.801
"48" 7.9284 41.55 8.967
"49" 8.7484 42.9597 8.6642
"50" 9.6854 44.3528 8.699
"51" 10.6892 45.6701 8.9456
"52" 11.3942 47.0739 9.5254
"53" 11.9609 48.2641 10.5434
"54" 12.0574 49.0722 11.987
"55" 12.041 49.4689 13.6007
"56" 10.8240051269531 36.0422592163086 10.0516538619995
"57" 11.3985 37.6108 9.8623
"58" 12.0308 39.1836 9.5294
"59" 12.6351 40.7213 9.0221
"60" 13.4844 42.2055 8.7851
"61" 14.5099 43.5911 8.8158
"62" 15.0426 45.1915 8.5973
"63" 16.129 46.5074 8.6795
"64" 17.0421 47.7849 9.1589
"65" 18.4742088317871 48.4951019287109 9.68777275085449
"66" 10.8240051269531 36.0422592163086 10.0516538619995
"67" 18.0518245697021 53.7273941040039 18.0715885162354
"68" 18.4742088317871 48.4951019287109 9.68777275085449
"69" 18.0518245697021 53.7273941040039 18.0715885162354
"70" 17.7949 51.5106 19.5238
"71" 17.8215 48.8972 19.9904
"72" 17.8343 46.2284 20.3434
"73" 17.7569 43.579 20.8131
"74" 17.6633 40.9355 21.3065
"75" 17.5907 38.2675 21.6576
"76" 17.6191 35.6104 22.0639
"77" 17.6824 32.9634 22.4492
"78" 17.8191 30.3667 23.0177
"79" 17.834 27.8795 24.0055
"80" 17.9913 25.2726 24.3057
"81" 17.9695 22.6845 23.6723
"82" 18.111 20.0544 23.269
"83" 18.4123 17.3894 23.2063
"84" 18.6116 14.7142 23.2822
"85" 18.8815 12.0413 23.1912
"86" 19.2002 9.3866 22.906
"87" 19.7998161315918 6.84748601913452 22.2906951904297
"88" 17.6926193237305 14.0012378692627 11.7906074523926
"89" 19.7998161315918 6.84748601913452 22.2906951904297
"90" 18.8496417999268 53.9809036254883 7.6077938079834
"91" 29.3902587890625 38.0383567810059 9.26889610290527
"92" 28.6848 39.2381 8.5021
"93" 27.9939 40.5753 7.9714
"94" 27.2943 41.961 7.6733
"95" 26.6065 43.3505 7.3726
"96" 25.9037 44.7802 7.3379
"97" 25.2727 46.2462 7.3346
"98" 24.4881 47.6041 7.5
"99" 23.6706 48.9696 7.3941
"100" 23.0128 50.3853 7.0633
"101" 22.3441 51.7527 6.5834
"102" 21.3493 52.9173 6.2448
"103" 20.1157 53.646 6.6955
"104" 18.8496417999268 53.9809036254883 7.6077938079834
"105" 29.3902587890625 38.0383567810059 9.26889610290527
"106" 22.7474956512451 43.1152648925781 9.35456466674805
"107" 24.5428848266602 48.9775009155273 16.7072257995606
"108" 25.5168 48.1915 17.8979
"109" 26.5249 46.901 18.5377
"110" 27.2327 45.5329 19.3869
"111" 27.7716 43.9588 19.9709
"112" 28.6003 42.4507 20.0791
"113" 29.192 40.7966 20.0105
"114" 29.7331 39.157 19.7114
"115" 30.4177 38.0531 18.5405
"116" 30.9515 37.6686 16.9153
"117" 31.4289 38.1736 15.3239
"118" 31.2158 38.5601 13.63
"119" 30.8234 39.555 12.2482
"120" 29.7578 40.4006 11.1403
"121" 28.6494 41.4409 10.2936
"122" 27.7503 42.8896 9.8695
"123" 26.9739 44.4603 9.8222
"124" 26.0552 45.9494 9.9986
"125" 25.064 47.2373 10.6272
"126" 24.5876 48.4619 11.7717
"127" 24.0784 49.1294 13.3146
"128" 23.9862 49.0302 15.0345
"129" 25.2614288330078 35.5092163085938 10.9155445098877
"130" 24.9756 37.1739 10.6982
"131" 24.4496 38.7655 10.2921
"132" 23.9911 40.3484 9.7396
"133" 23.4701 41.9866 9.5292
"134" 22.4922 43.3851 9.2917
"135" 21.7041 44.9021 8.9732
"136" 21.0278 46.4725 8.8302
"137" 19.8423 47.6036 9.1869
"138" 18.4742088317871 48.4951019287109 9.68777275085449
"139" 25.2614288330078 35.5092163085938 10.9155445098877
"140" 8.91875457763672 22.7663078308105 4.32054996490479
"141" 8.9366397857666 22.4186000823975 4.2371997833252
"142" 8.82108020782471 22.1875 4.16016006469727
"143" 8.55572032928467 21.7980003356934 3.92903995513916
"144" 8.42372989654541 21.7235813140869 3.89015531539917
"145" 8.53088665008545 22.9484920501709 4.38186883926392
"146" 8.48908138275146 22.7653007507324 4.31423997879028
"147" 8.43587970733643 22.7653007507324 4.31423997879028
"148" 8.16049098968506 21.8794002532959 3.92903995513916
"149" 7.76450538635254 21.7637996673584 3.85199999809265
"150" 8.09683609008789 23.0235538482666 4.39128017425537
"151" 7.97564220428467 22.6399936676025 4.30445337295532
"152" 7.97363996505737 22.6112003326416 4.27572011947632
"153" 7.7039999961853 21.9179000854492 3.92903995513916
"154" 7.47082757949829 21.8483428955078 3.92903995513916
"155" 7.71212911605835 23.0661926269531 4.43129920959473
"156" 7.57230949401855 22.7037124633789 4.32966136932373
"157" 7.40225982666016 22.7268009185791 4.35275983810425
"158" 7.20323991775513 22.1105003356934 4.08311986923218
"159" 7.06017303466797 21.8916816711426 4.08132791519165
"160" 7.2237663269043 22.9752826690674 4.54536008834839
"161" 7.08953952789307 22.6805477142334 4.42980003356934
"162" 6.98887252807617 22.3982219696045 4.33237648010254
"163" 6.97211980819702 22.1490001678467 4.16016006469727
"164" 6.97853994369507 21.8087005615234 4.08311986923218
"165" 6.81179285049438 22.8597984313965 4.63860940933228
"166" 6.64042615890503 22.613151550293 4.4683198928833
"167" 6.55371761322021 22.4206027984619 4.31947612762451
"168" 6.16320991516113 22.3031005859375 4.08311986923218
"169" 6.12468004226685 22.0333995819092 4.00608015060425
"170" 6.28724813461304 22.9764556884766 4.61391735076904
"171" 6.20144128799438 22.6986064910889 4.35275983810425
"172" 6.1191873550415 22.3823585510254 4.11838245391846
"173" 5.98363447189331 22.0326519012451 3.94207429885864
"174" 5.90545034408569 23.1295509338379 4.47975826263428
"175" 5.89818286895752 22.8926525115967 4.29211521148682
"176" 5.81407833099365 22.6782531738281 4.07062768936157
"177" 5.75837326049805 22.248592376709 3.85199999809265
"178" 5.52855062484741 23.3151397705078 4.42202186584473
"179" 5.52693462371826 23.0305995941162 4.1216402053833
"180" 5.46736288070679 22.7275218963623 3.8905200958252
"181" 5.38450622558594 22.3527565002441 3.69779467582703
"182" 5.20672655105591 23.3297443389893 4.193039894104
"183" 5.11619806289673 23.0792446136475 3.96635627746582
"184" 5.20019006729126 22.8808994293213 3.85199999809265
"185" 5.28033065795898 22.51123046875 3.69745779037476
"186" 4.76564884185791 23.2310695648193 3.89845371246338
"187" 4.62239980697632 23.0349006652832 3.69792008399963
"188" 4.73794984817505 22.6882991790771 3.58236002922058
"189" 8.01216983795166 37.7111015319824 9.82258987426758
"190" 7.81694412231445 37.7495994567871 9.9800271987915
"191" 7.74006986618042 37.6738014221191 9.6958703994751
"192" 8.13476848602295 37.715217590332 9.4763765335083
"193" 8.76239681243896 37.6987724304199 9.63912200927734
"194" 9.52934455871582 37.325382232666 9.6650447845459
"195" 10.2037086486816 36.9076118469238 9.77831649780273
"196" 8.71426677703857 38.791820526123 8.64662456512451
"197" 8.82108020782471 38.3658981323242 9.24479961395264
"198" 8.20772457122803 38.3566665649414 8.66699981689453
"199" 8.69235610961914 38.5513877868652 8.85380458831787
"200" 9.62827777862549 38.3723297119141 9.24504566192627
"201" 10.3361005783081 38.0147438049316 9.10445976257324
"202" 8.88545989990234 39.6873550415039 7.9854531288147
"203" 9.24462509155273 39.415828704834 8.84929084777832
"204" 9.13197040557861 39.099422454834 8.86788177490234
"205" 8.97516441345215 39.419807434082 8.42201519012451
"206" 9.88810539245605 39.2698173522949 9.01368045806885
"207" 10.4964551925659 38.9339332580566 9.01368045806885
"208" 11.0316247940063 38.6791801452637 9.06617164611816
"209" 9.20406818389893 40.4804878234863 7.64886617660522
"210" 9.42992401123047 40.2701950073242 8.40786552429199
"211" 9.30569171905518 39.9990997314453 8.4041690826416
"212" 9.63542079925537 40.3437843322754 8.63389778137207
"213" 10.4404344558716 39.9280319213867 8.82108020782471
"214" 11.1360292434692 39.4399299621582 8.85960006713867
"215" 9.50817012786865 41.268798828125 7.25834178924561
"216" 9.6519660949707 41.1523628234863 7.9362473487854
"217" 9.80617618560791 40.9844093322754 8.49738693237305
"218" 9.84172439575195 41.1993408203125 8.43587970733643
"219" 10.8240995407104 40.6771011352539 8.66699981689453
"220" 11.1657514572144 40.3776741027832 8.62847995758057
"221" 11.6284341812134 40.1718292236328 8.74403953552246
"222" 9.91753387451172 42.1551551818848 7.0861611366272
"223" 9.99485492706299 42.1098556518555 7.59459495544434
"224" 10.2413024902344 42.0327949523926 8.26473140716553
"225" 10.4411869049072 42.1400108337402 8.40542411804199
"226" 10.1308002471924 42.1794013977051 7.85807991027832
"227" 11.6716003417969 41.3704986572266 8.51292037963867
"228" 12.0367345809937 40.8846054077148 8.66699981689453
"229" 10.5544996261597 43.2237014770508 7.35945987701416
"230" 10.613655090332 43.2121467590332 7.70095157623291
"231" 10.9437103271484 43.1682052612305 8.26061820983887
"232" 11.1013336181641 43.1736488342285 8.3588399887085
"233" 10.5930004119873 43.1039009094238 7.78105020523071
"234" 12.1017932891846 41.9499168395996 8.47427463531494
"235" 12.4299001693726 41.6618003845215 8.58755016326904
"236" 11.1323003768921 44.4136009216309 7.1262001991272
"237" 11.2130537033081 44.3190498352051 7.73099613189697
"238" 11.5918016433716 44.1701545715332 8.29049491882324
"239" 11.7305421829224 43.9748268127441 8.43587970733643
"240" 12.4238758087158 43.0768775939941 8.47439956665039
"241" 12.8322896957397 42.390983581543 8.51292037963867
