"V1" "V2" "V3"
"1" 17.7982044219971 13.7115974426269 8.87083435058594
"2" 17.4877 13.9222 8.2305
"3" 17.0865 14.077 7.6302
"4" 16.6646 14.1932 7.034
"5" 16.271 14.2218 6.4115
"6" 15.8997 14.2496 5.7738
"7" 15.4906 14.0204 5.2245
"8" 15.2093 14.0624 4.5434
"9" 14.7995 13.9676 3.9356
"10" 14.382 13.8139 3.3442
"11" 14.0264 13.7331 2.6976
"12" 13.7141 13.7906 2.0308
"13" 13.4095 13.8805 1.3744
"14" 12.9845 13.5015 0.9445
"15" 12.5737 12.9525 0.6969
"16" 12.0571804046631 12.4215431213379 0.638346195220947
"17" 16.2090454101562 14.9352264404297 15.948540687561
"18" 16.4676 14.7779 15.73
"19" 16.824 14.661 15.806
"20" 17.1804 14.5569 15.8777
"21" 17.5556 14.5652 15.8
"22" 17.9244 14.6869 15.775
"23" 18.2493 14.8872 15.8388
"24" 18.3729 15.102 16.1162
"25" 18.182 15.2406 16.4124
"26" 17.8685 15.1976 16.5799
"27" 17.498 15.0799 16.5819
"28" 17.125 15.0518 16.556
"29" 16.7671 15.1218 16.4259
"30" 16.4712 15.07 16.2056
"31" 17.7982044219971 13.7115974426269 8.87083435058594
"32" 14.4784822463989 13.3002128601074 6.22017908096313
"33" 14.2622690200806 8.20720767974854 3.57382082939148
"34" 14.4152 7.4042 4.2799
"35" 14.7032 6.9484 5.2085
"36" 14.8426 6.5336 6.1978
"37" 15.0031 6.3572 7.2396
"38" 15.6691 6.471 8.0669
"39" 16.3539 6.6103 8.8813
"40" 17.1212 7.0535 9.472
"41" 17.7375 7.5846 10.1594
"42" 18.3275 8.3762 10.596
"43" 18.5323 9.4264 10.5249
"44" 18.6295 10.371 10.0114
"45" 18.4304 11.2553 9.4289
"46" 18.1158 12.0012 8.7417
"47" 17.6344 12.5774 7.9834
"48" 17.064 13.231 7.372
"49" 16.5394 13.169 6.4477
"50" 15.9604 13.002 5.5488
"51" 15.3336 12.7041 4.7166
"52" 14.7752 12.1913 3.9524
"53" 14.5364 11.271 3.4452
"54" 14.3868 10.241 3.1519
"55" 14.4361 9.1962 3.1618
