"V1" "V2" "V3"
"1" 43.0335350036621 36.0109519958496 12.7119960784912
"2" 44.3197 34.9946 13.0784
"3" 45.2688 33.8772 13.933
"4" 46.0677 32.7842 14.8985
"5" 47.1436 31.5984 15.4455
"6" 48.329 30.3795 15.5293
"7" 49.4778 29.1265 15.6142
"8" 50.5556 28.0064 15.4376
"9" 51.5606 26.7733 15.4493
"10" 52.4431 25.3752 15.4804
"11" 53.3176 23.9168 15.4437
"12" 54.3496 22.7463 15.4959
"13" 55.2121 21.621 15.7696
"14" 55.8592 20.2067 16.3706
"15" 56.2736 18.6692 15.9927
"16" 56.0636978149414 17.278564453125 15.0395431518555
"17" 28.279806137085 35.1407051086426 8.27738952636719
"18" 28.5719 36.0464 8.9681
"19" 28.4877 37.0547 9.5847
"20" 28.8076 38.1394 9.5767
"21" 29.3259 39.1205 9.1406
"22" 29.3775 40.1788 8.6472
"23" 28.5462 40.7524 8.1182
"24" 27.6917 40.4594 7.3961
"25" 26.8566 39.7665 6.9138
"26" 26.4068 38.75 7.3711
"27" 26.0389 37.6904 7.3427
"28" 25.8853 36.5894 6.9104
"29" 26.497 35.6148 7.0331
"30" 27.458 35.0555 7.4029
"31" 43.0335350036621 36.0109519958496 12.7119960784912
"32" 41.0533790588379 26.4490871429443 17.2585964202881
"33" 47.595272064209 25.938024520874 29.5488624572754
"34" 45.9165 25.7557 30.6013
"35" 44.0899 25.5243 31.2687
"36" 42.1363 25.4155 31.4915
"37" 40.3408 26.2067 31.771
"38" 38.8397 27.4397 32.1031
"39" 37.8898 29.0967 31.732
"40" 37.7387 31.0063 31.3271
"41" 37.5745 32.7197 30.341
"42" 37.7454 34.2868 29.1552
"43" 38.316 35.5352 27.7298
"44" 39.2464 35.8999 26.0351
"45" 40.3674 36.2958 24.4687
"46" 41.7123 36.0386 23.0479
"47" 43.1346 35.0833 22.0614
"48" 44.4792 33.7957 21.3588
"49" 45.5618 32.189 20.8843
"50" 46.6273 30.5178 20.9352
"51" 47.7644 29.0146 21.5268
"52" 48.5126 27.8138 22.8787
"53" 49.0659 26.9702 24.5911
"54" 49.4452 26.2718 26.4047
"55" 48.9344 26.3248 28.1221
"56" 39.7708740234375 29.2792701721191 17.7480621337891
"57" 40.5766 28.2609 17.0519
"58" 41.5326 27.1696 16.8199
"59" 42.5504 26.1143 16.8128
"60" 43.5597 25.0498 16.7947
"61" 44.4021 23.9795 17.149
"62" 45.5308 23.0349 17.0751
"63" 46.3443 21.8348 17.1569
"64" 46.9057 20.4912 17.1304
"65" 47.0342750549316 19.1113109588623 16.7470073699951
"66" 39.7708740234375 29.2792701721191 17.7480621337891
"67" 52.1787338256836 18.1865348815918 27.7504844665527
"68" 47.0342750549316 19.1113109588623 16.7470073699951
"69" 52.1787338256836 18.1865348815918 27.7504844665527
"70" 50.9817 18.4277 29.8731
"71" 48.8371 18.6476 31.1249
"72" 46.4241 19.138 31.6614
