"V1" "V2" "V3"
"1" 38.8244323730469 21.9834022521973 54.5958404541016
"2" 38.1646 20.3391 54.4736
"3" 37.489 18.7416 54.8636
"4" 36.7467 17.1874 55.3229
"5" 35.9429 15.6362 55.5488
"6" 35.5128 14.0249 56.0613
"7" 34.5671 12.6161 55.5962
"8" 33.634 11.1961 55.0587
"9" 32.7691 9.7331 54.5314
"10" 31.7917 8.3223 54.0585
"11" 30.7618 6.8967 54.0695
"12" 29.6356 5.5772 53.916
"13" 28.4531 4.3262 53.6015
"14" 27.2079 3.0675 53.6672
"15" 26.0145 1.9866 54.1227
"16" 24.341588973999 1.60933685302734 53.6559028625488
"17" 36.4886817932129 34.3640975952148 54.848087310791
"18" 37.5311 34.4486 55.1551
"19" 38.5173 34.6176 55.5626
"20" 39.5445 34.5918 55.3118
"21" 40.4834 34.58 54.7497
"22" 41.402 34.934 54.3919
"23" 41.5828 35.9488 54.1369
"24" 41.0729 36.8587 53.9111
"25" 40.1242 37.047 53.9168
"26" 39.2319 36.9995 54.5523
"27" 38.2073 37.1449 54.8363
"28" 37.2164 37.0958 54.3895
"29" 36.5534 36.3039 54.1611
"30" 36.1959 35.3017 54.389
"31" 38.8244323730469 21.9834022521973 54.5958404541016
"32" 28.0839557647705 14.2769050598144 58.363037109375
"33" 30.5328884124756 13.323917388916 72.8891067504883
"34" 31.3214 15.0361 73.5268
"35" 32.3644 16.7202 73.5238
"36" 33.7726 18.0494 73.176
"37" 35.5526 18.7116 72.6192
"38" 36.9464 19.4467 71.4014
"39" 37.86 20.0845 69.7546
"40" 38.5599 20.2074 67.8948
"41" 39.1836 19.6766 66.0893
"42" 39.4021 18.5696 64.4569
"43" 38.9505 17.2144 63.1392
"44" 37.8211 15.7742 62.3324
"45" 36.6179 14.3607 61.58
"46" 35.3602 12.9344 60.9513
"47" 34.1195 11.376 60.8479
"48" 33.1629 9.7447 61.4478
"49" 32.4739 8.3825 62.6928
"50" 32.0078 7.5913 64.4426
"51" 31.8122 6.9857 66.3397
"52" 31.3612 7.297 68.2509
"53" 31.0503 8.2592 69.958
"54" 30.85 9.6778 71.3096
"55" 30.5166 11.5197 72.0163
"56" 31.3445663452148 19.2949829101562 60.0339431762695
"57" 30.6583 17.9916 59.4827
"58" 30.0096 16.6515 58.9612
"59" 29.1375 15.3952 58.5904
"60" 28.2426 14.1539 58.2047
"61" 27.5298 12.7856 57.9575
"62" 26.818 11.3853 57.7867
"63" 26.2066 9.9303 57.8239
"64" 25.3204 8.6378 57.7349
"65" 24.1009483337402 7.73023319244385 57.3933410644531
"66" 31.3445663452148 19.2949829101562 60.0339431762695
"67" 24.6547737121582 3.59031105041504 66.5821990966797
"68" 24.1009483337402 7.73023319244385 57.3933410644531
"69" 24.6547737121582 3.59031105041504 66.5821990966797
"70" 24.7718 3.7163 68.7675
"71" 24.7408 5.0092 70.5437
"72" 24.6767 6.8794 71.6878
"73" 24.388 8.939 72.4186
"74" 24.3001 10.9812 73.2194
"75" 24.1706 13.0759 73.9036
"76" 24.0438 15.1685 74.549
"77" 23.9277 17.34 74.9251
"78" 23.5896 19.5085 75.0713
"79" 23.2911 21.6507 75.2975
"80" 23.0918 23.8275 75.551
"81" 23.186 26.0211 75.5999
"82" 22.765 28.1852 75.6459
"83" 22.4381 30.3655 75.7391
"84" 22.2681 32.5676 75.7138
"85" 22.0621 34.7642 75.5926
"86" 21.8841 36.9625 75.5984
"87" 21.7493114471436 39.156078338623 75.7849578857422
"88" 21.1522369384766 43.5221939086914 63.1952667236328
"89" 21.7493114471436 39.156078338623 75.7849578857422
"90" 24.341588973999 1.60933685302734 53.6559028625488
"91" 6.42639923095703 19.1285190582275 55.2198181152344
"92" 7.4188 17.4421 55.1653
"93" 8.5988 15.8653 55.5674
"94" 9.7298 14.259 55.9999
"95" 10.9582 12.6875 56.2526
"96" 12.1857 11.101 56.3236
"97" 13.5287 9.6737 55.9648
"98" 14.9231 8.3057 55.502
"99" 16.3597 6.9098 55.3274
"100" 17.7776 5.6091 54.7801
"101" 19.2745 4.3015 54.4679
"102" 20.6809 2.9218 54.1931
"103" 22.4389 1.977 54.0802
"104" 24.341588973999 1.60933685302734 53.6559028625488
"105" 6.42639923095703 19.1285190582275 55.2198181152344
"106" 18.6784553527832 14.0969791412353 59.0881118774414
"107" 17.660701751709 12.848578453064 73.3567428588867
"108" 16.6717 14.5827 73.9428
"109" 15.6211 16.3311 73.9475
"110" 13.6468 16.7556 73.5501
"111" 11.6972 17.0782 72.8812
"112" 10.0418 17.5788 71.7585
"113" 8.8798 18.0719 70.1195
"114" 8.1613 17.936 68.1826
"115" 7.7516 17.2131 66.2853
"116" 7.8716 16.1152 64.5443
"117" 8.6544 14.7232 63.2262
"118" 9.8245 13.2892 62.2861
"119" 11.3441 12.013 61.6406
"120" 12.8947 10.6757 61.3247
"121" 14.3092 9.208 61.7174
"122" 15.3262 7.7273 62.7621
"123" 16.0997 6.6166 64.2955
"124" 16.6729 6.2602 66.253
"125" 17.3497 6.7974 68.1221
"126" 17.7239 7.9401 69.8214
