"V1" "V2" "V3"
"1" 24.5321731567383 14.3751058578491 4.70564365386963
"2" 23.9242 14.3716 4.4642
"3" 23.2841 14.336 4.3288
"4" 22.6263 14.3313 4.2861
"5" 21.9751 14.3892 4.2045
"6" 21.3187 14.4345 4.1713
"7" 20.6714 14.4995 4.2336
"8" 20.029 14.5897 4.3264
"9" 19.3839 14.5956 4.4572
"10" 18.7317 14.6237 4.5404
"11" 18.085 14.6244 4.669
"12" 17.4597 14.6661 4.8621
"13" 16.8603 14.7282 5.1071
"14" 16.2628 14.8564 5.0619
"15" 15.6746 15.0424 5.0229
"16" 15.2774543762207 15.4387178421021 5.35275173187256
"17" 32.5424423217773 20.1531105041504 2.59064555168152
"18" 32.5693 19.713 2.7109
"19" 32.8818 19.3611 2.8366
"20" 33.1397 18.9534 2.8227
"21" 33.2927 18.5459 2.6089
"22" 33.4616 18.1848 2.3313
"23" 33.7932 18.0392 2.0301
"24" 34.0376 18.3807 1.8055
"25" 34.0868 18.8267 1.8958
"26" 34.0312 19.2641 2.0867
"27" 33.8282 19.674 2.0376
"28" 33.5427 20.0443 1.8908
"29" 33.2298 20.3772 2.0182
"30" 32.8534 20.3851 2.2908
"31" 24.5321731567383 14.3751058578491 4.70564365386963
"32" 21.2027969360352 17.9023361206055 5.44107484817505
"33" 17.9408683776856 14.662127494812 9.8870677947998
"34" 18.288 15.1366 10.674
"35" 18.8881 15.5941 11.3043
"36" 19.528 16.1285 11.8081
"37" 20.3986 16.3293 12.2325
"38" 21.3449 16.2985 12.4294
"39" 22.3179 16.2585 12.3784
"40" 23.2091 15.8888 12.2104
"41" 24.0323 15.3971 11.9724
"42" 24.6423 14.8499 11.4424
"43" 24.9938 14.3501 10.688
"44" 25.0694 13.9516 9.7894
"45" 24.9922 13.6944 8.84
"46" 24.5816 13.5597 7.9642
"47" 23.9972 13.6012 7.1684
"48" 23.2488 13.7827 6.5557
"49" 22.3681 13.9395 6.143
"50" 21.411 14.0372 5.9595
"51" 20.4379 14.1708 6.0554
"52" 19.5244 14.2469 6.4067
"53" 18.8787 14.359 7.1396
"54" 18.3874 14.4256 7.9929
"55" 18.0621 14.5001 8.9186
"56" 26.7055606842041 18.2285823822021 5.30595016479492
"57" 25.8836 18.9426 5.5615
"58" 24.7877 19.2267 5.7558
"59" 23.585 19.0346 5.7508
"60" 22.3966 18.8584 5.5577
"61" 21.3292 18.556 5.3159
"62" 20.2901 17.9465 5.1093
"63" 19.3224 17.2138 5.0872
"64" 18.3576 16.5015 5.2611
"65" 17.5662879943848 16.9145774841309 5.68373775482178
"66" 26.7055606842041 18.2285823822021 5.30595016479492
"67" 15.6218566894531 15.9653177261353 9.97751045227051
"68" 17.5662879943848 16.9145774841309 5.68373775482178
"69" 15.6218566894531 15.9653177261353 9.97751045227051
"70" 16.6555 16.4912 10.6635
"71" 17.7296 17.0106 11.3023
"72" 18.7221 17.6684 11.9454
"73" 19.7553 18.3407 12.5069
"74" 20.809 19.0756 12.929
"75" 21.9583 19.7282 13.2167
"76" 23.0199 20.5324 13.4613
"77" 24.155 21.2502 13.6395
"78" 25.2638 21.989 13.7974
"79" 26.3455 22.782 13.8981
"80" 27.5195 23.4247 14.0788
"81" 28.6391 24.1809 14.0325
"82" 29.7748 24.9117 13.9599
"83" 30.8998 25.6377 13.7696
"84" 32.0212 26.3672 13.5627
"85" 33.1083 27.1495 13.3716
"86" 34.238 27.8853 13.2756
"87" 35.387638092041 28.5832901000977 13.4203090667725
"88" 36.2550048828125 28.525369644165 5.75964736938477
"89" 35.387638092041 28.5832901000977 13.4203090667725
"90" 15.2774543762207 15.4387178421021 5.35275173187256
"91" 18.4975051879883 24.8374366760254 5.03114986419678
"92" 18.2561 24.306 4.476
"93" 17.9039 23.6108 4.2217
"94" 17.5507 22.8849 4.1214
"95" 17.217 22.1357 4.0486
"96" 16.9173 21.3702 4.0395
"97" 16.647 20.5996 4.1315
"98" 16.3905 19.8402 4.3122
"99" 16.0555 19.113 4.5011
"100" 15.7319 18.3936 4.731
"101" 15.4201 17.6622 4.9286
"102" 15.2144 16.9164 5.0298
"103" 15.0536 16.1237 5.0276
"104" 15.2774543762207 15.4387178421021 5.35275173187256
"105" 18.4975051879883 24.8374366760254 5.03114986419678
"106" 20.0847415924072 19.7509002685547 5.36423349380493
"107" 15.6097211837769 18.3999576568604 9.99142932891846
"108" 16.2231 18.6435 10.8038
"109" 17.055 18.9314 11.365
"110" 17.8283 19.4067 11.841
"111" 18.4572 20.119 12.2705
"112" 18.7729 21.0833 12.398
"113" 18.8953 22.052 12.2709
"114" 18.852 23.0483 12.0141
"115" 18.8386 23.9981 11.6257
"116" 18.4861 24.6729 10.9221
"117" 18.1492 25.073 10.0185
"118" 17.8505 25.2071 9.0266
"119" 17.5502 25.0256 8.0469
"120" 17.3603 24.4307 7.2149
"121" 17.1943 23.6468 6.54
"122" 16.9694 22.7516 6.0488
"123" 16.616 21.7837 5.8586
"124" 16.2892 20.7974 5.9309
"125" 15.8947 19.9013 6.2769
"126" 15.6236 19.2377 7.0191
