"V1" "V2" "V3"
"1" 305.041442871094 156.993072509766 448.362518310547
"2" 300.879 149.701 455.5232
"3" 293.7635 146.4892 463.7083
"4" 285.9501 143.0732 471.1821
"5" 277.901 141.4543 479.0566
"6" 269.6811 141.1479 486.9146
"7" 261.986 140.6134 495.2651
"8" 254.2529 141.4254 503.5332
"9" 247.2799 143.6151 512.2553
"10" 240.2495 147.8749 520.1141
"11" 232.9864 151.1671 528.1912
"12" 226.1383 153.8356 536.8604
"13" 218.2816 153.368 545.0754
"14" 211.5193 151.0254 553.5487
"15" 201.4746 155.2551 554.9802
"16" 191.871475219727 161.116424560547 555.922119140625
"17" 303.456359863281 109.624145507812 317.066833496094
"18" 311.5648 113.551 319.2566
"19" 320.3768 114.0315 316.619
"20" 329.4801 112.5251 316.9843
"21" 338.5651 112.8481 319.4114
"22" 344.6093 111.9708 313.5648
"23" 347.9709 108.7946 305.3135
"24" 346.5785 104.6313 298.0379
"25" 339.7116 100.2324 300.823
"26" 330.734 100.7091 302.1762
"27" 321.8019 101.1603 299.6777
"28" 313.2049 98.6705 299.0454
"29" 305.1583 99.1362 303.6045
"30" 300.7667 103.1005 310.7618
"31" 305.041442871094 156.993072509766 448.362518310547
"32" 238.64875793457 154.523498535156 484.661071777344
"33" 256.101928710938 250.606918334961 500.43359375
"34" 260.369 256.8986 489.0045
"35" 262.3972 261.2366 476.4792
"36" 266.7875 263.575 463.8225
"37" 273.3443 263.0773 452.1003
"38" 281.5539 259.4838 441.7458
"39" 289.9645 255.1313 431.7911
"40" 296.4132 245.0305 425.7999
"41" 303.1614 233.1137 425.1496
"42" 308.4709 220.8584 427.9446
"43" 310.6285 208.451 433.4733
"44" 310.569 197.889 441.9056
"45" 308.4302 190.1502 453.0959
"46" 304.3006 182.2104 463.4418
"47" 296.4636 176.7667 473.2891
"48" 287.2503 174.5409 483.0893
"49" 277.5253 175.0314 492.816
"50" 268.9026 179.3464 502.5358
"51" 262.1862 188.25 510.4347
"52" 257.7178 200.05 515.7611
"53" 256.0652 213.5102 516.9834
"54" 255.0714 226.9122 514.1166
"55" 255.0885 239.1996 508.0841
"56" 269.229309082031 160.859436035156 418.741668701172
"57" 266.9211 156.6193 435.1314
"58" 263.9661 154.7816 451.8546
"59" 255.8826 153.0539 466.5472
"60" 246.112 152.4697 480.4008
"61" 236.8994 155.1801 494.4529
"62" 230.0399 160.3535 509.1409
"63" 220.1321 168.9697 519.9075
"64" 206.1416 176.7654 525.0416
"65" 190.409317016602 182.780334472656 526.781372070312
"66" 269.229309082031 160.859436035156 418.741668701172
"67" 196.037170410156 262.585815429688 546.001892089844
"68" 190.409317016602 182.780334472656 526.781372070312
"69" 196.037170410156 262.585815429688 546.001892089844
"70" 195.308 272.0633 529.2398
"71" 195.9399 275.7908 510.4629
"72" 195.556 274.88 491.2205
"73" 195.085 273.8985 472.0135
"74" 194.7075 274.9048 452.7292
"75" 195.95 279.1427 433.9679
"76" 195.194 282.767 415.0175
"77" 196.6416 284.5733 395.9036
"78" 196.9167 286.1997 376.6674
"79" 197.5856 288.6977 357.5342
"80" 198.0785 290.3342 338.2919
"81" 198.5905 289.7376 318.9967
"82" 198.1583 285.4644 300.3094
"83" 197.5828 280.7639 281.7727
