"V1" "V2" "V3"
"1" 47.0054588317871 37.8855857849121 9.26293563842773
"2" 46.2844 36.5726 7.9857
"3" 45.2753 34.9576 7.431
"4" 44.2987 33.2867 7.2904
"5" 43.1398 31.7993 6.6996
"6" 42.2633 30.0497 6.5891
"7" 41.1601 28.4134 6.3827
"8" 40.1584 26.7039 6.4392
"9" 39.0109 25.1539 6.8574
"10" 37.7621 23.7668 7.4839
"11" 36.7757 22.3365 8.3904
"12" 35.748 20.9024 8.99
"13" 34.5852 19.9744 7.874
"14" 32.9411 19.5363 7.3991
"15" 31.6508 18.5504 8.5409
"16" 29.9106712341309 18.0021133422852 9.02833557128906
"17" 41.6186714172363 53.7740859985352 2.28774166107178
"18" 42.6455 53.3885 2.1602
"19" 43.7578 53.6555 2.2839
"20" 44.8131 53.9223 2.631
"21" 45.8993 53.908 2.3295
"22" 46.8245 54.1239 1.6876
"23" 47.3095 54.9337 1.1024
"24" 46.7926 55.7202 0.7329
"25" 45.8076 56.1004 1.0628
"26" 44.9174 56.5282 1.6827
"27" 43.7814 56.6463 1.6344
"28" 42.8984 56.1738 1.0371
"29" 42.0128 55.4435 0.88
"30" 41.6761 54.4838 1.3643
"31" 47.0054588317871 37.8855857849121 9.26293563842773
"32" 33.6907005310059 30.7609519958496 10.2116422653198
"33" 36.8443717956543 24.4936084747314 21.6953430175781
"34" 37.08 26.0432 22.9351
"35" 37.7858 27.8608 23.5073
"36" 38.3609 29.7234 24.1089
"37" 39.0184 31.6303 24.2976
"38" 39.9953 33.3901 23.9717
"39" 41.3791 34.7787 23.5382
"40" 42.3634 36.4204 22.8354
"41" 43.4828 37.5684 21.6156
"42" 44.7199 38.3069 20.1976
"43" 45.6582 37.8299 18.5373
"44" 45.9521 36.8982 16.7661
"45" 45.7763 35.6285 15.1942
"46" 45.3059 34.1036 13.9289
"47" 44.6245 32.3741 13.1274
"48" 43.5981 30.6846 12.6365
"49" 42.4109 29.0392 12.4811
"50" 41.2151 27.3834 12.4178
"51" 39.8679 25.9703 12.946
"52" 38.8516 24.7812 14.1982
"53" 38.2131 23.9554 15.9372
"54" 37.5509 23.64 17.8422
"55" 37.074 23.8401 19.7725
"56" 38.5607719421387 41.0927391052246 10.9207181930542
"57" 37.8452 39.4133 10.4284
"58" 37.3319 37.5556 10.5269
"59" 36.4773 35.8161 10.6299
"60" 35.6102 34.0974 10.3939
"61" 34.6166 32.5123 10.1253
"62" 33.6501 30.8327 10.2699
"63" 32.5872 29.2098 10.0189
"64" 31.2443 27.8164 10.1333
"65" 29.696964263916 26.6720142364502 10.2995920181274
"66" 38.5607719421387 41.0927391052246 10.9207181930542
"67" 30.5330467224121 16.2298736572266 20.4578323364258
"68" 29.696964263916 26.6720142364502 10.2995920181274
"69" 30.5330467224121 16.2298736572266 20.4578323364258
"70" 30.3749 18.2692 22.4179
"71" 30.2756 20.8655 23.6391
"72" 30.1044 23.6235 24.4503
"73" 30.081 26.4532 24.9401
"74" 29.7831 29.266 25.3927
"75" 29.7399 32.1244 25.7448
"76" 29.5852 34.9914 25.9453
"77" 29.5893 37.8668 25.9784
"78" 29.3837 40.738 26.0598
"79" 29.1069 43.5953 26.2851
"80" 29.0689 46.4557 26.6031
"81" 29.1117 49.3176 26.8503
"82" 29.0569 52.1853 27.0879
"83" 28.9452 55.0634 27.1167
"84" 28.916 57.9334 27.3115
"85" 28.8996 60.7954 27.6163
"86" 28.8067 63.6572 27.8895
"87" 28.6969108581543 66.5183715820312 28.1144371032715
"88" 27.7554092407227 70.7262878417969 12.015962600708
"89" 28.6969108581543 66.5183715820312 28.1144371032715
"90" 29.9106712341309 18.0021133422852 9.02833557128906
"91" 12.0235681533813 36.4011154174805 9.9570779800415
"92" 12.7625 35.0438 8.4476
"93" 14.0032 33.3435 7.7776
"94" 15.3999 31.6342 7.5365
"95" 16.7179 29.9039 7.1272
"96" 17.9493 28.1021 6.9206
"97" 19.2341 26.3094 6.8893
"98" 20.71 24.6716 6.969
"99" 22.188 23.1492 7.5427
"100" 23.4886 21.7642 8.637
"101" 24.7753 20.0675 8.7469
"102" 26.166 19.5451 7.2729
"103" 27.9439 18.6308 8.2444
"104" 29.9106712341309 18.0021133422852 9.02833557128906
"105" 12.0235681533813 36.4011154174805 9.9570779800415
"106" 25.659049987793 29.9486885070801 10.2719144821167
"107" 23.858039855957 23.9200706481934 22.0020408630371
"108" 23.5426 25.4201 23.3694
"109" 22.7873 27.1766 24.2141
"110" 21.8476 28.9948 24.6648
"111" 20.8649 30.8394 24.814
"112" 19.5217 32.3942 24.3933
"113" 18.238 33.9924 23.9418
"114" 16.8597 35.3325 23.1761
"115" 15.5413 36.1887 21.7871
"116" 14.2743 36.2579 20.2038
"117" 13.698 35.3133 18.4298
"118" 13.6292 34.2309 16.6395
"119" 13.9774 32.7424 15.2185
"120" 14.7616 31.18 14.07
"121" 15.9632 29.6485 13.3058
"122" 17.2342 27.9962 13.0504
"123" 18.5769 26.3886 12.9414
"124" 20.1513 25.0723 13.1893
"125" 21.3994 23.9615 14.4282
"126" 22.344 23.366 16.2054
"127" 23.012 22.9174 18.1352
"128" 23.6317 23.1011 20.0813
"129" 19.5247173309326 39.3669357299805 11.6483173370361
"130" 20.8344 38.2395 10.929
"131" 21.5191 36.4869 10.9442
"132" 22.2458 34.8162 10.5034
"133" 23.1177 33.1208 10.3873
"134" 24.212 31.5834 10.1938
"135" 25.329 30.0385 10.158
"136" 26.5598 28.5803 10.274
"137" 27.9587 27.2908 10.2905
"138" 29.696964263916 26.6720142364502 10.2995920181274
"139" 19.5247173309326 39.3669357299805 11.6483173370361
"140" 42.1669578552246 53.7627487182617 1.74636507034302
"141" 42.1773529052734 54.216495513916 1.41562914848328
"142" 42.3395004272461 54.5859985351562 1.10772001743317
"143" 42.4835739135742 54.8936996459961 0.984639525413513
