"V1" "V2" "V3"
"1" 24.7652549743652 15.1482286453247 38.9160919189453
"2" 24.6567 14.406 39.7732
"3" 24.2584 14.2577 40.754
"4" 23.6019 14.2642 41.6947
"5" 22.9455 14.2707 42.6354
"6" 22.289 14.2772 43.5761
"7" 21.6325 14.2837 44.5168
"8" 20.9012 14.1998 45.3848
"9" 20.0145 14.1404 46.1063
"10" 19.0546 14.0693 46.7159
"11" 18.0969 13.9717 47.3382
"12" 17.1082 13.9357 47.914
"13" 16.184 13.5919 47.9075
"14" 15.4952 13.9106 48.5905
"15" 14.4 13.8237 48.9089
"16" 13.2763624191284 13.6570358276367 48.9798469543457
"17" 23.7340087890625 9.66113758087158 23.0196304321289
"18" 24.5524 9.8303 22.85
"19" 25.236 9.8051 22.3059
"20" 25.7775 10.3829 22.1061
"21" 26.4957 10.7105 22.4501
"22" 27.1837 10.4912 22.247
"23" 27.5326 9.9501 21.7173
"24" 27.453 9.3874 21.0794
"25" 27.0007 8.7627 20.6832
"26" 26.1861 8.4917 20.5943
"27" 25.3364 8.3021 20.6733
"28" 24.5797 8.3563 21.0881
"29" 24.0019 8.7605 21.5799
"30" 23.7624 9.2336 22.2651
"31" 24.7652549743652 15.1482286453247 38.9160919189453
"32" 21.2269077301025 14.970139503479 41.3560829162598
"33" 15.5771684646606 19.1143951416016 44.5395927429199
"34" 15.1652 19.4933 43.448
"35" 15.0065 19.7276 42.2449
"36" 15.1832 20.0276 41.077
"37" 15.6599 20.1442 39.9458
"38" 16.3231 20.191 38.9131
"39" 17.1653 20.1031 38.0205
"40" 18.1609 19.8617 37.3346
"41" 19.2366 19.5177 36.8629
"42" 20.363 19.0563 36.7344
"43" 21.4012 18.6349 37.0883
"44" 22.1565 18.1235 37.9107
"45" 22.6846 17.6228 38.9071
"46" 22.9198 17.1978 40.0388
"47" 22.7805 16.7527 41.1826
"48" 22.2828 16.3762 42.2281
"49" 21.6515 16.1208 43.2558
"50" 20.7994 16.1382 44.1434
"51" 19.8672 16.1686 44.9299
"52" 18.8804 16.4402 45.6099
"53" 17.8016 16.865 45.9814
"54" 16.8546 17.6257 45.9478
"55" 16.1712 18.4482 45.3945
"56" 22.9395427703857 14.7489576339722 37.6600608825684
"57" 22.7057 14.6973 39.1989
"58" 22.0682 14.5884 40.6166
"59" 21.2228 14.4605 41.927
"60" 20.1114 14.377 43.0131
"61" 18.7293 14.4903 43.7278
"62" 17.3732 14.3783 44.497
"63" 15.9424 14.2867 45.1111
