"V1" "V2" "V3"
"1" 4712.36376953125 37263.3984375 18653.41015625
"2" 3582.6919 36510.8153 17653.7308
"3" 2867.6944 35617.1916 16332.0369
"4" 2658.7885 34717.7226 14841.3548
"5" 2732.0927 34019.9797 13246.878
"6" 2833.0976 33146.2969 11790.4001
"7" 2895.1475 32475.8595 10213.5414
"8" 3801.478 32205.0562 8743.4161
"9" 4091.1829 31327.13 7349.7224
"10" 4237.3477 30390.3984 5956.4111
"11" 4753.3587 29366.1596 4689.5686
"12" 5453.5047 28333.7555 3453.4065
"13" 6055.5557 27057.7505 2518.0299
"14" 6601.6347 25580.7852 1836.1019
"15" 6718.61 23905.0305 1323.9281
"16" 7241.6083984375 22315.64453125 989.82421875
"17" 4125.81298828125 34404.02734375 36553.765625
"18" 4706.2766 35479.9749 36275.3442
"19" 5177.88 36592.0684 36711.6935
"20" 5336.1903 37877.4267 36607.4257
"21" 5271.5191 39146.798 36378.8395
"22" 5363.5331 40393.3709 36087.4498
"23" 5404.8408 41420.4392 36624.8653
"24" 5450.0203 41372.2421 37876.835
"25" 5170.8038 40389.845 38655.2108
"26" 5413.7265 39137.6055 38690.7222
"27" 5525.7085 37865.2877 38569.6463
"28" 5127.1637 36643.6173 38495.0094
"29" 4852.4554 35408.127 38389.2095
"30" 4071.3736 34589.1781 37793.7045
"31" 4712.36376953125 37263.3984375 18653.41015625
"32" 7589.892578125 26313.48828125 10810.58203125
"33" 13086.314453125 27947.8671875 5725.173828125
"34" 15264.5732 27155.9017 6166.6267
"35" 17404.6576 26358.7956 6642.905
"36" 18901.5947 25424.8159 8181.8862
"37" 20318.0889 24690.0827 9926.1056
"38" 21172.8944 24307.4516 12070.2945
"39" 21780.9949 24707.5187 14291.1035
"40" 22090.7446 25909.6735 16266.529
"41" 22028.82 27648.3461 17854.7185
"42" 21441.0981 29676.776 18908.7551
"43" 20532.0839 31618.0086 19896.0953
"44" 19252.0194 33372.1071 20822.8507
"45" 17921.56 35056.065 21759.8481
"46" 16059.156 36314.7193 21368.7339
"47" 14250.2596 36983.5473 20043.6503
"48" 12729.7682 36886.6482 18250.847
"49" 11556.0749 36193.5636 16380.3678
"50" 9981.4875 35206.4748 14937.9597
"51" 9152.4451 34083.8033 13054.2393
"52" 8493.6752 33039.1337 11040.9747
"53" 8925.3049 31879.4292 9080.567
"54" 9544.7261 30495.7617 7312.1026
