"V1" "V2" "V3"
"1" 18.3954811096191 15.3611097335815 11.0192804336548
"2" 17.9245 15.5213 10.3721
"3" 17.4894 15.676 9.6937
"4" 17.0443 15.9685 9.0685
"5" 16.5509 16.1754 8.4512
"6" 16.0811 16.4132 7.8274
"7" 15.5773 16.6939 7.2559
"8" 15.0796 16.9242 6.6494
"9" 14.5132 17.0988 6.0847
"10" 13.9125 17.0633 5.5336
"11" 13.3167 17.0147 4.9773
"12" 12.8101 16.9639 4.3338
"13" 12.2809 16.9562 3.7146
"14" 11.7485 17.0099 3.108
"15" 11.1189 17.1037 2.6102
"16" 10.3678674697876 17.3254795074463 2.40081596374512
"17" 15.6584548950195 16.2871379852295 19.6369247436523
"18" 16.0724 16.0793 19.2705
"19" 16.5841 15.8062 19.2783
"20" 17.1548 15.6885 19.3578
"21" 17.6823 15.7762 19.1128
"22" 18.1246 16.0794 18.9583
"23" 18.3581 16.5295 19.2407
"24" 18.3666 16.7311 19.7622
"25" 18.2305 16.691 20.312
"26" 17.78 16.3832 20.553
"27" 17.255 16.1141 20.5814
"28" 16.6832 16.2052 20.5942
"29" 16.1395 16.4044 20.6344
"30" 15.7665 16.4399 20.2018
"31" 18.3954811096191 15.3611097335815 11.0192804336548
"32" 11.5673847198486 14.7414112091065 7.8921422958374
"33" 13.3733320236206 10.2717399597168 3.47375631332398
"34" 13.6161 9.6792 4.0883
"35" 13.7442 9.1504 4.7833
"36" 14.1155 8.7538 5.476
"37" 14.5944 8.527 6.177
"38" 15.1942 8.5268 6.8303
"39" 15.8026 8.7017 7.4468
"40" 16.3305 9.0043 8.0853
"41" 16.8341 9.5947 8.4513
"42" 17.2204 10.3904 8.5036
"43" 17.4348 11.2394 8.3781
"44" 17.4586 12.0875 8.128
"45" 17.3475 12.9125 7.8272
"46" 17.1036 13.6688 7.4344
"47" 16.6899 14.2123 6.9027
"48" 16.1595 14.5642 6.2867
"49" 15.5941 14.6385 5.618
"50" 14.9858 14.6295 4.9833
"51" 14.4132 14.27 4.4242
"52" 13.9438 13.654 3.9942
"53" 13.7203 12.8409 3.7399
"54" 13.5438 12.0181 3.468
"55" 13.3852 11.1554 3.3901
