"V1" "V2" "V3"
"1" 25.4730796813965 22.5909538269043 8.27621364593506
"2" 26.3167 22.1023 7.7939
"3" 27.28 21.6478 7.5397
"4" 28.2592 21.1666 7.6785
"5" 29.1582 20.5451 7.797
"6" 29.9336 19.8348 8.0977
"7" 30.7751 19.2001 8.3706
"8" 31.7758 18.8114 8.2882
"9" 32.7544 18.3661 8.1742
"10" 33.5912 17.7053 8.0056
"11" 34.3873 17.1017 8.4622
"12" 35.2784 16.5314 8.7144
"13" 36.1481 16.032 9.1432
"14" 37.1436 15.6278 8.9013
"15" 37.9228 15.0389 8.4298
"16" 38.1360549926758 14.0197124481201 8.61857795715332
"17" 16.8837146759033 18.8932151794434 3.36636018753052
"18" 16.9833 19.4891 3.882
"19" 16.8276 20.2906 3.988
"20" 16.7774 21.0917 3.8469
"21" 17.176 21.8025 3.7041
"22" 17.3326 22.4542 3.2577
"23" 17.168 22.7163 2.5326
"24" 16.6622 22.6654 1.9344
"25" 16.1191 22.1255 1.7941
"26" 15.9926 21.398 2.1256
"27" 15.7674 20.6559 2.3265
"28" 15.7345 19.8751 2.0886
"29" 16.0564 19.1614 2.0881
"30" 16.6082 18.8833 2.5909
"31" 25.4730796813965 22.5909538269043 8.27621364593506
"32" 29.6642532348633 15.8027582168579 8.16469955444336
"33" 32.4704475402832 17.3901786804199 15.5619354248047
"34" 31.4951 17.3678 16.1348
"35" 30.4608 17.232 16.5818
"36" 29.3282 17.2583 16.6055
"37" 28.2848 17.7049 16.5844
"38" 27.3492 18.3186 16.4229
"39" 26.6175 19.1129 16.1131
"40" 25.9588 19.8609 15.5704
"41" 25.5187 20.6152 14.8807
"42" 25.4831 21.0904 13.8543
"43" 25.6776 21.4555 12.8034
"44" 26.2194 21.5855 11.8213
"45" 26.9674 21.6317 10.9658
"46" 27.9187 21.3382 10.4482
"47" 28.8775 20.8687 10.0713
"48" 29.7687 20.2081 9.8776
"49" 30.5685 19.4438 9.876
"50" 31.489 19.1143 10.4274
"51" 32.3598 18.7583 11.05
"52" 33.1747 18.3383 11.6928
"53" 33.6665 17.7879 12.5204
"54" 33.5017 17.4549 13.5918
"55" 33.0786 17.2787 14.6074
"56" 24.8166007995606 17.8543453216553 7.75743770599365
"57" 25.6867 17.3654 7.8391
"58" 26.5828 16.9946 7.8824
"59" 27.4864 16.5318 7.7525
"60" 28.3944 16.0704 7.7331
"61" 29.3557 15.8191 7.9858
"62" 30.1804 15.5649 8.4287
"63" 30.8842 15.0874 8.9846
"64" 31.6491 14.751 9.5659
"65" 32.0531158447266 13.8352432250977 9.82811832427979
"66" 24.8166007995606 17.8543453216553 7.75743770599365
"67" 38.6230621337891 13.5307331085205 15.6780815124512
"68" 32.0531158447266 13.8352432250977 9.82811832427979
