"V1" "V2" "V3"
"1" 84.8235321044922 62.0073852539062 18.6630935668945
"2" 84.4219 58.0617 16.837
"3" 82.8128 54.0124 15.8082
"4" 81.0876 49.9535 14.9929
"5" 79.4725 45.9184 13.9769
"6" 77.395 42.0783 12.9905
"7" 75.5871 38.3179 11.3511
"8" 72.9522 35.0562 9.9375
"9" 70.1446 31.5834 9.9055
"10" 67.9563 27.8094 10.8568
"11" 66.193 23.7431 11.3174
"12" 63.9015 19.9314 11.0758
"13" 60.676 16.8953 11.757
"14" 57.2463 14.5083 13.1751
"15" 53.2173 13.1131 14.3881
"16" 48.8391990661621 12.8052663803101 14.9859952926636
"17" 71.3737716674805 93.906364440918 5.70949554443359
"18" 74.2196 93.3666 6.8421
"19" 77.0259 94.4059 8.2363
"20" 80.2357 95.0086 7.9227
"21" 82.9239 94.5477 6.001
"22" 85.8522 94.4358 4.5635
"23" 87.9758 96.5127 3.446
"24" 87.2969 99.4209 2.5045
"25" 84.6547 101.1488 3.3147
"26" 81.6778 101.7562 4.7077
"27" 78.3978 101.7254 4.7372
"28" 75.4048 100.7069 3.7099
"29" 72.5396 99.125 3.0747
"30" 71.0197 96.1382 3.3833
"31" 84.8235321044922 62.0073852539062 18.6630935668945
"32" 61.1137619018555 47.6987457275391 18.4364547729492
"33" 62.6309356689453 45.8310852050781 23.5729827880859
"34" 60.1324 45.1408 25.0906
"35" 57.6596 44.9449 26.734
"36" 55.7863 46.7597 27.9684
"37" 54.7267 49.4597 28.7069
"38" 53.5233 52.2069 28.7815
"39" 53.2374 54.9759 29.6082
"40" 53.702 57.8637 30.165
"41" 54.795 60.4631 30.7207
"42" 56.8417 62.6551 30.6474
"43" 59.2246 64.1416 30.0693
"44" 61.8041 65.4241 29.308
"45" 64.3982 66.7538 28.6694
"46" 66.8291 68.5069 28.4796
"47" 69.4901 69.0151 28.2792
"48" 70.8443 66.5492 27.5674
"49" 71.2147 63.7542 26.645
"50" 70.6285 60.8856 26.0062
"51" 70.0945 57.9671 25.5354
"52" 69.0571 55.2229 25.0172
"53" 67.9931 52.772 23.7238
"54" 66.6732 50.1502 23.1584
"55" 64.7893 47.8809 23.1681
"56" 71.5927581787109 61.9941596984863 21.8836517333984
"57" 69.298 56.703 21.1971
"58" 67.5478 51.4557 19.3295
"59" 64.9657 46.5184 17.6132
"60" 61.5309 41.901 16.7858
"61" 58.8766 36.7274 16.3652
"62" 56.7468 31.3063 16.1168
"63" 54.6591 26.2715 16.8318
"64" 51.6504 22.0457 18.1395
"65" 46.1756324768066 20.3831799825033 19.0532595316569
"66" 71.5927581787109 61.9941596984863 21.8836517333984
"67" 45.8177070617676 9.45243072509766 18.4349975585938
"68" 46.1756324768066 20.3831799825033 19.0532595316569
"69" 45.8177070617676 9.45243072509766 18.4349975585938
"70" 46.0462 14.6276 20.765
"71" 46.2869 20.2078 21.8864
"72" 46.3557 25.7749 23.0869
"73" 46.3887 31.3337 24.3333
"74" 46.6832 36.7965 25.6805
"75" 46.7267 42.287 26.9677
"76" 46.5287 47.8424 27.7745
"77" 46.1204 52.8685 30.3768
"78" 46.1216 58.4047 31.6436
"79" 46.2158 63.9885 32.7583
"80" 46.1683 69.5764 33.8348
"81" 46.8697 75.1169 34.7977
"82" 46.7256 80.64 35.8831
"83" 46.9171 86.2052 37.0374
"84" 47.0473 91.876 37.57
"85" 47.1775 97.5468 38.1026
"86" 47.3076 103.2177 38.6353
"87" 47.0811920166016 108.879364013672 38.8405838012695
