"V1" "V2" "V3"
"1" 57.872875213623 29.7552433013916 11.2016077041626
"2" 57.0033 27.5222 10.063
"3" 56.1587 25.2792 8.9234
"4" 54.6425 23.1412 8.3386
"5" 53.3268 20.7981 8.0139
"6" 51.8525 18.5278 8.0892
"7" 50.3214 16.293 8.1484
"8" 48.8334 14.1727 8.7201
"9" 46.6414 12.6519 8.7969
"10" 45.1828 10.8477 9.8909
"11" 43.4524 9.0023 10.5125
"12" 41.9131 7.2426 11.8776
"13" 40.4353 5.2425 12.6014
"14" 38.597 3.3527 12.9378
"15" 36.4806 1.7525 13.0032
"16" 33.9062232971191 1.23341083526611 13.4292793273926
"17" 52.3049850463867 59.3224563598633 5.64251327514648
"18" 54.1759 59.6983 6.3129
"19" 55.7226 59.914 7.6776
"20" 57.6072 59.3739 7.9094
"21" 59.4588 58.7415 7.234
"22" 60.6944 58.831 5.6934
"23" 61.0491 60.3534 4.5776
"24" 60.5442 62.3155 4.2449
"25" 59.4493 63.7369 4.9227
"26" 57.8642 64.3732 6.0679
"27" 55.9622 64.4961 6.4337
"28" 54.3687 64.0509 5.1998
"29" 52.8422 62.9268 4.4868
"30" 51.9851 61.182 4.8749
"31" 57.872875213623 29.7552433013916 11.2016077041626
"32" 42.442497253418 21.9385261535644 14.8269081115723
"33" 39.8017845153809 13.3479089736938 27.4344177246094
"34" 39.0534 14.2275 29.3931
"35" 38.6392 15.7095 31.092
"36" 38.6569 17.6389 32.2733
"37" 39.0886 19.7392 33.0456
"38" 39.8711 21.7884 33.7192
"39" 41.0553 23.688 34.1763
"40" 42.4623 25.4863 34.1977
"41" 44.2539 26.8213 33.9225
"42" 46.2456 27.5096 33.121
"43" 47.899 27.4486 31.6163
"44" 49.1365 26.957 29.7563
"45" 49.866 26.0495 27.8015
"46" 50.6411 24.9102 25.9771
"47" 50.4596 23.645 24.0693
"48" 49.7121 22.0039 22.675
"49" 49.2804 20.0757 21.5267
"50" 48.4227 18.0802 20.9998
"51" 47.1365 16.1995 21.0838
"52" 45.8101 14.4633 21.5871
"53" 44.0463 13.2993 22.471
"54" 42.4353 12.4584 23.8459
"55" 40.9404 12.8182 25.5117
"56" 47.7932586669922 34.5884323120117 16.0549774169922
"57" 45.6911 31.5614 15.4788
"58" 43.9939 28.1925 15.4102
"59" 42.9924 24.5884 15.1556
"60" 42.3973 20.9182 14.689
"61" 41.708 17.2194 14.3813
"62" 40.4305 13.7346 14.8734
"63" 38.703 10.6912 16.061
"64" 36.5326 8.0217 17.483
"65" 33.5463600158691 6.70632648468018 19.3610668182373
"66" 47.7932586669922 34.5884323120117 16.0549774169922
"67" 33.4836502075195 6.43989562988281 28.8912315368652
"68" 33.5463600158691 6.70632648468018 19.3610668182373
"69" 33.4836502075195 6.43989562988281 28.8912315368652
"70" 32.9879 9.9207 31.1894
"71" 32.7322 13.7792 32.8384
"72" 32.3022 17.6634 34.4092
"73" 32.2277 21.7774 35.391
"74" 32.4474 25.8781 36.324
"75" 32.5406 30.0374 37.0601
"76" 32.8099 34.2494 37.279
"77" 32.567 38.4517 37.6608
"78" 32.487 42.6182 38.3142
"79" 32.3259 46.5679 39.81
"80" 31.9673 50.6071 40.819
"81" 31.3642 54.6342 41.813
"82" 31.4777 58.4441 43.638
"83" 31.5064 62.3999 45.0929
"84" 31.3626 66.5608 45.8481
"85" 31.3389 70.7536 46.3111
"86" 30.9565 74.9235 45.8027
"87" 30.7838821411133 79.1347122192383 45.4840698242188
"88" 33.3176536560059 75.9060821533203 15.7666921615601
"89" 30.7838821411133 79.1347122192383 45.4840698242188
"90" 33.9062232971191 1.23341083526611 13.4292793273926
"91" 8.83738708496094 32.0901565551758 11.7608366012573
"92" 10.2637 29.8351 10.0321
"93" 11.0771 26.6946 9.9361
"94" 12.5447 23.8171 9.8099
"95" 14.2421 21.165 10.3648
"96" 16.093 18.561 10.1794
"97" 18.1696 16.1633 9.8136
"98" 20.2197 13.6689 9.8272
"99" 22.3649 11.5313 10.9629
"100" 24.4145 9.0633 11.6188
"101" 26.4001 6.4959 12.1003
"102" 28.5245 4.0757 12.6595
"103" 30.8666 1.8547 12.829
"104" 33.9062232971191 1.23341083526611 13.4292793273926
"105" 8.83738708496094 32.0901565551758 11.7608366012573
"106" 24.4377899169922 23.7516269683838 15.8832054138184
"107" 25.6118507385254 13.8813180923462 26.5276184082031
"108" 26.4386 14.3233 28.8546
"109" 26.9415 15.218 31.1234
"110" 27.1304 17.1362 32.6766
"111" 26.8634 19.427 33.6407
"112" 26.0669 21.7274 34.2332
"113" 24.8417 23.8456 34.764
"114" 23.2678 25.7033 35.3733
"115" 21.7044 27.6503 35.2786
"116" 19.8578 29.1502 34.9203
"117" 17.7618 29.8843 33.8986
"118" 16.1782 29.7847 31.9781
"119" 15.0751 28.6722 30.078
"120" 14.9229 26.9665 28.2393
"121" 15.196 25.2175 26.4944
"122" 16.0173 23.6002 24.7536
"123" 16.7904 21.837 23.1461
"124" 17.6931 19.691 22.2726
"125" 18.9594 17.5754 21.8564
"126" 20.6686 15.74 21.9828
"127" 22.5229 14.304 22.8252
"128" 24.1875 13.7882 24.4579
