"V1" "V2" "V3"
"1" 93814.953125 129449.4375 15192.8359375
"2" 91875.6804 125588.4637 13518.2422
"3" 89898.1463 121329.3997 13338.7368
"4" 88284.7361 116927.0835 13300.8578
"5" 86378.9915 112651.8292 12999.377
"6" 84225.4252 108485.8252 12626.5218
"7" 82108.6236 104296.9843 12365.6723
"8" 80155.2233 100024.0563 12210.5547
"9" 77823.6059 95974.7473 12524.1564
"10" 75601.4947 91861.0596 12822.4658
"11" 73108.4542 88073.9498 14060.6095
"12" 70355.9004 84345.9645 14694.4699
"13" 67378.466 80849.0261 15643.4262
"14" 64241.2185 77578.3404 16502.9928
"15" 60550.1026 74816.9234 15933.3652
"16" 56365.58203125 73161.890625 15324.78125
"17" 84446.3046875 167565.015625 13201.640625
"18" 87039.3534 166450.6744 14120.9717
"19" 90005.7994 166281.6988 14473.8969
"20" 92946.8614 166248.3579 13912.0913
"21" 95810.707 166612.3148 13156.6253
"22" 98578.472 167729.0954 12837.3768
"23" 100408.3414 169989.0449 13300.0938
"24" 100338.6348 172445.8017 12377.0105
"25" 98246.0852 173503.7461 10923.0966
"26" 95364.6678 173307.2657 10642.0566
"27" 92425.8997 173054.2171 11211.903
"28" 89473.7967 173055.056 11610.2835
"29" 86600.2977 172627.1737 11630.1571
"30" 84849.4454 170332.4623 12182.4529
"31" 93814.953125 129449.4375 15192.8359375
"32" 65109.5859375 101739.734375 25548.34375
"33" 77467.390625 98690.3515625 55048.2890625
"34" 78854.3262 102334.7103 59165.4445
"35" 78895.0657 106906.1557 62582.3085
"36" 80234.5828 112042.7563 64493.5693
"37" 84000.9494 116217.3655 64957.765
"38" 88718.3663 119333.734 64928.5495
"39" 92522.6607 123565.9456 65260.4289
"40" 95067.2211 128553.7743 64324.2886
"41" 96551.6914 132854.6516 60916.2256
"42" 97886.7831 133788.2936 55589.34
"43" 97807.7323 132433.0212 50026.4703
"44" 97767.2015 130850.0864 44517.0075
"45" 97662.9368 128838.3921 39176.128
"46" 96002.2115 126030.3428 34507.5123
"47" 93104.0252 122147.6215 31526.4761
"48" 89786.4616 117809.0221 29894.0805
"49" 86527.6793 113092.7332 29613.1709
"50" 83681.1617 108185.0579 30337.8618
"51" 81088.4257 103342.4801 31902.1995
"52" 78787.4118 99073.9361 34733.8493
"53" 76640.371 96218.9149 39136.7542
"54" 76100.9357 95311.6923 44695.2601
"55" 76435.1154 95671.806 50394.4213
"56" 71455.1953125 128137.9140625 28872.59375
"57" 70411.2503 125289.5303 28369.7093
"58" 69375.5843 122454.5985 27782.8261
"59" 68333.2537 119713.3111 26870.8361
"60" 67116.1804 117027.8642 26271.3333
"61" 65100.3961 114787.1742 26047.7607
"62" 63180.1719 112389.9608 25977.5525
"63" 61346.6038 109952.8552 26314.7618
"64" 59160.7348 108127.4294 27330.2214
"65" 56201.3359375 107632.7578125 27791.546875
"66" 71455.1953125 128137.9140625 28872.59375
"67" 56879.5703125 88367.875 57088.4921875
"68" 56201.3359375 107632.7578125 27791.546875
"69" 56879.5703125 88367.875 57088.4921875
"70" 57060.7315 93061.4147 60351.3755
"71" 57933.8592 98386.0499 62349.888
"72" 58189.1273 103363.2158 65179.0385
"73" 58296.0156 108442.7933 67697.4443
"74" 58789.4561 113154.1257 70917.7017
"75" 58434.1408 118288.6026 73495.0278
"76" 58274.7606 123727.53 75387.2873
"77" 57970.1852 129294.4104 76796.9521
"78" 57902.0932 134876.9877 78189.8254
"79" 57705.9414 140478.4302 79511.4118
"80" 57735.9169 146094.5859 80792.4837
"81" 57915.704 151732.1034 81950.7221
"82" 57758.6152 157264.1603 83454.1192
