"V1" "V2" "V3"
"1" 25275.15234375 20370.375 11134.013671875
"2" 25259.21 19189.0971 10379.7951
"3" 25019.5118 18203.5579 9456.4275
"4" 24470.4719 17083.164 8794.734
"5" 23913.5023 15947.5662 8166.7138
"6" 23437.5771 14810.7277 7492.4988
"7" 22712.3141 13698.9321 7011.1012
"8" 22214.4279 12503.4261 6465.0339
"9" 21673.9346 11301.1325 5962.8896
"10" 21190.114 10097.8313 5405.5487
"11" 20668.5704 8961.7048 4754.4572
"12" 20158.1535 7878.772 4008.0135
"13" 19490.317 6873.0945 3289.8246
"14" 18579.0959 6003.0711 2662.9674
"15" 17514.1614 5296.5625 2114.0485
"16" 16384.490234375 4448.46240234375 2105.93196614583
"17" 25111.330078125 38452.96875 7607.8720703125
"18" 25929.7981 38400.0644 8125.5319
"19" 26833.2604 38401.0652 8351.6068
"20" 27508.5564 37781.1618 8047.1727
"21" 28270.1838 37438.3631 7558.2135
"22" 29164.2595 37517.2335 7239.0796
"23" 29728.7633 38231.6495 7103.1503
"24" 29672.616 39125.7155 6907.1051
"25" 28826.6871 39549.7571 6737.3974
"26" 28026.9364 39606.744 7144.0964
"27" 27360.7652 39769.4343 7822.5136
"28" 26616.9482 39745.5938 8296.2959
"29" 25827.9418 39696.5477 7757.8701
"30" 25042.4486 39316.631 7353.5121
"31" 25275.15234375 20370.375 11134.013671875
"32" 20073.939453125 23115.9375 10347.705078125
"33" 18230.25 5650.333984375 14044.490234375
"34" 17796.9525 6531.7727 15072.4718
"35" 17736.2864 7623.7486 15978.0974
"36" 17900.6018 8750.1648 16836.7456
"37" 18515.7454 9799.4369 17567.292
"38" 19312.3333 10861.4276 18090.3253
"39" 20061.9823 12072.3482 18214.9914
"40" 20717.4502 13327.0683 18111.8361
"41" 21669.5746 14317.6617 17760.0821
"42" 22809.6109 14613.0782 17043.9717
"43" 23890.12 14379.2024 16139.8721
"44" 24593.0138 13800.6503 15043.5359
"45" 24947.0597 13048.956 13894.7321
"46" 25122.8309 12140.508 12819.2739
"47" 25021.2001 11144.8789 11798.7077
"48" 24650.3826 10054.5148 10954.9162
"49" 24087.1148 8897.7688 10332.8187
"50" 23407.9619 7731.5927 9891.7071
"51" 22530.3722 6621.9809 9680.017
"52" 21520.3587 5701.6472 9972.1994
"53" 20429.7711 5028.4122 10598.1755
"54" 19530.7241 4814.0868 11666.4815
"55" 18908.7295 5106.5032 12905.2712
"56" 23698.51953125 23684.9453125 11050.8291015625
"57" 21420.1857 23229.4721 10440.2505
"58" 20353.4696 21225.7268 9647.0964
"59" 19736.0934 18864.4742 8961.8003
"60" 18987.9641 16626.216 8155.3441
"61" 18489.4062 14407.463 7077.107
"62" 18139.5883 12039.7186 6364.8754
"63" 17949.1872 9574.2094 5836.6601
"64" 17345.3763 7222.6279 5174.0457
"65" 16345.814453125 5408.70068359375 4139.986328125
"66" 23698.51953125 23684.9453125 11050.8291015625
"67" 16237.240234375 1247.9345703125 8469.587890625
"68" 16345.814453125 5408.70068359375 4139.986328125
"69" 16237.240234375 1247.9345703125 8469.587890625
"70" 16114.1024 2274.9065 10650.0981
"71" 16078.5455 3847.8148 12510.3831
"72" 15969.5228 5425.688 14372.1565
"73" 15796.1529 7357.7195 15840.6495
"74" 15781.8907 9480.9236 17028.3744
"75" 15773.0348 11566.4233 18304.5534
"76" 15652.9307 13823.4154 19242.939
"77" 15576.4535 16189.7298 19839.8722
"78" 15404.1855 18576.777 20343.2704
"79" 15484.6083 20934.3104 20847.8627
"80" 15519.9078 23295.2212 21472.6926
"81" 15489.2531 25614.7403 22248.9207
"82" 15534.8066 28037.3333 22503.7585
"83" 15384.7026 30479.1355 22471.4643
"84" 15418.0586 32926.5904 22552.2033
"85" 15477.0361 35372.8049 22542.5591
"86" 15374.5445 37806.4512 22570.0021
"87" 15544.345703125 40192.91796875 23064.71875
"88" 15669.6640625 52907.2109375 11567.8291015625
"89" 15544.345703125 40192.91796875 23064.71875
"90" 16384.490234375 4448.46240234375 2105.93196614583
"91" 6717.87109375 19598 9851.009765625
"92" 6920.9417 18437.2568 8838.3555
"93" 7479.6302 17162.1546 8122.1505
"94" 8204.9011 15936.6635 7466.8988
"95" 8946.8962 14708.0857 6834.9528
"96" 9642.5948 13419.9567 6270.4622
"97" 10278.7412 12076.8516 5764.1641
"98" 10869.396 10719.1649 5241.6662
"99" 11428.3395 9395.3244 4614.4349
"100" 12049.7265 8153.3783 3895.9071
"101" 12843.9379 6994.7431 3195.9421
"102" 13781.1993 5968.7496 2484.3429
"103" 15040.809 5250.4283 1971.5325
"104" 16384.490234375 4448.46240234375 2105.93196614583
"105" 6717.87109375 19598 9851.009765625
"106" 11508.9609375 22855.380859375 9424.205078125
"107" 13645.44140625 5540.33251953125 14068.611328125
"108" 13970.012 6445.5112 15177.5744
"109" 13873.2919 7638.2834 16035.6846
"110" 13505.6715 8852.4737 16815.298
"111" 12889.6696 10078.4983 17402.1991
"112" 12151.7395 11308.6627 17767.7138
"113" 11322.9502 12546.1464 17748.9344
"114" 10466.3581 13720.0678 17469.5429
