"V1" "V2" "V3"
"1" 88.0869216918945 58.1793785095215 55.7724533081055
"2" 85.9352 57.2692 52.363
"3" 83.4206 56.5296 49.177
"4" 81.5142 55.352 45.7041
"5" 79.1069 54.3307 42.5136
"6" 77.2836 52.3661 39.4328
"7" 75.127 50.9295 36.2272
"8" 73.1653 49.4069 32.9582
"9" 71.468 47.5024 29.7097
"10" 69.7397 45.8471 26.3427
"11" 67.9144 44.3776 22.9366
"12" 66.2313 43.3275 19.3186
"13" 64.8382 42.261 15.5741
"14" 63.2205 41.4727 11.8622
"15" 61.3736 42.2842 8.3154
"16" 58.7235832214355 43.6958084106445 5.51386833190918
"17" 83.7468719482422 73.3820343017578 92.4147872924805
"18" 86.4803 72.9239 91.5297
"19" 89.1087 72.9029 92.7698
"20" 92.0011 73.0832 93.3024
"21" 94.8804 73.8665 92.7957
"22" 97.7275 74.4173 93.4106
"23" 98.8106 75.9666 95.4
"24" 97.8538 77.2425 97.8042
"25" 94.9253 77.1219 98.4885
"26" 92.1067 76.0635 98.1809
"27" 89.1702 75.8139 98.0629
"28" 86.1863 76.4239 98.0199
"29" 83.5239 75.7622 97.4455
"30" 82.6282 74.5494 94.9574
"31" 88.0869216918945 58.1793785095215 55.7724533081055
"32" 66.7498550415039 43.3282089233398 38.5981712341309
"33" 79.0483551025391 29.0749740600586 35.7543334960938
"34" 81.0101 29.945 37.1625
"35" 82.2864 31.6974 38.5759
"36" 83.2672 33.9178 39.4031
"37" 83.7054 36.3988 39.9904
"38" 83.5839 38.9691 39.8362
"39" 82.4518 41.1996 39.3675
"40" 81.2152 43.2081 38.3436
"41" 79.7747 44.5668 36.6949
"42" 78.0589 44.9524 34.8216
"43" 76.4149 44.5041 32.8781
"44" 75.0129 43.7426 30.8337
"45" 73.6602 42.5179 29.0025
"46" 72.6401 40.8803 27.3144
"47" 72.1275 38.8837 25.7423
"48" 72.0711 36.5995 24.5438
"49" 72.0345 34.1175 24.032
"50" 72.2934 31.6035 24.4816
"51" 72.5521 29.2984 25.3643
"52" 73.59 27.9765 27.3315
"53" 74.9127 27.4795 29.4889
"54" 76.1456 27.5733 31.7683
"55" 77.5803 28.1365 33.8279
"56" 75.7204971313477 52.0835456848145 60.362850189209
"57" 73.9498 51.2473 56.267
"58" 72.7485 49.3202 52.3433
"59" 71.1062 47.6763 48.4335
"60" 69.5225 46.2189 44.4172
"61" 67.6851 44.3116 40.7399
"62" 66.4231 43.0109 36.5791
"63" 64.6391 41.3364 32.751
"64" 62.3379 38.9002 29.8793
"65" 58.3754539489746 38.970947265625 30.2767581939697
"66" 75.7204971313477 52.0835456848145 60.362850189209
"67" 60.8257675170898 22.5905952453613 9.81217956542969
"68" 58.3754539489746 38.970947265625 30.2767581939697
"69" 60.8257675170898 22.5905952453613 9.81217956542969
"70" 61.4087 20.6181 14.9755
"71" 60.961 19.9194 20.7346
"72" 60.4232 21.72 26.267
"73" 60.2154 23.0409 31.9781
"74" 59.7888 23.0581 37.6853
"75" 59.3524 22.6095 43.2302
"76" 58.8266 22.1704 48.8743
"77" 59.287 20.7592 54.5723
"78" 59.012 18.4814 59.8105
"79" 58.5739 18.1221 65.5137
"80" 58.6942 16.7989 71.083
"81" 59.3616 13.7803 76.0239
"82" 59.322 11.7776 81.5451
"83" 59.5196 9.6107 87.0118
"84" 59.266 7.6456 92.5535
"85" 59.1987 6.2974 98.2442
"86" 58.5071 6.5556 104.0859
"87" 58.3799819946289 6.39592361450195 109.894966125488
"88" 55.5016288757324 50.3890075683594 107.143463134766
"89" 58.3799819946289 6.39592361450195 109.894966125488
"90" 58.7235832214355 43.6958084106445 5.51386833190918
"91" 24.0997982025146 50.233772277832 55.8042297363281
"92" 26.7929 52.2016 52.1903
"93" 29.7766 51.5618 48.3106
"94" 32.7746 50.7108 44.4689
"95" 35.9617 49.5451 40.8878
"96" 38.8898 48.1549 37.1918
"97" 41.7087 46.5188 33.4864
"98" 44.2093 45.0838 29.4683
"99" 46.9008 43.5022 25.6303
"100" 49.3025 42.2587 21.4946
"101" 51.3111 41.3426 17.0673
"102" 53.5313 40.7981 12.6781
"103" 55.5483 41.3436 8.3178
"104" 58.7235832214355 43.6958084106445 5.51386833190918
"105" 24.0997982025146 50.233772277832 55.8042297363281
"106" 48.8213424682617 41.8600997924805 38.2940292358398
"107" 40.2916297912598 25.4049224853516 34.0189170837402
"108" 38.1739 26.2409 35.5469
"109" 36.1942 27.3324 37.0565
"110" 34.6341 29.068 38.4115
"111" 33.7912 31.6467 38.7801
"112" 33.1568 34.2988 39.0657
"113" 32.9978 36.9946 39.1278
"114" 34.1239 38.9343 37.9898
"115" 35.9263 39.9962 36.2777
"116" 37.8408 40.6753 34.4376
"117" 39.7948 40.9136 32.5573
"118" 41.5934 40.6074 30.5299
"119" 43.1476 39.7091 28.4758
"120" 44.737 38.2574 26.7934
"121" 45.7698 36.0489 25.6046
"122" 46.3355 33.5363 24.7168
"123" 46.8707 30.8876 24.3478
"124" 47.2215 28.2818 24.5614
"125" 46.8813 25.956 25.751
"126" 45.5537 24.9876 27.7775
"127" 44.0216 24.9507 30.0407
"128" 42.1854 25.0981 32.0596
"129" 37.2332077026367 47.9994659423828 59.7643966674805
"130" 39.7654 48.0085 56.0168
"131" 42.9529 47.1699 52.8913
"132" 45.0701 45.5383 49.2405
"133" 46.4475 44.026 45.1546
"134" 47.4334 42.7551 40.8645
"135" 49.1183 41.6815 36.753
"136" 51.4431 40.6326 32.9601
"137" 54.2065 38.6954 30.0084
"138" 58.3754539489746 38.970947265625 30.2767581939697
"139" 37.2332077026367 47.9994659423828 59.7643966674805
"140" 84.0900039672852 74.5064010620117 92.8578109741211
"141" 84.0630569458008 74.9260330200195 94.0254287719727
"142" 84.2023849487305 75.2613372802734 95.1190948486328
"143" 84.4443588256836 75.7098846435547 96.1110153198242
"144" 84.8731002807617 76.2151031494141 97.4160995483398
"145" 85.4203796386719 74.61083984375 92.5960159301758
"146" 85.4262924194336 75.0165481567383 93.8610076904297
"147" 85.619010925293 75.2771606445312 94.9750747680664
"148" 85.8957977294922 75.6697998046875 95.9844970703125
"149" 86.6790237426758 76.11279296875 96.896858215332
"150" 86.8165740966797 74.6651840209961 92.7604370117188
"151" 87.0032043457031 74.9831161499023 94.0416488647461
"152" 86.8651504516602 75.1822357177734 94.8208160400391
"153" 87.4243011474609 75.7521286010742 96.6363220214844
"154" 87.9002227783203 76.0926208496094 97.4415283203125
"155" 88.0773315429688 74.7475891113281 92.8860092163086
"156" 88.2756118774414 74.778076171875 94.32080078125
"157" 89.0009994506836 75.6336975097656 94.0828018188477
