"V1" "V2" "V3"
"1" 4.24056720733643 44.3728103637695 8.61287498474121
"2" 5.0516 45.6966 7.5667
"3" 5.8228 47.4357 7.4681
"4" 6.461 49.2169 7.0839
"5" 7.2749 50.967 7.0754
"6" 8.213 52.6568 7.1244
"7" 9.2502 54.2848 7.0395
"8" 10.3609 55.8383 6.7587
"9" 11.5594 57.2993 6.3543
"10" 12.9672 58.6022 6.1157
"11" 14.4028 59.8424 5.7833
"12" 15.9659 60.9168 5.5518
"13" 17.5933 61.8935 5.8489
"14" 19.1992 62.7227 6.5308
"15" 20.8202 63.4454 7.2636
"16" 22.6826343536377 63.7193756103516 7.58408164978027
"17" 11.0875282287598 21.9117164611816 6.16205406188965
"18" 10.132 22.7143 6.7828
"19" 8.7672 22.8493 6.9378
"20" 7.416 22.8181 7.3137
"21" 6.1644 23.2927 7.1282
"22" 5.1179 23.7589 6.2824
"23" 4.3999 23.6435 5.1898
"24" 4.2077 22.4703 4.5372
"25" 4.7164 21.1781 4.3739
"26" 5.6426 20.3169 4.9028
"27" 6.8358 20.0308 5.6112
"28" 8.1646 19.8219 5.6715
"29" 9.5374 19.9731 5.4927
"30" 10.7347 20.5971 5.7343
"31" 4.24056720733643 44.3728103637695 8.61287498474121
"32" 19.0038242340088 48.4646263122559 13.3159599304199
"33" 15.9360370635986 59.6473045349121 21.3245124816894
"34" 14.9382 58.2969 21.7772
"35" 13.9295 56.9296 22.14
"36" 12.948 55.523 22.3863
"37" 11.789 54.228 22.4359
"38" 10.8354 52.7799 22.3985
"39" 9.8547 51.606 21.6721
"40" 8.7833 51.2492 20.3969
"41" 8.0179 51.1169 18.8434
"42" 7.5919 51.3764 17.2132
"43" 7.6241 52.3395 15.7762
"44" 7.8385 53.4635 14.4718
"45" 8.4555 54.5969 13.3131
"46" 9.4127 55.6913 12.4083
"47" 10.4186 57.0259 11.9617
"48" 11.4228 58.4315 11.7806
"49" 12.6193 59.6602 12.0191
"50" 13.8208 60.7291 12.6488
"51" 14.8461 61.3973 13.8704
"52" 15.6159 61.7337 15.3704
"53" 16.2344 61.846 16.9915
"54" 16.5596 61.7017 18.6781
"55" 16.4531 60.7458 20.0793
"56" 14.6985950469971 39.5652809143066 11.5342750549316
"57" 15.41 40.8541 11.2703
"58" 15.7436 42.3373 11.3978
"59" 16.2326 43.6881 11.8952
"60" 17.2085 44.5429 12.5965
"61" 18.0834 45.6805 12.9889
"62" 18.8983 46.972 13.0303
"63" 19.2689 48.4236 13.196
"64" 20.4681 49.3483 13.1189
"65" 21.9772853851318 49.5112991333008 13.1874198913574
"66" 14.6985950469971 39.5652809143066 11.5342750549316
"67" 23.493782043457 68.0080642700195 18.1693096160889
"68" 21.9772853851318 49.5112991333008 13.1874198913574
"69" 23.493782043457 68.0080642700195 18.1693096160889
"70" 23.0874 65.4467 20.0627
"71" 22.8217 62.449 21.2671
"72" 22.5546 59.3772 22.2481
"73" 22.1459 56.2303 22.9181
"74" 21.9574 53.1023 23.7332
"75" 21.9243 50.0477 24.8277
"76" 21.554 46.9879 25.8233
"77" 21.5532 43.8231 26.5244
"78" 21.6734 40.6559 27.229
"79" 21.4063 37.4878 27.7471
"80" 21.1358 34.3044 28.3137
"81" 20.8892 31.085 28.6446
"82" 20.5734 27.8641 28.914
"83" 20.3189 24.6391 29.2056
"84" 20.0306 21.4282 29.5981
"85" 19.7206 18.2325 30.0817
"86" 19.4577 15.0569 30.7002
"87" 19.1009178161621 11.8539152145386 30.8971080780029
"88" 19.5678672790527 11.5621891021728 11.003565788269
"89" 19.1009178161621 11.8539152145386 30.8971080780029
