"V1" "V2" "V3"
"1" 3.99635124206543 20.6797180175781 13.4265956878662
"2" 4.3995 20.195 12.636
"3" 4.8912 19.7904 11.8581
"4" 5.3433 19.404 11.0461
"5" 5.9511 19.3275 10.2193
"6" 6.6002 19.3129 9.4122
"7" 7.2332 19.2446 8.5977
"8" 7.722 19.1691 7.6866
"9" 8.3699 19.2754 6.9227
"10" 8.9462 19.4051 6.0791
"11" 9.6142 19.4998 5.3054
"12" 10.2454 19.3362 4.5036
"13" 10.8907 19.4038 3.6984
"14" 11.6477 19.2956 3.0217
"15" 12.3006 19.9691 2.7425
"16" 13.0654182434082 20.5580902099609 2.59543538093567
"17" 6.43906211853027 17.3816070556641 24.9057140350342
"18" 5.7074 17.5339 24.9743
"19" 5.0485 17.5877 25.3313
"20" 4.3923 17.4175 25.6118
"21" 3.7025 17.1882 25.444
"22" 3.0214 16.9015 25.5068
"23" 2.7405 16.5218 26.0032
"24" 3.1006 16.1512 26.4833
"25" 3.8278 16.3306 26.5676
"26" 4.5268 16.6254 26.5337
"27" 5.2433 16.5731 26.3903
"28" 5.9727 16.3865 26.4641
"29" 6.5573 16.4979 26.0704
"30" 6.6269 16.8976 25.4633
"31" 3.99635124206543 20.6797180175781 13.4265956878662
"32" 10.5886716842651 20.8864727020264 10.2495851516724
"33" 9.14137554168701 29.1764011383057 6.06084537506104
"34" 8.9026 29.8728 7.2149
"35" 8.8349 30.4124 8.443
"36" 8.7352 30.7606 9.7249
"37" 7.9608 30.8567 10.8503
"38" 7.1134 30.8514 11.901
"39" 6.2622 30.6174 12.9361
"40" 5.443 30.267 13.9533
"41" 4.811 29.3293 14.6328
"42" 4.1953 28.1205 14.6568
"43" 3.7986 26.8941 14.2047
"44" 3.7355 25.6824 13.5952
"45" 4.0544 24.6429 12.7752
"46" 4.4175 23.6661 11.8927
"47" 5.1779 22.8532 11.1249
"48" 5.8996 22.4878 10.0423
"49" 6.6835 22.4068 8.9283
"50" 7.4954 22.6235 7.8526
"51" 8.1335 23.0154 6.7178
"52" 8.5614 24.0471 5.9485
"53" 8.7773 25.2829 5.4032
"54" 8.9498 26.6113 5.2117
"55" 9.1145 27.9335 5.4864
"56" 8.40968990325928 21.6834983825684 15.6941375732422
"57" 8.7891 21.4748 14.3776
"58" 9.1809 21.404 13.0586
"59" 9.8446 21.49 11.8684
"60" 10.4206 20.9295 10.7758
"61" 10.8721 20.7177 9.487
"62" 11.1745 20.7504 8.1615
"63" 11.4545 20.9254 6.8138
"64" 11.9866 21.2827 5.6228
"65" 13.0498886108398 21.9718647003174 5.03660202026367
"66" 8.40968990325928 21.6834983825684 15.6941375732422
"67" 13.6071443557739 28.614070892334 2.0524845123291
"68" 13.0498886108398 21.9718647003174 5.03660202026367
"69" 13.6071443557739 28.614070892334 2.0524845123291
"70" 13.2845 29.672 3.4841
"71" 13.4243 30.3668 5.2143
"72" 13.5608 31.0179 6.9549
"73" 13.7931 31.4516 8.7651
"74" 14.0362 31.8871 10.5749
"75" 14.0831 32.1886 12.4119
"76" 14.2846 32.3038 14.2681
"77" 14.3698 32.2309 16.1384
"78" 14.7469 32.0549 17.96
"79" 15.0882 31.8087 19.7878
"80" 15.26 31.6368 21.6493
"81" 15.4724 31.5474 23.5081
"82" 15.5581 31.498 25.3738
"83" 15.6859 31.4125 27.2441
"84" 15.9088 31.2699 29.1001
