"V1" "V2" "V3"
"1" 18.8075904846191 11.2123908996582 8.3313045501709
"2" 19.3225 11.1257 7.8458
"3" 19.6826 11.2275 7.233
"4" 19.9368 11.5096 6.62
"5" 20.1551 11.7825 5.9946
"6" 20.324 12.1262 5.383
"7" 20.4211 12.4947 4.7715
"8" 20.4674 12.9316 4.1987
"9" 20.4768 13.4213 3.6685
"10" 20.4406 13.9216 3.1492
"11" 20.2901 14.4638 2.7012
"12" 20.1339 15.042 2.2973
"13" 19.9047 15.6058 1.9092
"14" 19.7407 16.1543 1.4819
"15" 19.7591 16.7425 1.0749
"16" 19.7128410339356 17.4300727844238 0.881112337112427
"17" 22.8891983032227 13.4076356887817 12.9065017700195
"18" 22.792 12.9223 13.0677
"19" 22.8376 12.4384 13.3019
"20" 22.7315 11.9282 13.1408
"21" 22.7025 11.4001 13.1086
"22" 22.7356 10.9974 13.3609
"23" 23.1127 10.9513 13.7525
"24" 23.5422 11.089 13.9926
"25" 23.6833 11.5639 13.8038
"26" 23.6093 12.0997 13.7825
"27" 23.6726 12.5971 13.8847
"28" 23.8207 13.0786 13.8689
"29" 23.6776 13.4766 13.5656
"30" 23.324 13.5781 13.1921
"31" 18.8075904846191 11.2123908996582 8.3313045501709
"32" 19.4404335021973 15.3419389724731 6.11988067626953
"33" 13.9143619537353 15.1889324188232 4.71938180923462
"34" 13.5739 15.1113 5.4104
"35" 13.3716 15.0267 6.1712
"36" 13.3002 14.8466 6.9379
"37" 13.3503 14.564 7.6757
"38" 13.5384 14.0486 8.2441
"39" 13.856 13.5161 8.7323
"40" 14.3614 13.0541 9.1113
"41" 14.9946 12.6237 9.2699
"42" 15.6608 12.2598 9.0499
"43" 16.2312 11.9289 8.6198
"44" 16.8105 11.7728 8.1017
"45" 17.318 11.7901 7.5186
"46" 17.6694 11.9685 6.8306
"47" 17.9016 12.2381 6.1239
"48" 17.9978 12.5808 5.4193
"49" 17.9303 13.0189 4.7668
"50" 17.6486 13.4821 4.2003
"51" 17.1723 13.9507 3.7794
"52" 16.5536 14.3402 3.4784
"53" 15.8288 14.6413 3.4919
"54" 15.1135 14.8512 3.7467
"55" 14.4889 15.0362 4.1941
"56" 19.013053894043 13.4224348068237 8.56320571899414
"57" 19.4843 13.8255 7.9592
"58" 19.5755 14.2482 7.2014
"59" 19.502 14.7084 6.4639
"60" 19.5235 15.1288 5.6947
"61" 19.5595 15.6466 4.9943
"62" 19.4586 16.0579 4.2243
"63" 19.2622 16.5186 3.5039
"64" 18.9989 17.1502 2.9585
"65" 18.6576671600342 17.8814582824707 2.64400696754456
"66" 19.013053894043 13.4224348068237 8.56320571899414
"67" 14.3247671127319 18.3019771575928 1.31717109680176
"68" 18.6576671600342 17.8814582824707 2.64400696754456
"69" 14.3247671127319 18.3019771575928 1.31717109680176
"70" 13.8449 18.4784 2.1975
"71" 13.6712 18.577 3.2173
"72" 13.5388 18.626 4.2479
"73" 13.4103 18.7608 5.2703
"74" 13.3386 18.8226 6.2915
"75" 13.2343 18.9514 7.3181
"76" 13.1595 19.0011 8.352
"77" 13.1804 19.0916 9.3833
"78" 13.326 19.2248 10.4043
"79" 13.3937 19.3869 11.4252
"80" 13.4002 19.4968 12.4573
"81" 13.5495 19.5729 13.4817
"82" 13.7471 19.6874 14.4957
"83" 13.9149 19.782 15.5167
"84" 14.0457 19.8535 16.5456
"85" 14.2382 19.9864 17.5585
"86" 14.4733 20.0678 18.5682
"87" 14.6534280776978 20.0881595611572 19.5894374847412
"88" 22.9325942993164 19.3794689178467 21.5184879302979
"89" 14.6534280776978 20.0881595611572 19.5894374847412
"90" 19.7128410339356 17.4300727844238 0.881112337112427
"91" 20.4055976867676 25.1845378875732 6.83887672424316
"92" 20.9857 25.0191 6.2759
"93" 21.2657 24.5954 5.6251
"94" 21.4542 24.0727 4.9989
"95" 21.5305 23.5169 4.3802
"96" 21.5609 22.9302 3.7846
"97" 21.5126 22.3242 3.2098
"98" 21.3645 21.663 2.7195
"99" 21.1539 20.9881 2.2701
"100" 20.8535 20.3056 1.8945
"101" 20.4577 19.6241 1.6122
"102" 20.0929 18.9396 1.3067
"103" 19.9555 18.2217 0.9113
"104" 19.7128410339356 17.4300727844238 0.881112337112427
"105" 20.4055976867676 25.1845378875732 6.83887672424316
"106" 19.999641418457 20.7156200408936 5.58827447891235
"107" 14.870228767395 21.8293418884277 3.83164262771606
"108" 14.484 21.8506 4.5649
"109" 14.2888 21.8684 5.3745
