"V1" "V2" "V3"
"1" 48.0733489990234 167.546249389648 269.379821777344
"2" 48.97 172.4171 272.3036
"3" 51.3497 172.4732 278.3304
"4" 54.1608 172.1551 284.2185
"5" 56.4882 171.2122 290.1878
"6" 59.4478 170.7904 296.0066
"7" 62.5952 170.5279 301.7253
"8" 66.0571 169.7273 307.1915
"9" 69.6808 169.9983 312.5847
"10" 73.6041 169.4759 317.774
"11" 77.7404 169.0048 322.8164
"12" 81.9778 169.029 327.7147
"13" 86.3727 170.38 332.3221
"14" 90.9522 171.6058 336.5653
"15" 96.6231 171.2008 339.6446
"16" 102.973480224609 171.376037597656 340.717468261719
"17" 63.4747543334961 173.259536743164 220.865798950195
"18" 59.7707 173.5067 221.7052
"19" 56.0763 172.4715 220.7071
"20" 52.2971 172.2858 220.4596
"21" 48.6485 173.5129 221.3291
"22" 44.9581 173.9193 220.3177
"23" 43.449 175.9629 217.5709
"24" 45.2423 177.1459 214.5715
"25" 48.9001 177.3306 214.034
"26" 52.5802 176.2286 214.7143
"27" 56.189 176.8826 214.3363
"28" 59.8244 178.1912 213.4379
"29" 63.4386 177.4219 214.5907
"30" 64.5712 175.6576 217.9013
"31" 48.0733489990234 167.546249389648 269.379821777344
"32" 94.2973098754883 149.058685302734 305.274322509766
"33" 79.0956802368164 118.848274230957 313.069396972656
"34" 79.9649 112.9311 308.6055
"35" 78.4588 108.3108 302.9948
"36" 76.1059 105.2244 296.5732
"37" 71.9236 103.0239 290.824
"38" 67.3041 101.7668 285.0654
"39" 63.2536 101.2556 278.7648
"40" 58.5317 102.4262 273.1434
"41" 54.9989 105.1269 267.1412
"42" 51.623 111.0033 265.4666
"43" 48.7277 117.6787 266.5775
"44" 46.8351 124.0864 269.8134
"45" 46.6004 130.31 273.9218
"46" 47.1584 136.894 277.4986
"47" 49.3813 142.6144 281.5514
"48" 53.0149 146.1159 287.0969
"49" 57.1154 148.4633 292.8297
"50" 61.5563 149.1374 298.7906
"51" 66.0989 146.7317 304.2384
"52" 70.4245 142.943 309.018
"53" 74.0797 138.8891 314.0991
"54" 76.9956 132.6148 316.5582
"55" 78.3549 125.6028 316.2804
"56" 76.526123046875 153.335311889648 267.025695800781
"57" 78.9668 153.5197 270.6647
"58" 80.6806 153.5092 274.6867
"59" 82.1524 153.5171 278.8056
"60" 84.509 153.2189 282.4678
"61" 87.3751 153.0242 285.7458
"62" 90.6392 153.1194 288.6186
"63" 94.4102 153.0473 290.8353
"64" 98.5046 152.5456 291.4443
"65" 102.717582702637 151.831817626953 290.727294921875
"66" 76.526123046875 153.335311889648 267.025695800781
"67" 102.991455078125 118.132682800293 330.685485839844
"68" 102.717582702637 151.831817626953 290.727294921875
"69" 102.991455078125 118.132682800293 330.685485839844
"70" 103.459 112.7414 323.3095
"71" 104.0603 109.4155 314.6745
"72" 104.0861 106.818 305.7845
"73" 104.3917 104.3793 296.8057
"74" 104.7392 101.0123 288.1654
"75" 105.2346 97.0447 279.7661
"76" 104.9313 94.2724 270.9001
"77" 104.8549 91.8873 261.917
"78" 104.2836 89.7255 252.9066
"79" 105.5409 88.1336 243.8861
"80" 105.7554 87.7456 234.6032
"81" 105.9411 87.0056 225.3273
"82" 105.7644 86.2365 216.0527
"83" 106.2936 85.6998 206.7887
"84" 106.1426 85.7824 197.4887
"85" 106.0333 86.7196 188.2355
"86" 106.0137 87.9989 179.0226
"87" 104.789710998535 90.7672271728516 170.339584350586
"88" 104.116027832031 144.787612915039 192.775817871094
"89" 104.789710998535 90.7672271728516 170.339584350586
"90" 102.973480224609 171.376037597656 340.717468261719
"91" 153.733993530273 173.812286376953 269.055358886719
"92" 151.9065 178.5766 271.7224
"93" 148.8807 178.586 278.3207
"94" 146.2445 177.5222 285.0385
"95" 143.0594 176.5764 291.5431
"96" 139.9724 175.3977 298.0519
"97" 136.4173 174.8936 304.4122
"98" 132.6635 173.9924 310.596
"99" 128.6868 173.3752 316.6843
"100" 124.5573 172.1796 322.5653
"101" 120.1961 171.7564 328.4039
"102" 115.3279 172.3532 333.7833
"103" 109.8562 172.0114 338.4887
"104" 102.973480224609 171.376037597656 340.717468261719
"105" 153.733993530273 173.812286376953 269.055358886719
"106" 110.99195098877 151.508422851562 305.853424072266
"107" 127.779769897461 120.541946411133 313.833038330078
"108" 127.5835 114.3066 308.9711
"109" 129.332 110.2144 302.3643
"110" 132.2542 107.0246 295.6368
"111" 137.0833 105.7604 289.4218
"112" 142.0769 105.4639 283.2643
"113" 146.6585 105.9109 276.742
"114" 151.5105 107.435 270.6224
"115" 155.0413 111.7256 265.0606
"116" 157.9986 119.0275 265.5152
"117" 159.9631 126.171 268.4855
"118" 160.0873 133.1893 272.3221
"119" 158.9191 140.4192 275.5431
"120" 156.5159 147.0647 279.1553
"121" 152.6928 151.2922 284.7204
"122" 147.905 153.0154 290.9027
"123" 143.2372 153.8346 297.2499
"124" 139.1777 151.4952 303.7166
"125" 135.0732 147.6958 309.3433
"126" 131.4611 142.8068 314.5101
"127" 129.0581 135.802 317.3001
"128" 127.9757 127.9994 316.7614
"129" 127.616767883301 155.458267211914 266.374938964844
"130" 125.9927 155.3709 270.3903
"131" 124.1693 155.6976 274.1541
"132" 122.0726 155.0149 277.6905
"133" 119.7446 154.6143 281.2386
"134" 117.4864 154.3207 284.8185
"135" 114.4357 153.957 287.8163
"136" 111.0701 153.8649 290.3933
"137" 106.895 152.9775 290.6987
"138" 102.717582702637 151.831817626953 290.727294921875
"139" 127.616767883301 155.458267211914 266.374938964844
"140" 63.029613494873 174.796936035156 220.562072753906
"141" 62.7367935180664 175.155090332031 218.803527832031
"142" 62.5595703125 175.819229125977 217.374313354492
"143" 62.1268157958984 176.510162353516 216.004974365234
"144" 61.429012298584 177.968826293945 213.958038330078
"145" 61.4295616149902 174.573379516602 220.477722167969
"146" 61.2540397644043 174.968826293945 218.855377197266
"147" 61.055061340332 175.678619384766 217.377914428711
"148" 60.3676338195801 176.455078125 215.945083618164
"149" 58.8815650939941 177.631881713867 214.488632202148
"150" 59.7516403198242 174.333282470703 220.114212036133
"151" 59.3037528991699 174.715087890625 218.754425048828
"152" 59.1319046020508 175.539169311523 217.098205566406
"153" 58.246753692627 176.72297668457 215.381439208984
"154" 57.4634056091309 177.466842651367 214.617431640625
"155" 58.1719017028809 174.108993530273 219.658004760742
"156" 57.7294425964355 174.412872314453 218.650344848633
"157" 57.3298377990723 175.14697265625 217.007400512695
"158" 56.6017608642578 176.454391479492 215.34130859375
"159" 56.0030174255371 176.741958618164 214.820556640625
"160" 56.2457733154297 173.629257202148 219.458267211914
"161" 55.8354949951172 173.992111206055 218.524856567383
"162" 55.5218925476074 174.518096923828 216.968292236328
"163" 54.8720245361328 175.586807250977 215.5810546875
"164" 53.0077018737793 178.02799987793 215.873001098633
"165" 54.5209732055664 173.380462646484 218.934051513672
"166" 53.602222442627 173.683364868164 218.347381591797
"167" 53.3455085754395 174.374099731445 217.084884643555
"168" 52.8730010986328 177.917999267578 215.820007324219
"169" 52.7755508422852 177.960006713867 215.828491210938
"170" 52.1063995361328 173.512741088867 219.270614624023
"171" 51.6795921325684 174.18359375 218.149124145508
"172" 51.4505729675293 175.657928466797 216.224090576172
"173" 51.0888404846191 176.841735839844 215.132232666016
"174" 50.3363990783691 173.970993041992 219.807006835938
"175" 50.3707885742188 174.189666748047 218.825622558594
"176" 50.269115447998 175.027191162109 217.161514282227
"177" 50.2436561584473 176.597564697266 215.503646850586
"178" 48.6882743835449 174.048919677734 220.466064453125
"179" 48.4357261657715 174.374328613281 219.247894287109
"180" 48.8479385375977 175.358673095703 216.723449707031
"181" 49.0990142822266 176.868682861328 215.03059387207
"182" 47.071704864502 174.371978759766 219.800445556641
"183" 46.6397743225098 174.749038696289 218.777984619141
"184" 46.744457244873 175.299850463867 217.092376708984
"185" 47.3246726989746 176.826187133789 214.666641235352
"186" 45.1599273681641 174.924514770508 218.727020263672
"187" 45.296516418457 175.47314453125 217.299560546875
"188" 44.7071533203125 176.847351074219 215.366729736328
"189" 51.6572570800781 162.369232177734 272.703674316406
"190" 52.8389625549316 155.850280761719 272.967803955078
"191" 56.5196723937988 149.962646484375 275.370361328125
"192" 62.3984680175781 149.675201416016 274.550384521484
"193" 67.1552276611328 150.280578613281 273.288970947266
"194" 70.8900375366211 150.986038208008 271.932434082031
