"V1" "V2" "V3"
"1" 28.8069400787354 16.5156631469727 10.3440294265747
"2" 28.5784 15.869 9.3798
"3" 27.8462 15.0067 8.8559
"4" 27.107 14.0356 8.6216
"5" 26.4901 12.9854 8.3642
"6" 25.8237 11.9307 8.2765
"7" 25.1198 10.8992 8.3233
"8" 24.402 9.8753 8.3621
"9" 23.6654 8.8734 8.4865
"10" 22.8603 7.9409 8.6883
"11" 22.0892 7.0111 8.9715
"12" 21.3474 6.0251 9.0129
"13" 20.4491 5.1731 8.874
"14" 19.632 4.3966 9.2793
"15" 18.6385 3.9102 9.8423
"16" 17.6286754608154 3.66809129714966 10.5371541976929
"17" 27.5871963500977 30.9934005737305 4.58686399459839
"18" 28.5475 31.0819 4.6148
"19" 29.4806 31.0555 4.9416
"20" 30.3763 30.8065 4.7431
"21" 31.2495 30.4326 4.6717
"22" 31.7965 31.0764 4.8507
"23" 32.0096 31.9094 5.295
"24" 32.0401 32.5271 6.0199
"25" 31.4524 32.9702 6.5716
"26" 30.4928 33.0995 6.5197
"27" 29.525 33.122 6.3542
"28" 28.5569 33.0688 6.3132
"29" 28.0272 32.3295 5.9862
"30" 27.8174 31.7107 5.2375
"31" 28.8069400787354 16.5156631469727 10.3440294265747
"32" 21.2647895812988 13.5277128219604 10.5001621246338
"33" 23.6755409240723 8.87537002563477 17.7963600158691
"34" 23.9049 9.7372 18.6355
"35" 24.3148 10.8102 19.1099
"36" 24.6251 11.9417 19.5164
"37" 25.0323 13.086 19.5468
"38" 25.875 13.9881 19.448
"39" 26.5458 15.0236 19.3543
"40" 27.0743 16.112 19.0919
"41" 27.7999 16.906 18.5363
"42" 28.4643 16.9386 17.5213
"43" 28.9438 16.4806 16.4776
"44" 29.0979 15.919 15.3841
"45" 28.9514 15.3249 14.3051
"46" 28.4811 14.6021 13.4219
"47" 27.9207 13.7355 12.7337
"48" 27.3344 12.7424 12.2802
"49" 26.672 11.7213 12.0233
"50" 25.9361 10.7202 12.0363
"51" 25.2016 9.7875 12.3944
"52" 24.6011 9.1056 13.2444
"53" 24.0804 8.5986 14.2242
"54" 23.7573 8.353 15.3951
"55" 23.6794 8.4972 16.61
"56" 24.5389499664307 19.4985752105713 11.1582088470459
"57" 23.8712 18.1972 10.4465
"58" 23.0929 16.7452 10.2034
"59" 22.5016 15.1925 10.1998
"60" 21.6896 13.7678 10.4845
"61" 20.7589 12.3975 10.6341
"62" 19.9537 10.9513 10.772
"63" 19.3582 9.4296 10.886
"64" 18.6665 8.1003 11.3967
"65" 17.4426155090332 7.69583702087402 12.4364471435547
"66" 24.5389499664307 19.4985752105713 11.1582088470459
"67" 17.6187286376953 3.72860527038574 19.3523826599121
"68" 17.4426155090332 7.69583702087402 12.4364471435547
"69" 17.6187286376953 3.72860527038574 19.3523826599121
"70" 17.6551 5.5348 20.1351
"71" 17.6888 7.4899 20.4176
"72" 17.7857 9.4604 20.4418
"73" 17.8288 11.4354 20.5936
"74" 17.9588 13.3967 20.8459
