"V1" "V2" "V3"
"1" 5.49204254150391 41.7192611694336 8.63286399841309
"2" 5.7782 42.1404 7.4341
"3" 6.2395 42.9237 6.4211
"4" 6.9283 43.8113 5.6472
"5" 7.5926 44.8397 5.3942
"6" 8.2691 46.0049 5.2264
"7" 8.9011 47.1868 5.1493
"8" 9.5439 48.3893 5.286
"9" 10.3236 49.4967 5.2838
"10" 11.1031 50.6222 5.3768
"11" 11.9491 51.6099 5.3399
"12" 12.6785 52.5368 5.4875
"13" 13.6067 53.4422 5.5712
"14" 14.6588 54.2683 5.7
"15" 15.8924 54.8219 5.869
"16" 17.0768127441406 55.3150939941406 5.85253143310547
"17" 7.57418203353882 27.6537895202637 5.8748950958252
"18" 6.6454 27.9316 6.3229
"19" 5.6214 27.8026 6.6047
"20" 4.5627 27.9169 6.3855
"21" 3.5394 28.0708 6.0499
"22" 2.5617 27.7129 5.7512
"23" 2.3495 27.0046 5.0256
"24" 2.7497 26.0995 4.7165
"25" 3.6958 25.7165 4.8378
"26" 4.6923 25.6449 5.2601
"27" 5.6998 25.5035 5.2856
"28" 6.7536 25.3976 5.0286
"29" 7.6786 25.8677 4.8797
"30" 7.9645 26.782 5.3479
"31" 5.49204254150391 41.7192611694336 8.63286399841309
"32" 14.0239934921265 42.0823783874512 6.71657752990723
"33" 12.2117233276367 52.4691162109375 17.4134464263916
"34" 12.1559 51.2739 18.3766
"35" 11.8849 49.879 19.0251
"36" 11.362 48.5549 19.6019
"37" 10.4822 47.3066 19.9276
"38" 9.5685 46.0643 19.7922
"39" 8.6467 44.941 19.2909
"40" 7.6924 43.9687 18.5507
"41" 6.6775 43.4715 17.5022
"42" 5.7902 43.4339 16.2366
"43" 5.3558 43.6738 14.7881
"44" 5.381 44.2176 13.3334
"45" 5.8498 45.1704 12.2115
"46" 6.4123 46.094 11.0905
"47" 7.0681 47.1367 10.1811
"48" 7.8757 48.4074 9.7663
"49" 8.7338 49.6847 9.547
"50" 9.6346 50.9378 9.7184
"51" 10.5052 52.0529 10.343
"52" 11.1852 52.8347 11.4901
"53" 11.6333 53.2613 12.916
"54" 11.8378 53.3429 14.4578
"55" 12.0295 52.9919 15.9528
"56" 10.4623146057129 37.9520111083984 7.90290641784668
"57" 11.23 38.7249 7.443
"58" 11.8896 39.6606 7.2019
"59" 12.5796 40.5408 6.8142
"60" 13.3728 41.4024 6.6561
"61" 14.2068 42.2083 6.7193
"62" 14.8777 43.1304 6.7252
"63" 15.4864 43.9899 6.3893
"64" 16.2085 44.8991 6.2028
"65" 17.1597404479981 45.5693969726562 5.98181343078613
"66" 10.4623146057129 37.9520111083984 7.90290641784668
"67" 17.1430034637451 57.264892578125 17.7679214477539
"68" 17.1597404479981 45.5693969726562 5.98181343078613
"69" 17.1430034637451 57.264892578125 17.7679214477539
"70" 17.3745 55.2447 18.5201
"71" 17.4512 53.1058 18.9566
"72" 17.4588 50.9758 19.4178
"73" 17.3087 48.8513 19.8989
"74" 17.2046 46.7658 20.5433
"75" 17.1257 44.6685 21.1537
"76" 17.2881 42.5591 21.6502
"77" 17.1573 40.3974 21.9379
"78" 17.2782 38.2346 22.1949
"79" 17.166 36.1216 22.6982
"80" 16.9568 34.0294 23.2508
"81" 16.7427 31.878 23.5422
"82" 16.6719 29.7177 23.8617
"83" 16.7365 27.5412 24.0451
"84" 16.8696 25.4065 24.4455
"85" 16.8567 23.3 25.0279
"86" 16.7026 21.2112 25.646
"87" 16.575626373291 19.1257572174072 26.2893791198731
"88" 17.3081684112549 13.7971515655518 11.1797542572022
"89" 16.575626373291 19.1257572174072 26.2893791198731
"90" 17.0768127441406 55.3150939941406 5.85253143310547
"91" 29.4757919311523 41.7306594848633 8.56614875793457
"92" 29.0253 42.2567 7.2033
"93" 28.1636 43.3284 6.4387
"94" 27.3571 44.6362 6.0325
"95" 26.5353 45.969 5.7679
"96" 25.7485 47.3342 5.7678
"97" 24.8807 48.6576 5.6674
"98" 23.9953 49.9657 5.6192
"99" 23.0595 51.1087 5.8797
"100" 22.1343 52.2102 6.0896
"101" 21.1242 53.2383 5.7109
"102" 19.8424 54.0572 5.3189
"103" 18.4821 54.7458 5.3773
"104" 17.0768127441406 55.3150939941406 5.85253143310547
"105" 29.4757919311523 41.7306594848633 8.56614875793457
"106" 20.7304439544678 42.3682670593262 6.67136192321777
"107" 21.9663028717041 52.9569816589355 17.4163379669189
"108" 21.9815 51.5967 18.3649
"109" 22.2744 50.1673 19.1562
"110" 22.8251 48.751 19.7857
"111" 23.6322 47.3322 20.0878
"112" 24.7146 46.0834 20.0283
"113" 25.7178 44.8209 19.633
"114" 26.7925 43.8421 18.8584
"115" 27.9612 43.4538 17.7863
"116" 28.7858 43.5256 16.3895
"117" 29.0126 43.8637 14.788
"118" 28.9009 44.5625 13.2994
"119" 28.47 45.511 12.0094
"120" 27.812 46.5845 10.9468
"121" 26.9536 47.847 10.34
"122" 26.012 49.1741 10.0027
"123" 25.0516 50.5169 9.8889
"124" 24.1001 51.8002 10.2658
"125" 23.2594 52.896 11.175
"126" 22.7015 53.38 12.6516
"127" 22.3719 53.6818 14.2434
"128" 22.1738 53.4614 15.846
"129" 24.3807716369629 37.7728233337402 8.59010982513428
"130" 23.6488 38.623 8.0326
"131" 22.9472 39.5256 7.5184
"132" 22.1069 40.3666 7.1534
"133" 21.2711 41.2444 6.8664
"134" 20.5755 42.2639 6.671
"135" 19.8992 43.3007 6.5488
"136" 19.0585 44.2015 6.3444
"137" 18.271 45.1606 6.2193
"138" 17.1597404479981 45.5693969726562 5.98181343078613
"139" 24.3807716369629 37.7728233337402 8.59010982513428
"140" 7.45522546768188 27.4599761962891 5.47597789764404
"141" 7.43659162521362 27.032844543457 5.3255877494812
"142" 7.37595510482788 26.6328182220459 5.19210767745972
"143" 7.80864000320435 26.4613990783691 4.32405996322632
"144" 7.86593008041382 26.3292007446289 4.15053987503052
"145" 7.01203012466431 27.578742980957 5.6328706741333
