"V1" "V2" "V3"
"1" 24.4202613830566 17.5209121704102 36.7780227661133
"2" 23.8289 16.4851 37.5472
"3" 23.6079 15.7869 38.7919
"4" 23.4375 15.2692 40.1288
"5" 23.07 14.8308 41.4584
"6" 22.6996 14.4026 42.7876
"7" 22.2313 13.9685 44.087
"8" 21.7307 13.7172 45.4153
"9" 21.2796 13.6129 46.7952
"10" 20.9212 13.5808 48.2047
"11" 20.5854 13.5335 49.6203
"12" 20.1926 13.3705 51.0042
"13" 19.6889 13.1598 52.3514
"14" 18.9987 12.8553 53.5902
"15" 18.0425 12.6632 54.6349
"16" 16.6709594726562 12.5830402374268 54.9828262329102
"17" 22.7449588775635 11.2143726348877 21.9237365722656
"18" 23.629 11.5431 22.2552
"19" 24.5039 12.0409 22.1847
"20" 25.3776 11.9356 22.5375
"21" 26.1685 11.5057 22.9887
"22" 27.0856 11.1786 22.9796
"23" 27.5868 10.6724 22.3484
"24" 27.5147 10.2086 21.4736
"25" 26.9689 10.0114 20.6631
"26" 26.2558 10.3333 20.1388
"27" 25.4435 10.9425 20.1426
"28" 24.4843 11.0599 20.3519
"29" 23.5099 10.7954 20.4046
"30" 22.8489 10.7622 21.0518
"31" 24.4202613830566 17.5209121704102 36.7780227661133
"32" 19.1340675354004 16.3226909637451 39.1613006591797
"33" 20.7790412902832 22.0994815826416 46.2972679138184
"34" 19.9063 22.8636 45.8327
"35" 19.2214 23.6065 45.1088
"36" 18.908 24.1881 44.0436
"37" 18.7847 24.6722 42.8959
"38" 18.7709 24.9619 41.682
"39" 19.1058 25.1009 40.4869
"40" 19.5768 25.0862 39.3234
"41" 20.2529 24.8102 38.304
"42" 21.042 24.4588 37.3943
"43" 22.0312 24.0157 36.8149
"44" 23.0978 23.4565 37.0301
"45" 24.0246 22.7601 37.5096
"46" 24.6731 21.8527 38.0682
"47" 25.0411 20.9766 38.8669
"48" 25.0847 20.3071 39.9274
"49" 24.8986 19.8299 41.0678
"50" 24.5239 19.3636 42.1698
"51" 24.061 19.1087 43.3061
"52" 23.5353 19.0254 44.4427
"53" 22.8641 19.3438 45.4455
"54" 22.1222 20.0399 46.1461
"55" 21.4588 21.0511 46.4236
"56" 22.8397674560547 16.8963069915771 35.7997207641602
"57" 20.9688 15.9325 36.9089
"58" 19.9101 15.8381 38.835
"59" 19.3219 15.7662 41.1019
"60" 18.7193 15.6558 43.3193
"61" 18.811 15.5666 45.663
"62" 19.1765 15.3195 48.004
"63" 19.1801 14.9042 50.3338
"64" 18.2678 14.6294 52.4901
"65" 16.7326145172119 14.539119720459 53.7627372741699
"66" 22.8397674560547 16.8963069915771 35.7997207641602
"67" 16.9037055969238 18.7926731109619 53.0178031921387
"68" 16.7326145172119 14.539119720459 53.7627372741699
"69" 16.9037055969238 18.7926731109619 53.0178031921387
"70" 16.7183 20.4898 51.3846
"71" 16.76 21.794 49.4128
"72" 16.6987 22.7052 47.2229
"73" 16.6855 23.8947 45.1842
"74" 16.5352 24.7476 42.9836
"75" 16.4301 25.2526 40.6666
"76" 16.3079 25.7482 38.3617
"77" 16.1551 25.9877 36.0041
"78" 15.9333 25.9463 33.6439
"79" 15.7643 25.7767 31.2831
"80" 15.6214 25.6229 28.9327
"81" 15.4953 25.6031 26.5679
"82" 15.2904 25.7229 24.21
"83" 15.0547 25.8539 21.8591
"84" 14.902 25.8752 19.4899
"85" 14.6721 25.8463 17.136
"86" 14.5287 25.708 14.7704
"87" 14.4006614685059 25.3845806121826 12.4228086471558
"88" 14.1628112792969 11.2044668197632 9.97206974029541
"89" 14.4006614685059 25.3845806121826 12.4228086471558
"90" 16.6709594726562 12.5830402374268 54.9828262329102
"91" 7.40113830566406 17.9439296722412 37.7986183166504
"92" 8.1566 16.7338 38.4997
"93" 8.4558 15.9655 39.921
"94" 8.9896 15.3938 41.37
"95" 9.5666 14.8863 42.8326
"96" 10.25 14.428 44.2646
"97" 10.9068 14.0578 45.7322
"98" 11.5464 13.8735 47.2422
"99" 12.1699 13.8722 48.7719
"100" 12.7172 13.7291 50.3215
"101" 13.3716 13.6054 51.8314
"102" 14.1037 13.1983 53.2504
"103" 15.1487 12.807 54.4522
"104" 16.6709594726562 12.5830402374268 54.9828262329102
"105" 7.40113830566406 17.9439296722412 37.7986183166504
"106" 13.0512428283691 16.5147857666016 39.6783790588379
"107" 12.7165060043335 22.2111511230469 46.6345291137695
"108" 13.5425 23.048 46.1029
"109" 14.1493 23.7994 45.2638
"110" 14.2587 24.3717 44.1238
"111" 14.165 24.829 42.9185
"112" 14.0024 25.1311 41.6741
"113" 13.4323 25.371 40.5495
"114" 12.719 25.3905 39.4741
"115" 11.8178 25.1248 38.6044
"116" 10.8549 24.6457 37.8927
"117" 9.7085 24.0937 37.9105
"118" 8.6906 23.5317 38.4577
"119" 7.9178 22.7109 39.0536
"120" 7.4515 21.7785 39.7986
"121" 7.3886 20.9731 40.7925
"122" 7.5969 20.4262 41.9372
"123" 8.1056 19.974 43.0327
"124" 8.644 19.5964 44.1456
"125" 9.3841 19.5379 45.1983
"126" 10.1764 19.7502 46.1875
"127" 11.0478 20.3337 46.9084
"128" 11.9072 21.2691 46.995
"129" 9.18872547149658 16.8751716613769 35.9560470581055
"130" 10.8684 16.1872 37.3496
"131" 12.1469 16.053 39.2128
"132" 13.0292 16.0095 41.3457
"133" 13.8999 15.7872 43.4723
"134" 14.0864 15.6828 45.762
"135" 13.9065 15.5079 48.0618
"136" 14.1862 15.2392 50.3374
"137" 15.3259 14.9148 52.2441
"138" 16.7326145172119 14.539119720459 53.7627372741699
"139" 9.18872547149658 16.8751716613769 35.9560470581055
"140" 23.253454208374 11.0961208343506 21.8093643188477
"141" 23.2799224853516 10.9324598312378 21.4571571350098
"142" 23.4221000671387 10.9091997146606 21.2978992462158
"143" 23.4768238067627 10.8045196533203 20.8723239898682
"144" 23.7058506011963 10.8124351501465 20.4008903503418
"145" 23.6334133148193 11.2645463943481 21.868070602417
"146" 23.6825675964355 11.1065883636475 21.5339794158936
"147" 23.7015991210938 11.0305004119873 21.3537998199463
"148" 23.7045993804932 10.9049997329712 21.0060997009277
"149" 24.1351928710938 11.0002880096436 20.6279926300049
"150" 24.0245685577393 11.4154424667358 21.8693828582764
"151" 23.8781967163086 11.3501605987549 21.8927593231201
"152" 24.0270023345947 11.1804275512695 21.385814666748
"153" 24.3344497680664 11.1396532058716 20.9449081420898
"154" 25.4845008850098 10.7831001281738 20.6270999908447
"155" 24.3644542694092 11.5460662841797 21.8959712982178
"156" 24.6994934082031 11.4574289321899 21.6438961029053
"157" 25.5915012359619 10.9629230499268 21.6256351470947
"158" 25.5742740631104 10.7413349151611 21.1240253448486
"159" 25.5658493041992 10.7108345031738 20.5729827880859
"160" 24.7733764648438 11.65793800354 21.8797645568848
"161" 24.9472808837891 11.4522399902344 21.5854244232178
"162" 25.6401023864746 10.8781490325928 21.5946769714355
"163" 25.2747478485107 11.0411739349365 21.0037994384766
"164" 25.4243278503418 10.8614635467529 20.5762844085693
"165" 25.1624488830566 11.6398010253906 21.8957481384277
"166" 25.3584747314453 11.2968311309814 21.6333141326904
"167" 25.4545383453369 11.0002489089966 21.3968067169189
"168" 25.6159324645996 10.6852998733521 21.0427055358887
"169" 25.7508640289307 10.5308208465576 20.602071762085
"170" 25.5803565979004 11.3823738098145 22.2312183380127
"171" 25.6850204467773 10.9463634490967 21.8117561340332
"172" 25.8069686889648 10.5777444839478 21.3323554992676
"173" 26.017635345459 10.3151617050171 20.6765632629395
"174" 25.9480876922607 11.131121635437 22.4670600891113
"175" 25.9815979003906 10.842963218689 22.089729309082
"176" 26.1008205413818 10.5526342391968 21.7404689788818
"177" 26.2131042480469 10.1998929977417 21.0566101074219
"178" 26.34787940979 11.0384855270386 22.759765625
"179" 26.4067211151123 10.6755018234253 22.2470951080322
"180" 26.5012760162354 10.352123260498 21.7717437744141
"181" 26.6409797668457 10.0594968795776 21.1612510681152
"182" 26.7467861175537 10.8312654495239 22.677562713623
"183" 26.8568363189697 10.5499029159546 22.261209487915
"184" 26.8779926300049 10.2875061035156 21.8663921356201
"185" 26.9351558685303 10.00950050354 21.2451286315918
"186" 27.2329540252686 10.5829820632935 22.3803176879883
"187" 27.2358455657959 10.3123588562012 21.987512588501
"188" 27.3351020812988 10.1173572540283 21.5291519165039
"189" 23.9274215698242 18.1156597137451 37.2035789489746
"190" 23.4479694366455 18.7431488037109 37.2283172607422
"191" 24.2982349395752 18.3687152862549 37.3008270263672
"192" 23.4379615783691 18.758171081543 37.1972503662109
"193" 24.0168914794922 17.5687427520752 36.5186157226562
"194" 23.5216693878174 16.984130859375 36.553295135498
"195" 23.4038562774658 16.4096164703369 36.4410057067871
"196" 23.4210224151611 17.1344909667969 37.9710311889648
"197" 23.4269580841064 18.421911239624 37.9024810791016
"198" 24.0944004058838 18.278299331665 37.6216011047363
"199" 23.8694362640381 17.3764324188232 37.4918327331543
"200" 23.4112873077393 16.6536464691162 37.189868927002
"201" 22.9812526702881 15.738302230835 36.796215057373
"202" 23.1990947723389 16.606689453125 38.7437210083008
"203" 22.8901386260986 17.8407192230225 38.7118873596191
"204" 23.2682685852051 18.182430267334 38.3797302246094
"205" 23.1662693023682 18.1111278533936 38.3514099121094
"206" 22.7383651733398 16.8364543914795 37.8138198852539
"207" 22.4952068328857 15.9476184844971 37.4047622680664
"208" 21.9820652008057 15.5162687301636 37.1139488220215
