"V1" "V2" "V3"
"1" 31282.017578125 14031.2919921875 6785.14111328125
"2" 31042.2539 13163.5681 5945.1855
"3" 30545.5737 12442.9261 5085.4477
"4" 29783.6081 11796.2841 4405.527
"5" 28923.3528 11087.3212 3887.1266
"6" 28103.0947 10253.7091 3515.7968
"7" 27188.1109 9470.3363 3268.53
"8" 26234.7473 8704.2164 3130.679
"9" 25263.6695 7952.5901 3146.67
"10" 24319.6598 7167.1347 3226.9262
"11" 23312.0273 6483.5597 3402.1384
"12" 22266.6402 5839.5599 3477.7823
"13" 21236.9154 5179.0925 3605.817
"14" 20154.1915 4622.7155 3759.1846
"15" 19140.462 4146.2344 4254.1759
"16" 18025.005859375 3936.8125 4728.26953125
"17" 29006.306640625 26445.3515625 3713.265625
"18" 29817.6899 26497.3211 4056.8749
"19" 30605.3953 26605.6703 4412.6749
"20" 31432.9685 26499.9434 4280.2465
"21" 32159.361 26397.7062 3794.6828
"22" 32682.8145 26532.0509 3113.4332
"23" 32931.598 26928.0643 2423.9471
"24" 32739.2022 27683.5708 2091.2674
"25" 32310.4796 28343.9177 2378.7887
"26" 31655.337 28670.172 2818.8011
"27" 30811.1121 28659.9035 2962.6633
"28" 30032.447 28333.0828 2720.9148
"29" 29397.6138 27717.3725 2632.4715
"30" 28994.3526 27033.4113 3038.8128
"31" 31282.017578125 14031.2919921875 6785.14111328125
"32" 21904.203125 8876.1181640625 5508.8935546875
"33" 22921.7421875 9661.0751953125 16091.52734375
"34" 23675.1609 10787.0495 16230.4677
"35" 24616.4305 11831.4801 16075.0284
"36" 25666.6087 12680.8449 15753.9192
"37" 26808.0836 12629.9372 15063.6276
"38" 27756.6126 12529.8266 14039.636
"39" 28555.4445 12144.9062 12962.2152
"40" 28884.4144 11769.858 11672.0038
"41" 28515.5961 12063.7202 10358.4297
"42" 28374.4361 11192.6922 9325.8183
"43" 27891.8003 10338.6349 8301.4757
"44" 27281.9449 9344.1913 7523.8565
"45" 26374.9645 8339.4874 7144.3861
"46" 25468.965 7275.3261 7210.973
"47" 24667.3582 6303.1559 7798.0188
"48" 23955.8517 5642.0507 8827.9718
"49" 22944.3255 5294.4955 9745.8963
"50" 22251.2057 4945.6056 10816.1347
"51" 21933.0196 4769.5095 12170.0692
"52" 21593.9524 5284.4653 13407.8446
"53" 21475.7087 6255.1229 14399.4554
"54" 21575.025 7425.4697 15182.0407
"55" 22060.8466 8613.265 15675.2272
"56" 27444.673828125 13247.3056640625 7017.6953125
"57" 26343.5851 12737.5872 6226.1748
"58" 25200.8976 11963.9502 5771.7527
"59" 24065.2071 11066.8597 5576.9901
"60" 23050.4331 10023.1734 5564.8307
"61" 22205.3529 8844.0296 5393.0338
"62" 21440.2597 7607.1003 5365.8849
"63" 20551.9013 6474.6166 5457.4902
"64" 19369.5492 5779.8097 5930.1116
"65" 18095.794921875 5306.81298828125 6464.1171875
"66" 27444.673828125 13247.3056640625 7017.6953125
"67" 18174.236328125 3182.73828125 11939.587890625
"68" 18095.794921875 5306.81298828125 6464.1171875
"69" 18174.236328125 3182.73828125 11939.587890625
"70" 18555.5236 4453.1296 12926.3811
"71" 18563.1335 5687.1226 14023.3133
"72" 18597.3338 7066.468 14918.46
"73" 18697.8693 8590.9004 15543.6975
"74" 18906.0663 10199.4274 15858.8204
"75" 19060.9382 11667.0043 16597.7959
"76" 19108.5581 13272.6826 16995.1633
"77" 19092.5119 14913.1668 17177.9483
"78" 19140.6117 16566.6275 17185.3075
"79" 19326.738 18213.1666 17205.764
"80" 19480.0402 19846.0133 17437.6739
"81" 19506.8499 21478.0205 17717.5515
"82" 19563.7335 23094.0471 18054.6515
"83" 19759.3874 24620.5798 18615.9439
"84" 19956.6078 26044.8892 19431.3101
"85" 20188.3157 27595.7206 19948.7586
"86" 20413.8174 29218.5773 20192.4946
"87" 20368.955078125 30862.546875 20345.3671875
"88" 19431.05859375 41161.84375 8644.3779296875
"89" 20368.955078125 30862.546875 20345.3671875
"90" 18025.005859375 3936.8125 4728.26953125
"91" 5870.603515625 14724.72265625 8080.25390625
"92" 5965.3859 13905.944 6970.4537
"93" 6608.1286 12983.3844 6152.5142
"94" 7384.654 12101.1106 5418.5823
"95" 8237.2669 11175.8204 4830.5804
"96" 9178.6153 10217.8018 4472.2948
"97" 10143.5701 9265.2531 4171.8213
"98" 11160.913 8328.7145 4020.1245
"99" 12235.8854 7448.4462 3998.9587
"100" 13352.5589 6622.7299 4070.9389
"101" 14454.8531 5776.2883 4019.3937
"102" 15614.09 5010.0877 4024.6339
"103" 16767.8668 4311.5819 4314.913
"104" 18025.005859375 3936.8125 4728.26953125
"105" 5870.603515625 14724.72265625 8080.25390625
"106" 14697.166015625 9030.5849609375 5982.4091796875
"107" 15494.53515625 9582.48828125 16532.36328125
"108" 14903.3591 10847.2305 16663.7921
"109" 13896.7036 11896.5179 16723.86
"110" 12619.9167 12600.4566 16661.3819
"111" 11482.78 13293.9016 16179.5554
"112" 10389.4094 13419.5765 15232.6069
"113" 9314.44 13184.2006 14272.243
"114" 8541.1286 12876.4109 13059.7883
"115" 8313.4596 12811.4954 11647.0118
"116" 8514.6302 11891.3419 10515.7634
"117" 9035.4257 10979.7524 9502.2517
"118" 9598.9615 9919.4784 8662.8868
"119" 10380.1917 8779.3908 8240.2284
"120" 11282.6679 7620.7826 8278.0311
"121" 12447.0279 6951.6958 8780.4663
"122" 13344.1669 6226.8543 9677.8938
"123" 14245.9299 5581.0264 10623.7578
"124" 14780.2162 5185.9832 11933.4143
"125" 15171.0224 5105.6124 13314.6231
"126" 15642.1843 5831.9233 14456.1492
"127" 15954.3351 6971.2971 15330.14
"128" 15823.4534 8216.9426 16090.4084
"129" 9547.494140625 13831.8046875 8163.9921875
"130" 10552.7252 13313.6013 7279.4919
"131" 11597.425 12505.0925 6710.0619
"132" 12616.6982 11549.494 6405.5529
"133" 13571.9575 10494.3074 6252.2678
"134" 14411.4568 9350.7274 6054.3157
"135" 15169.6176 8138.3726 5886.5956
"136" 15890.7744 6887.2738 5889.9453
"137" 16865.6048 5938.0146 6101.8317
"138" 18095.794921875 5306.81298828125 6464.1171875
"139" 9547.494140625 13831.8046875 8163.9921875
"140" 29370.13671875 26681.0703125 3443.73876953125
"141" 29428.201171875 26979.4765625 3194.04052734375
"142" 29502.51953125 27252.69140625 2985.89868164062
"143" 29627.04296875 27544.6015625 2834.50244140625
"144" 29815.162109375 27946.716796875 2679.5478515625
"145" 29686.296875 26751.2578125 3610.14819335938
"146" 29733.587890625 27053.5390625 3384.6748046875
"147" 29797.958984375 27334.708984375 3178.27368164062
"148" 29907.66015625 27637.18359375 3000.61254882812
"149" 30149.8046875 27961.564453125 2909.3486328125
"150" 30001.19921875 26885.419921875 3775.15844726562
"151" 30087.8125 27198.248046875 3576.0439453125
"152" 30123.87109375 27511.224609375 3321.23608398438
"153" 30289.658203125 27841.359375 3115.09838867188
"154" 30509.3671875 28150.65234375 3038.19140625
"155" 30296.017578125 26959.087890625 3932.16748046875
"156" 30388.47265625 27294.87890625 3745.2060546875
"157" 30459.69140625 27619.611328125 3471.05029296875
"158" 30584.138671875 27910.697265625 3278.583984375
"159" 30895.650390625 28239.173828125 3188.5400390625
"160" 30716.568359375 27075.04296875 4064.59252929688
"161" 30844.6640625 27313.416015625 3786.0458984375
"162" 31006.525390625 27663.09375 3585.95947265625
"163" 31109.412109375 27911.712890625 3306.79052734375
"164" 31181.306640625 28229.3203125 3095.0771484375
"165" 31079.521484375 27077.5546875 4034.89013671875
"166" 31226.81640625 27370.734375 3698.78271484375
"167" 31296.9375 27623.123046875 3439.9951171875
"168" 31408.212890625 27918.248046875 3120.12036132812
"169" 31475.013671875 28224.41796875 2894.63159179688
"170" 31521.107421875 26917.306640625 3872.9306640625
"171" 31580.1015625 27329.095703125 3485.62548828125
"172" 31619.8828125 27718.79296875 3094.67895507812
"173" 31713.755859375 28189.7578125 2799.69189453125
"174" 31885.203125 26853.759765625 3661.16943359375
"175" 31864.00390625 27176.630859375 3397.39453125
"176" 31900.021484375 27465.505859375 3095.92504882812
"177" 31909.8671875 27957.845703125 2750.34399414062
"178" 32198.150390625 26706.5234375 3472.84155273438
"179" 32168.35546875 27109.96484375 3126.8203125
"180" 32177.4921875 27491.828125 2815.17041015625
"181" 32189.4921875 27895.486328125 2512.91357421875
"182" 32399.689453125 26791.5390625 3105.98071289062
"183" 32436.966796875 27101.92578125 2810.484375
"184" 32417.3828125 27394.115234375 2587.03588867188
"185" 32359.064453125 27823.71484375 2316.29174804688
"186" 32662.73046875 26956.609375 2614.0458984375
"187" 32622.845703125 27250.48046875 2410.59228515625
"188" 32625.408203125 27560.568359375 2192.9599609375
"189" 30146.060546875 12966.4111328125 6349.16943359375
"190" 29489.794921875 12670.28515625 6408.71875
"191" 28332.029296875 11635.052734375 6794.6982421875
