"V1" "V2" "V3"
"1" 47.7701225280762 33.4059143066406 16.6658058166504
"2" 46.7258 34.0863 15.609
"3" 45.7169 34.3186 14.3341
"4" 44.6764 34.564 13.0808
"5" 43.6395 34.6466 11.8014
"6" 42.6032 34.6341 10.5189
"7" 41.4646 34.5206 9.3397
"8" 40.3589 34.2493 8.1562
"9" 39.1632 34.026 7.0505
"10" 37.99 33.6041 5.9781
"11" 36.7829 33.2173 4.9227
"12" 35.5023 33.0338 3.9018
"13" 34.2137 33.1938 2.8987
"14" 32.9152 33.1351 2.2139
"15" 31.8146 31.9336 2.402
"16" 30.2640743255615 31.4682674407959 2.52168869972229
"17" 44.3963661193848 38.8266830444336 39.7317314147949
"18" 44.1742 37.5853 38.4745
"19" 45.2839 36.4353 38.9464
"20" 46.9007 35.9096 39.5006
"21" 48.6431 35.8242 39.0488
"22" 50.4065 35.9825 38.7061
"23" 51.6261 37.2415 38.8739
"24" 52.0177 38.6286 39.9341
"25" 51.9301 39.6207 41.4453
"26" 51.1945 40.1814 42.9335
"27" 49.6699 39.9807 43.6974
"28" 47.9311 39.6957 43.2733
"29" 46.2597 39.8136 42.6173
"30" 45.276 39.4794 41.1628
"31" 47.7701225280762 33.4059143066406 16.6658058166504
"32" 36.3506813049316 32.1905784606934 14.5085830688477
"33" 36.1587753295898 19.6819610595703 8.13617515563965
"34" 35.8878 18.5299 9.4944
"35" 35.874 17.9525 11.2372
"36" 36.0686 17.5629 13.0164
"37" 36.6867 17.5084 14.7606
"38" 37.9903 17.4698 16.0235
"39" 39.2924 17.7457 17.2608
"40" 40.448 18.3791 18.5634
"41" 41.9396 18.9888 19.229
"42" 43.4539 19.8945 18.7492
"43" 44.2188 21.5135 18.5871
"44" 44.6847 23.1937 18.0784
"45" 44.7131 24.4312 16.7675
"46" 44.3813 25.6392 15.4032
"47" 44.0344 26.7192 13.9712
"48" 43.2185 27.3726 12.4656
"49" 42.4587 27.5 10.8234
"50" 41.4775 27.0779 9.3153
"51" 40.4457 26.4997 7.8944
"52" 39.3001 25.5541 6.7984
"53" 38.2712 24.2434 6.159
"54" 37.2934 22.6981 6.4178
"55" 36.5888 21.156 7.0991
"56" 45.2530670166016 28.5226306915283 18.597713470459
"57" 43.0852 30.042 18.9766
"58" 40.8675 31.4561 18.5605
"59" 38.6202 32.1518 17.3186
"60" 36.7072 32.2326 15.4157
"61" 35.8316 32.18 12.86
"62" 35.0171 32.009 10.3015
"63" 33.7469 31.4616 8.0527
"64" 31.8906 30.0302 7.0583
"65" 30.1751384735107 28.6186256408691 5.63096141815186
"66" 45.2530670166016 28.5226306915283 18.597713470459
"67" 30.3930053710938 19.693172454834 5.58173561096191
"68" 30.1751384735107 28.6186256408691 5.63096141815186
"69" 30.3930053710938 19.693172454834 5.58173561096191
"70" 30.4783 18.547 7.7131
"71" 30.6463 17.7089 9.9964
"72" 30.5761 17.2272 12.3872
"73" 30.4105 16.9064 14.7901
"74" 30.3359 16.5096 17.1407
"75" 30.3688 16.5331 19.5639
"76" 30.7344 15.7088 21.8267
"77" 30.6874 15.2418 24.1893
"78" 30.4125 15.0209 26.5932
"79" 30.2887 15.361 28.9939
"80" 30.311 15.6006 31.4108
"81" 30.204 15.6557 33.8481
"82" 30.1335 15.4691 36.2765
"83" 30.0766 15.3121 38.7027
"84" 30.0665 15.0344 41.113
"85" 30.0789 14.7733 43.5336
"86" 29.9933 14.7143 45.9729
"87" 30.1745548248291 14.9047870635986 48.3858184814453
"88" 30.8579730987549 34.4085922241211 60.7981986999512
"89" 30.1745548248291 14.9047870635986 48.3858184814453
"90" 30.2640743255615 31.4682674407959 2.52168869972229
"91" 15.9390602111816 34.2782173156738 13.7517290115356
"92" 16.9706 34.4374 12.6475
"93" 17.9366 34.3757 11.4595
"94" 18.9262 34.3615 10.2945
"95" 19.9588 34.2393 9.1675
"96" 21.0486 34.0682 8.1083
"97" 22.0953 33.7618 7.0529
"98" 23.0447 33.4495 5.8911
"99" 24.077 33.0152 4.8474
"100" 25.1694 32.7595 3.8165
"101" 26.3455 33.0395 2.8775
"102" 27.7465 33.0832 2.2946
"103" 28.8576 32.0436 2.4285
"104" 30.2640743255615 31.4682674407959 2.52168869972229
"105" 15.9390602111816 34.2782173156738 13.7517290115356
"106" 24.3069763183594 31.9793567657471 15.1387233734131
"107" 25.1953086853027 19.4562873840332 7.86149311065674
"108" 25.4295 18.0945 9.2053
"109" 25.2092 17.7298 11.1157
"110" 24.6535 17.3711 12.9661
"111" 23.9244 17.2063 14.7733
"112" 22.7554 17.4041 16.2913
"113" 21.2678 17.8961 17.4704
"114" 19.7447 18.5068 18.5498
"115" 18.1696 19.4338 19.0664
"116" 16.7531 20.7161 18.5972
"117" 15.5757 22.1923 18.5773
"118" 15.7694 24.0009 18.0798
"119" 15.9751 25.204 16.5364
"120" 16.333 26.4373 15.0385
"121" 16.8232 27.4066 13.3952
"122" 17.6363 27.6933 11.6367
"123" 18.6329 27.5119 9.9615
"124" 19.808 26.8612 8.5217
"125" 21.0767 25.8428 7.4147
"126" 22.2097 24.3937 6.8315
"127" 23.3659 22.834 7.1338
"128" 24.4582 21.2027 7.2979
"129" 15.4811391830444 28.7565841674805 19.2096672058106
"130" 17.7915 30.0643 19.5657
"131" 20.1253 31.1855 19.004
"132" 22.2997 31.8979 17.6371
"133" 23.9706 32.0713 15.5944
