"V1" "V2" "V3"
"1" 61064.28515625 31806.193359375 12340.513671875
"2" 60186.2606 30476.4668 9734.5101
"3" 59097.703 27998.3896 8227.4274
"4" 57882.3752 25121.133 8192.8662
"5" 56449.159 22448.4166 8881.5657
"6" 55051.0358 19722.386 9448.6974
"7" 53613.5845 16990.0556 9951.5099
"8" 52145.1206 14242.6002 10296.0311
"9" 50393.8879 11664.0342 10667.7738
"10" 48592.8976 9127.2517 11051.7584
"11" 46524.038 6933.6912 11775.4097
"12" 44235.6944 4951.7171 12393.3585
"13" 41622.8805 3349.5632 12438.2666
"14" 38933.785 2355.8398 13532.0983
"15" 36035.0081 2055.2568 14605.6858
"16" 33572.18359375 2016.822265625 16488.2734375
"17" 56538.6015625 54135.328125 9322.4375
"18" 58630.5246 54615.8831 8655.7043
"19" 60803.0949 54444.0386 9164.4656
"20" 62944.4023 53964.0086 9193.8891
"21" 65039.5963 54560.5432 8769.6382
"22" 66758.105 55695.5408 8087.98
"23" 68088.5532 57331.7041 7356.1475
"24" 66891.7349 58505.663 6443.3369
"25" 64758.1311 59140.0416 6707.4363
"26" 62755.2843 59914.6716 7403.0861
"27" 60563.5824 60210.2651 7504.761
"28" 58474.9092 59405.1803 7361.2673
"29" 57008.8832 57729.074 7266.5992
"30" 56189.5042 55760.3688 7899.2705
"31" 61064.28515625 31806.193359375 12340.513671875
"32" 43145.875 22174.90234375 23695.00390625
"33" 47771.84375 14746.88671875 38335.7890625
"34" 46731.7534 16263.8766 40429.473
"35" 46626.0204 17926.6306 42677.8701
"36" 47104.7583 19968.1632 44470.4135
"37" 48290.5505 22232.2956 45550.7638
"38" 49779.8921 24565.6657 45997.1973
"39" 51612.1337 26620.5195 45509.727
"40" 53155.9647 28568.7081 44333.4637
"41" 54503.1663 30501.9655 42799.6961
"42" 56190.0629 32281.2614 41430.2271
"43" 57518.8031 33891.6246 39620.7405
"44" 58189.7159 34839.4577 37084.2624
"45" 58635.7874 34389.1223 34460.3251
"46" 58793.6852 32525.6082 32473.0678
"47" 58702.4577 30176.155 30938.0668
"48" 58032.0366 27534.706 30341.8887
"49" 57114.3242 25154.2082 29535.0695
"50" 56466.1552 22751.2068 28881.2449
"51" 55361.6427 20167.4583 28977.033
"52" 53832.1773 18130.3296 30121.6204
"53" 52302.7752 16599.5956 31904.0526
"54" 50715.757 15093.3503 33641.1479
"55" 49212.2267 14671.6789 35922.3847
"56" 51379.09375 31763.5078125 23492.59765625
"57" 48659.3275 30042.8781 24207.9312
"58" 46521.1435 27412.602 24212.2276
"59" 45014.5899 24447.3488 23594.8189
"60" 43142.6861 21637.6342 23526.9565
"61" 41839.0671 18514.6055 23237.9645
"62" 41011.2508 15200.1881 22923.1602
"63" 39508.9722 12229.1611 22173.0448
"64" 37184.3579 9972.9519 21723.2409
"65" 33875.375 9152.443359375 21924.515625
"66" 51379.09375 31763.5078125 23492.59765625
"67" 33767.65625 8709.86328125 37596.7421875
"68" 33875.375 9152.443359375 21924.515625
"69" 33767.65625 8709.86328125 37596.7421875
"70" 34111.9945 10185.7064 39910.962
"71" 34179.4501 12197.2127 41838.0708
"72" 34306.5609 14289.6099 43680.3273
"73" 34253.9933 16568.5677 45269.3631
"74" 34450.3825 18988.622 46643.3806
"75" 34490.5029 21581.692 47655.6586
"76" 34548.419 24248.31 48469.3136
"77" 34541.2307 26948.142 49169.1805
"78" 34437.1207 29640.9289 49892.0357
"79" 34528.3925 32302.7928 50725.5598
"80" 34574.6075 34904.6444 51728.471
"81" 34563.0798 37508.8965 52717.6026
"82" 34486.6845 40209.7349 53386.021
"83" 34629.3547 42965.1133 53781.3068
"84" 34535.257 45734.4913 54110.7842
"85" 34549.2816 48517.6303 54229.6369
"86" 34578.3585 51296.3829 53990.8897
"87" 33295.234375 53534.91015625 53357.9296875
"88" 35902.1796875 68125.828125 26870.841796875
"89" 33295.234375 53534.91015625 53357.9296875
"90" 33572.18359375 2016.822265625 16488.2734375
"91" 7457.8515625 34713.08984375 15489.26953125
"92" 8506.9215 32142.0687 13327.1313
"93" 9266.2099 28874.8014 12130.5682
"94" 10614.2822 25857.7785 10876.7595
"95" 11204.5322 22414.7245 10293.4603
"96" 12824.4283 19258.5844 10340.7739
"97" 14705.5493 16298.1879 10807.1493
"98" 17058.4648 14064.4655 12155.437
"99" 19305.0479 11643.1376 13315.2258
"100" 22163.3915 9686.0753 14117.5158
"101" 25074.851 7782.592 14917.873
"102" 27986.3106 5879.1087 15718.2302
"103" 30897.7701 3975.6253 16518.5874
