"V1" "V2" "V3"
"1" 51589.640625 23283.150390625 14615.412109375
"2" 51252.9543 21972.1542 13086.0159
"3" 50229.4214 20170.3702 12495.0958
"4" 49027.8951 18380.7396 12304.7274
"5" 47947.1547 16507.5364 12178.9943
"6" 46678.4187 14755.9574 12219.5484
"7" 45332.6117 13067.1813 12348.1285
"8" 43946.4764 11418.6972 12556.9555
"9" 42488.4442 9845.6035 12818.2128
"10" 40946.6927 8347.9449 13088.0336
"11" 39341.4172 6911.7186 13316.698
"12" 37669.4803 5542.3214 13437.1007
"13" 35812.7438 4438.0851 13538.7455
"14" 33861.2593 3539.7686 13756.9804
"15" 31843.9451 2843.6433 14086.2125
"16" 29723.1953125 2421.8134765625 14076.99609375
"17" 45021.68359375 43324.6484375 4144.603515625
"18" 46511.407 43387.9422 4396.4429
"19" 47825.9149 44020.5635 4899.5782
"20" 49340.4951 44047.7781 5242.1998
"21" 50716.5422 43356.7384 5085.0906
"22" 52056.9111 43511.4575 4689.9858
"23" 52472.4175 44654.4473 3745.4188
"24" 52309.2406 45998.7386 3046.305
"25" 51455.5222 47008.4899 2288.447
"26" 49903.2597 47218.0645 2210.148
"27" 48350.7277 46939.0269 2108.9739
"28" 46871.8879 46381.4395 2026.7426
"29" 45482.3469 45697.139 2292.1414
"30" 44932.4059 44489.1076 3074.5333
"31" 51589.640625 23283.150390625 14615.412109375
"32" 36903.734375 16149.875 15031.576171875
"33" 36552.22265625 9540.62109375 23138.28515625
"34" 35818.2934 10697.2056 24257.6668
"35" 35511.5909 12196.7552 25118.455
"36" 35677.5528 13829.9093 25713.4455
"37" 36150.9549 15492.6468 26077.7357
"38" 36917.1352 17083.3298 26239.8484
"39" 37988.3709 18489.2972 26119.1841
"40" 39150.9705 19715.5736 25638.3783
"41" 40304.1451 20819.7545 24952.2557
"42" 41581.0119 21832.5991 24250.9958
"43" 42933.1999 22141.789 23201.3869
"44" 44282.0932 21840.8728 22176.4763
"45" 45146.4488 20726.6091 21116.1795
"46" 45503.0247 19411.9125 19982.6097
"47" 45654.4455 17972.1243 18969.7856
"48" 45311.5848 16422.802 18206.0385
"49" 44587.1702 14843.3787 17877.5255
"50" 43624.4719 13358.3003 17925.1427
"51" 42508.9001 12013.3285 18186.4133
"52" 41258.6543 10893.1294 18705.6465
"53" 39996.5431 9918.5238 19483.2957
"54" 38817.1148 9119.0431 20528.7967
"55" 37681.8458 9118.4925 21834.9845
"56" 46808.33984375 22785.78125 14124.140625
"57" 44768.8084 21308.324 13958.1441
"58" 42639.639 19937.7174 14138.9866
"59" 40558.2409 18488.9875 14273.7913
"60" 38337.8004 17332.4093 14637.0855
"61" 36774.6766 15445.9028 15002.9719
"62" 35303.0903 13424.0308 15350.5704
"63" 33903.9616 11350.8258 15780.8236
"64" 32083.0727 10177.2796 16866.3028
"65" 29747.947265625 10599.552734375 17611.12890625
"66" 46808.33984375 22785.78125 14124.140625
"67" 29874.34765625 5869.890625 24227.10546875
"68" 29747.947265625 10599.552734375 17611.12890625
"69" 29874.34765625 5869.890625 24227.10546875
"70" 29692.7597 8434.302 25433.1373
"71" 29855.5567 11133.2799 26317.7469
"72" 29822.9815 13936.1881 26892.6037
"73" 29906.9638 16753.3499 27352.2419
"74" 29979.0724 19578.4854 27708.7798
"75" 30039.4426 22423.1142 27430.3966
"76" 30014.5928 25280.0801 27320.1921
"77" 30030.3781 28134.9764 27320.3899
"78" 29968.2504 30992.9482 27378.7209
"79" 30004.0752 33838.3501 27623.379
"80" 29921.8546 36690.5022 27838.799
"81" 29966.6341 39533.9514 28133.4622
"82" 29965.0076 42385.2599 28349.0553
"83" 30098.2061 45229.1917 28614.4569
"84" 29914.2942 48042.4817 28835.6544
"85" 29860.1146 50884.6192 28888.2859
"86" 29913.7038 53742.6156 28811.0857
"87" 29940.275390625 56580.6015625 28514.015625
"88" 28739.541015625 64566.3125 6893.0390625
"89" 29940.275390625 56580.6015625 28514.015625
"90" 29723.1953125 2421.8134765625 14076.99609375
"91" 7477.6328125 23045.693359375 16637.55859375
"92" 7950.4561 21302.1253 15022.5509
"93" 9152.9447 19225.9567 14308.2243
"94" 10525.8037 17139.8135 14045.0772
"95" 12003.5649 15114.1809 13915.7535
"96" 13558.1865 13139.8308 13902.2028
"97" 15221.4024 11257.2837 13987.9933
"98" 16938.3914 9427.6147 14134.7713
"99" 18837.7691 7791.0906 14286.3221
"100" 20514.8886 5966.466 14645.2661
"101" 22702.3212 4865.2848 14123.2611
"102" 24911.1189 3767.9646 14201.2355
"103" 27294.8215 3015.283 14296.5133
"104" 29723.1953125 2421.8134765625 14076.99609375
"105" 7477.6328125 23045.693359375 16637.55859375
"106" 22167.22265625 16084.7919921875 15623.5
"107" 22328.677734375 9094.5 22522.482421875
"108" 23505.2317 9824.5117 23758.4003
"109" 24390.6828 11115.4604 24745.7532
"110" 24781.3452 12578.3655 25803.8676
"111" 24684.4149 14293.3329 26515.3114
"112" 24058.6545 15995.1231 26928.0602
"113" 23176.2802 17610.0452 27134.1793
"114" 21828.6473 18874.2183 26952.5679
"115" 20548.1098 20135.382 26434.9612
"116" 19279.2941 21384.4154 25856.6736
"117" 17863.3036 22198.0179 25027.6724
"118" 16361.913 21955.3504 23994.7871
"119" 15074.8218 21196.8713 22922.7395
"120" 14369.5192 19936.3172 21740.618
"121" 14089.7388 18435.6946 20674.2702
"122" 14193.1878 16814.8712 19764.615
"123" 14694.7472 15117.2145 19234.0936
"124" 15640.8316 13518.5863 19024.3318
"125" 16849.5496 12097.9261 19150.0897
"126" 18139.586 10813.7188 19551.2742
"127" 19595.4218 9864.8948 20233.3777
"128" 20983.5416 9195.0952 21224.3008
"129" 12571.921875 22412.818359375 15593.6875
"130" 14015.1623 20404.0688 15269.9767
"131" 16222.3516 19275.8502 15311.6059
"132" 18425.9721 18079.3309 15335.1207
"133" 20727.0404 17078.7644 15447.9332
"134" 22382.2565 15224.0099 15664.2373
"135" 23939.7453 13319.0829 16150.2614
"136" 25387.9088 11275.7275 16281.4641
"137" 27305.8362 10454.4045 17151.6078
"138" 29747.947265625 10599.552734375 17611.12890625
"139" 12571.921875 22412.818359375 15593.6875
"140" 45751.43359375 43750.62890625 3660.36083984375
"141" 45777.75 44259.30078125 3235.49291992188
"142" 45885.5078125 44743.7578125 2871.40551757812
"143" 46071.515625 45238.1640625 2545.27075195312
"144" 46431.8125 45908.40625 2188.98754882812
"145" 46419.24609375 43835.46484375 3742.90405273438
"146" 46470.5625 44353.14453125 3353.58544921875
"147" 46592.33203125 44812.5078125 3000.048828125
"148" 46786.9140625 45280.2421875 2660.98217773438
"149" 47207.78515625 45868.88671875 2411.69799804688
"150" 47096.578125 44089.1640625 3883.70141601562
"151" 47226.2734375 44610.125 3511.931640625
"152" 47266.9140625 45080.328125 3117.62817382812
"153" 47501.94921875 45638.53515625 2785.3984375
"154" 47884.37109375 46250.40625 2528.80126953125
"155" 47607.07421875 44299.16015625 4130.2294921875
"156" 47777.265625 44834.0859375 3751.08203125
"157" 47910.68359375 45319.8359375 3377.09887695312
"158" 48145.92578125 45893.53125 3009.5791015625
"159" 48563.3125 46446.86328125 2715.88916015625
"160" 48324.7578125 44590.9453125 4366.24267578125
"161" 48526.21484375 45086.03125 3993.54565429688
"162" 48705.44921875 45573.8515625 3600.2607421875
"163" 48935.2421875 46020.4140625 3272.07739257812
"164" 49242.66015625 46623.91796875 2819.81982421875
"165" 49038.27734375 44716.35546875 4446.68994140625
"166" 49325.33203125 45217.3046875 3998.1572265625
"167" 49459.421875 45648.25390625 3621.8408203125
"168" 49711.66015625 46210.46484375 3174.89404296875
"169" 49917.62109375 46701.30859375 2751.2255859375
"170" 49910.01171875 44458.20703125 4541.27783203125
"171" 50052.68359375 45143.0234375 3900.7841796875
"172" 50187.51953125 45879.2421875 3322.80053710938
"173" 50388.390625 46639.83984375 2697.1669921875
"174" 50524.796875 44143.9765625 4404.2861328125
"175" 50528.67578125 44777.63671875 3950.47314453125
"176" 50660.5703125 45337.1953125 3506.65576171875
"177" 50721.96875 46286.39453125 2824.74487304688
"178" 51054.9921875 43737.12109375 4357.0302734375
"179" 51037.8359375 44606.9375 3742.46655273438
"180" 51077.26171875 45367.046875 3260.21313476562
"181" 51164.85546875 46198.98046875 2683.99487304688
"182" 51479.1015625 44365.1015625 4122.8701171875
"183" 51512.2890625 44617.46875 3522.45263671875
"184" 51478.90625 45262.69921875 3138.79614257812
"185" 51485.1015625 46163.828125 2624.93579101562
"186" 52057.84765625 44452.99609375 3565.35864257812
"187" 51950.11328125 45116.4921875 3152.72192382812
"188" 52039.53125 45838.66796875 2808.1953125
"189" 49966.1796875 21968.9609375 15017.3271484375
"190" 48608.19921875 21316.599609375 16522.599609375
"191" 46794.19921875 20276.599609375 17136.69921875
"192" 46183.69921875 20500.900390625 16275.2998046875
"193" 46412.58203125 20995.34765625 15772.2578125
"194" 46637.6015625 21181.69921875 14592.099609375
"195" 46631.6015625 22158 14556.599609375
"196" 49379.99609375 20500.435546875 13808.8564453125
"197" 48112.49609375 19537.4375 15451.7890625
"198" 45729.80078125 19283.30078125 16081.5
"199" 45851.484375 19688.54296875 15871.8173828125
"200" 45881.1015625 20198.30078125 15552.099609375
"201" 45196.69921875 20652.19921875 14562.400390625
"202" 48604.4921875 18894.72265625 13526.6767578125
"203" 47699.19921875 18448.35546875 15112.7431640625
"204" 45298.65625 18143.6328125 15982.384765625
"205" 45251.58203125 18582.056640625 16027.419921875
