"V1" "V2" "V3"
"1" 40.6747589111328 84.2641983032227 56.7486419677734
"2" 37.8176 82.0377 55.204
"3" 36.6015 79.7293 52.5218
"4" 37.9881 78.2147 49.1429
"5" 39.7387 76.8415 45.8745
"6" 41.9371 75.9686 42.7292
"7" 43.9263 74.3873 39.709
"8" 45.8054 72.8238 36.6125
"9" 47.8199 71.274 33.5871
"10" 50.1468 69.6594 30.8484
"11" 52.8551 67.9905 28.5124
"12" 55.9766 67.0862 26.2742
"13" 59.0922 65.9259 24.1442
"14" 62.0193 64.5331 21.9058
"15" 64.5928 62.3744 19.9645
"16" 66.6179275512695 59.1003341674805 19.1383590698242
"17" 29.9202480316162 67.8256912231445 96.2275772094727
"18" 29.8709 71.2983 95.8155
"19" 29.1785 74.736 96.1304
"20" 27.447 77.6683 95.1887
"21" 24.9416 79.2242 93.4694
"22" 21.6005 79.3667 92.9076
"23" 18.4925 78.6641 94.3121
"24" 16.8609 77.6785 97.1519
"25" 17.4627 75.7722 100.0277
"26" 19.4324 74.5469 102.6831
"27" 21.7657 72.1124 103.541
"28" 23.6221 69.2188 103.3052
"29" 25.1779 67.321 100.8558
"30" 27.6262 66.4762 98.5054
"31" 40.6747589111328 84.2641983032227 56.7486419677734
"32" 58.7538146972656 66.3368377685547 54.7656059265137
"33" 82.2375259399414 76.7501373291016 41.3876113891602
"34" 83.5462 76.9766 44.0894
"35" 84.0173 77.3882 47.0304
"36" 84.1464 77.9768 49.9546
"37" 83.7305 79.0784 52.685
"38" 82.6792 80.6662 54.9915
"39" 81.298 82.1473 57.1834
"40" 79.285 83.6129 58.7647
"41" 76.8733 85.2134 59.6042
"42" 74.4932 86.7792 59.0553
"43" 72.284 87.5023 57.1924
"44" 70.055 87.8087 55.1908
"45" 68.3771 87.6433 52.7035
"46" 67.1788 86.8081 50.0799
"47" 66.5415 85.6549 47.3835
"48" 66.3396 84.3582 44.6705
"49" 66.7106 83.146 41.9774
"50" 68.1963 81.536 39.9204
"51" 70.1513 80.1031 38.1471
"52" 72.5353 78.8995 36.7892
"53" 75.291 77.7625 36.6353
"54" 78.1263 77.0031 37.173
"55" 80.4378 76.8921 38.9744
"56" 52.5551490783691 72.3719863891602 64.5657196044922
"57" 54.4537 69.8013 62.2595
"58" 56.4675 68.1351 59.3517
"59" 58.1081 66.9364 55.9533
"60" 59.5608 65.6136 52.5046
"61" 60.7215 64.3581 48.954
"62" 62.2797 63.5358 45.4501
"63" 63.8863 63.0633 41.9241
"64" 65.4056 62.3384 38.3705
"65" 67.4378051757812 59.8481178283691 36.0645713806152
"66" 52.5551490783691 72.3719863891602 64.5657196044922
"67" 84.5102691650391 69.0982360839844 30.6894912719727
"68" 67.4378051757812 59.8481178283691 36.0645713806152
"69" 84.5102691650391 69.0982360839844 30.6894912719727
"70" 85.7855 69.9508 36.2818
"71" 86.6828 70.6212 42.0389
"72" 87.7261 71.1636 47.7937
"73" 88.5821 72.4549 53.4554
"74" 89.1222 73.1076 59.2465
"75" 88.7599 72.8917 65.0598
"76" 87.9431 72.8082 70.8533
"77" 87.1492 72.3148 76.6505
"78" 86.7149 72.1882 82.4959
"79" 86.0735 72.2419 88.3266
"80" 85.5128 71.9481 94.1577
"81" 84.9124 71.3519 99.9648
"82" 84.0515 71.3389 105.7652
"83" 83.3534 72.0028 111.5255
"84" 82.8386 71.555 117.3584
"85" 82.1389 71.2389 123.1477
"86" 81.6922 71.3329 128.9889
"87" 80.9646530151367 70.9505844116211 134.777938842773
"88" 42.7129020690918 46.712818145752 127.387817382812
"89" 80.9646530151367 70.9505844116211 134.777938842773
"90" 66.6179275512695 59.1003341674805 19.1383590698242
"91" 76.6117401123047 25.9527587890625 58.3759918212891
"92" 72.659 24.2724 56.9795
"93" 69.463 24.1328 53.8531
"94" 68.8118 26.2115 49.7618
"95" 69.1371 28.9286 46.1044
"96" 68.6967 31.6918 42.379
"97" 68.3198 34.4204 38.6327
"98" 67.6405 37.1161 34.874
"99" 67.181 40.265 31.4379
"100" 67.2916 43.8233 28.4332
"101" 68.1086 47.5492 25.7176
"102" 68.6573 51.3754 23.1031
"103" 68.4582 55.026 20.2052
"104" 66.6179275512695 59.1003341674805 19.1383590698242
"105" 76.6117401123047 25.9527587890625 58.3759918212891
"106" 68.5183258056641 49.7232208251953 53.1823921203613
"107" 89.1003341674805 63.4518966674805 39.9742202758789
"108" 89.8849 64.8412 42.6715
"109" 90.5909 65.4075 45.678
"110" 91.2034 65.7002 48.7609
"111" 91.9298 65.3642 51.7862
"112" 92.5988 64.1613 54.5991
"113" 93.0421 62.4001 57.1588
"114" 93.2898 60.3232 59.5037
"115" 93.4652 57.5451 60.7695
"116" 93.5055 54.5155 60.0678
"117" 93.2441 52.0083 58.2196
"118" 92.6154 49.8311 56.0639
"119" 91.4849 48.2427 53.6092
"120" 90.2298 47.1458 50.9616
"121" 88.8672 46.6085 48.1694
"122" 87.6136 46.5161 45.2811
"123" 86.8265 47.5986 42.4799
"124" 86.3039 49.8087 40.3011
"125" 85.986 52.3246 38.4404
"126" 86.3007 55.2541 37.4413
"127" 86.81 58.359 37.411
"128" 87.8392 61.0969 38.2923
"129" 69.6656341552734 42.8911819458008 64.9232635498047
"130" 69.1288 45.3232 62.0319
"131" 68.987 47.3073 58.7668
"132" 68.7128 49.0331 55.3732
"133" 68.158 50.8928 52.0694
"134" 67.9102 52.961 48.8628
"135" 67.8078 54.3087 45.4056
"136" 68.1614 55.7286 41.9154
"137" 68.3636 57.2856 38.5877
"138" 67.4378051757812 59.8481178283691 36.0645713806152
"139" 69.6656341552734 42.8911819458008 64.9232635498047
"140" 28.7954769134521 68.8328170776367 97.0317916870117
"141" 27.9651317596436 68.4171905517578 98.0270156860352
"142" 26.959997177124 68.3785171508789 99.1794128417969
"143" 25.6575412750244 67.440315246582 100.354644775391
"144" 24.3819351196289 68.1927032470703 101.488639831543
"145" 28.5614356994629 70.3800277709961 97.1626586914062
"146" 27.616849899292 69.9682464599609 98.0457992553711
"147" 26.8282871246338 69.7672729492188 98.962158203125
"148" 25.6830387115479 69.462028503418 100.437393188477
"149" 24.2418098449707 69.753547668457 101.804779052734
"150" 28.2697906494141 71.698616027832 97.21337890625
"151" 27.2952003479004 71.4296798706055 98.1884231567383
"152" 26.3663463592529 70.9787063598633 99.3534088134766
"153" 24.8983325958252 70.9980773925781 101.10139465332
"154" 23.5590782165527 70.9076690673828 102.361305236816
"155" 28.1212158203125 72.97509765625 97.1355743408203
"156" 26.8706455230713 72.6869430541992 98.4287261962891
"157" 25.8196201324463 72.8598556518555 99.4847259521484
"158" 24.0289192199707 72.8953475952148 101.041831970215
"159" 22.6298313140869 72.4582595825195 102.356437683105
"160" 27.3680858612061 74.3263244628906 97.3303146362305
"161" 26.0102405548096 74.3920974731445 98.2774429321289
"162" 24.620361328125 74.3384170532227 99.3464813232422
"163" 23.46755027771 73.9841842651367 100.533897399902
"164" 22.1696147918701 73.241096496582 102.042785644531
"165" 26.5192623138428 75.4306793212891 97.2240524291992
"166" 24.9750518798828 75.2641983032227 98.3005752563477
"167" 24.098051071167 74.8341827392578 99.275764465332
"168" 22.6029262542725 74.709228515625 100.573257446289
"169" 21.1494235992432 74.3232955932617 101.713310241699
"170" 25.5367908477783 77.0586853027344 96.5293350219727
"171" 23.8533840179443 76.5223236083984 97.8381805419922
"172" 22.0512924194336 75.9960708618164 99.485725402832
"173" 20.2274188995361 74.9431991577148 101.234359741211
"174" 24.2229442596436 78.0513687133789 95.5946655273438
"175" 23.0890865325928 77.4253387451172 96.6969223022461
"176" 21.6580028533936 76.9842071533203 97.7314300537109
"177" 19.7280807495117 75.8158721923828 99.7694320678711
"178" 23.2151126861572 78.7445983886719 94.2412261962891
"179" 21.7498016357422 77.8380813598633 95.9665145874023
"180" 20.1204662322998 77.1947937011719 97.2729339599609
"181" 18.7131080627441 76.3222808837891 98.7054138183594
"182" 21.5928802490234 78.6582183837891 94.2083892822266
"183" 20.2325286865234 78.0763931274414 95.3796234130859
"184" 18.6124992370605 76.6455001831055 95.4481964111328
"185" 18.285400390625 76.5861968994141 97.8916015625
"186" 19.4315948486328 78.4686584472656 94.2596054077148
"187" 18.2299537658691 76.727180480957 95.1473007202148
"188" 17.0912990570068 76.2892990112305 95.7554016113281
"189" 46.5801391601562 82.2381210327148 55.4426498413086
"190" 52.401008605957 82.4370956420898 54.7844047546387
"191" 58.3242988586426 81.6310348510742 54.1598777770996
"192" 57.3128890991211 80.1802444458008 56.6652679443359
"193" 55.5968856811523 77.3184204101562 58.7504234313965
