"V1" "V2" "V3"
"1" 45811.58203125 27757.982421875 7466.380859375
"2" 45132.1084 26136.8191 6494.5786
"3" 44341.743 24288.2454 6386.4457
"4" 43547.9815 22471.023 6008.38
"5" 42652.4428 20703.1293 5632.5892
"6" 41680.0864 19033.9098 5055.3833
"7" 40552.3062 17420.8614 4641.4409
"8" 39579.6975 15713.3004 4236.1882
"9" 38516.2835 14020.3139 3955.8988
"10" 37331.0573 12404.0688 3772.6829
"11" 36154.1585 10781.9643 3887.7834
"12" 34883.4907 9279.368 4185.1231
"13" 33636.2406 7709.8339 4342.7185
"14" 32176.39 6323.5749 4420.9943
"15" 30569.9524 5219.1346 4851.5629
"16" 28711.6171875 4634.29541015625 5373.3671875
"17" 40610.078125 49984.95703125 7150.31640625
"18" 42020.0156 49482.2435 7790.3397
"19" 43500.1993 49563.0525 8773.7
"20" 45216.8395 49510.1789 9095.5936
"21" 46818.9582 48959.8118 8629.0649
"22" 48139.3425 49080.1527 7484.8598
"23" 48883.7668 50076.3274 6298.1032
"24" 48762.2078 51598.4874 5682.2879
"25" 47890.7308 53071.1572 6014.2203
"26" 46565.9638 54202.8669 6335.6542
"27" 44945.3745 54718.0032 6647.2411
"28" 43374.8297 53991.9701 6365.4639
"29" 42218.7375 52730.0941 5932.1032
"30" 41193.5343 51324.5036 6116.106
"31" 45811.58203125 27757.982421875 7466.380859375
"32" 34565.65234375 23470.509765625 9372.244140625
"33" 30931.322265625 16587.072265625 23287.72265625
"34" 31328.5077 18291.2759 23923.7293
"35" 31991.6428 19908.3568 24358.4924
"36" 33119.133 21376.6314 24468.0835
"37" 34427.2126 22593.904 24031.6796
"38" 35918.6263 23505.6073 23483.7717
"39" 37466.2223 23092.5805 22679.5367
"40" 38763.3295 22488.6618 21498.3874
"41" 39806.2241 22082.7263 20030.8219
"42" 40468.0684 21159.3766 18563.643
"43" 40807.3753 20017.1492 17164.7279
"44" 40507.1702 18603.9006 15987.3672
"45" 39994.9918 17060.1171 15119.2311
"46" 39069.0907 15639.0751 14351.8532
"47" 38100.5451 14108.8438 13981.6264
"48" 36900.7756 12798.5251 14289.2441
"49" 35576.8019 11720.0264 14991.2801
"50" 34422.7071 10910.0507 16201.1646
"51" 33254.9606 10688.6146 17579.7806
"52" 32205.0209 10891.6215 19086.8315
"53" 31366.4973 11957.3971 20312.3619
"54" 30876.4899 13398.1017 21369.0058
"55" 30880.9457 14988.1516 22331.4341
"56" 38518.72265625 28648.189453125 11460.869140625
"57" 37010.8258 26841.1993 10668.6758
"58" 35604.515 24885.8287 9989.6525
"59" 34331.7884 22900.9636 9196.674
"60" 33099.0232 20856.6366 8471.84
"61" 31877.5299 18739.1614 8085.8189
"62" 31559.4249 16310.8502 7595.5655
"63" 31230.0456 13859.8265 7300.2207
"64" 30830.296 11556.9361 6482.6626
"65" 28660.20703125 10699.12890625 7223.78125
