"V1" "V2" "V3"
"1" 46522.63671875 36744.609375 11810.9306640625
"2" 45674.8032 34917.7592 10797.4768
"3" 45082.611 32725.9643 10987.3086
"4" 44489.3029 30532.3144 11135.153
"5" 43718.1163 28457.8213 11663.9998
"6" 43196.2635 26332.5474 11453.5994
"7" 42614.3671 24195.0261 11770.8092
"8" 42125.0034 21985.9848 12133.126
"9" 41347.3424 19897.643 12123.1978
"10" 40520.3557 17790.2089 12477.3563
"11" 39631.0663 15724.6501 12825.9322
"12" 38794.7498 13599.4037 12841.3359
"13" 37866.6952 11509.4458 12735.0948
"14" 37301.0717 9312.9737 12427.6064
"15" 36264.605 7529.2636 11585.8279
"16" 34684.78125 6187.2294921875 10649.619140625
"17" 41580.37109375 51472.046875 9359.966796875
"18" 42672.0735 51177.3211 9618.8324
"19" 43793.7348 51280.9315 9549.8563
"20" 44857.1108 51723.43 9378.2015
"21" 45989.4467 51917.2976 9209.2988
"22" 47094.4589 52140.1619 9446.2375
"23" 47999.0971 52731.285 9383.203
"24" 47976.5425 53700.7956 8752.0597
"25" 47173.269 53957.6025 8068.1581
"26" 46053.1291 53911.3717 7870.6972
"27" 45081.3415 53416.1452 8137.6942
"28" 44005.4492 52996.8258 8254.163
"29" 42929.6436 52603.6085 8409.4243
"30" 41895.3881 52446.619 8801.757
"31" 46522.63671875 36744.609375 11810.9306640625
"32" 36587.25 28567.853515625 16323.8125
"33" 42360.7890625 20991.525390625 25422.806640625
"34" 41799.8754 20997.6859 27922.764
"35" 40446.997 22807.663 29564.8866
"36" 40982.9286 24631.45 31357.8375
"37" 42990.3458 25991.0723 32393.132
"38" 44570.4377 27458.5249 33683.9101
"39" 44858.7359 29788.8308 34684.7316
"40" 46553.5694 31841.5427 35127.245
"41" 48443.4112 33801.4344 34707.2399
"42" 50145.415 35806.6627 33861.1222
"43" 50988.8206 37941.8649 32354.1436
"44" 51178.0375 39226.6374 29936.0852
"45" 51629.9097 39517.5526 27214.5063
"46" 51675.9247 38970.4021 24495.6331
"47" 51008.4805 37843.0707 22031.002
