"V1" "V2" "V3"
"1" 2269.90185546875 1930.20349121094 845.211181640625
"2" 2234.8267 1814.4952 818.3901
"3" 2192.4814 1709.7297 768.6794
"4" 2139.0838 1594.8962 766.4688
"5" 2087.1678 1478.9905 769.3063
"6" 2030.9796 1370.2202 793.7509
"7" 1992.514 1250.1071 787.4326
"8" 1940.0702 1135.6298 803.0546
"9" 1898.5603 1016.3668 813.0568
"10" 1856.6038 897.2416 825.3764
"11" 1806.7284 780.8156 833.3203
"12" 1759.2619 663.5361 835.6596
"13" 1700.5527 551.28 833.0086
"14" 1636.3749 443.5561 825.1532
"15" 1543.53 359.4691 823.4593
"16" 1447.44702148438 306.174530029297 778.105102539062
"17" 1982.16345214844 2906.54760742188 649.523620605469
"18" 2037.0594 2892.6982 677.193
"19" 2095.7838 2903.3746 699.3786
"20" 2150.9985 2926.8593 720.4129
"21" 2206.29 2926.5014 747.7682
"22" 2264.7922 2912.6487 770.2052
"23" 2310.2331 2927.9191 769.4187
"24" 2297.1477 2979.6378 735.2386
"25" 2255.7263 3018.5014 705.9357
"26" 2202.3469 3041.4179 678.2108
"27" 2147.7492 3053.0818 648.2381
"28" 2091.3075 3038.2284 621.8187
"29" 2036.3202 3007.2758 608.2318
"30" 1995.0645 2960.4823 617.9634
"31" 2269.90185546875 1930.20349121094 845.211181640625
"32" 1741.0537109375 1200.68969726562 765.045227050781
"33" 1812.82287597656 885.580261230469 1505.78503417969
"34" 1761.8785 930.3256 1675.9413
"35" 1707.105 981.7873 1839.9126
"36" 1601.9026 1100.1476 1928.7848
"37" 1495.5441 1209.9282 1995.5843
"38" 1444.9233 1373.4143 2050.5812
"39" 1470.8655 1550.2306 2088.361
"40" 1548.5587 1713.4942 2098.8709
"41" 1619.2803 1882.9641 2085.9518
"42" 1685.8465 2053.6061 2066.7008
"43" 1821.2959 2137.0387 2011.0361
"44" 1953.73 2165.915 1889.002
"45" 2040.4691 2149.4864 1728.8661
"46" 2070.9703 2097.4275 1556.7964
"47" 2143.6003 2028.6403 1411.6802
"48" 2195.483 1923.1927 1270.3715
"49" 2190.6414 1791.9463 1143.0887
"50" 2142.2517 1627.7433 1088.4649
"51" 2083.2504 1456.7598 1063.7402
"52" 2028.48 1285.8122 1052.6413
"53" 1956.1006 1130.6168 1116.9122
"54" 1881.0259 983.0714 1191.5023
"55" 1882.9021 937.0158 1348.2596
"56" 1940.7451171875 1646.75756835938 952.891357421875
"57" 1880.8338 1555.4463 864.4378
"58" 1843.7739 1428.3806 816.6669
"59" 1801.3865 1300.1769 790.0005
"60" 1743.3489 1178.2774 753.5906
"61" 1694.8505 1047.9974 731.9146
"62" 1634.5132 923.4921 703.8605
"63" 1582.9104 793.7513 719.4678
"64" 1527.1242 671.5444 753.6461
"65" 1412.93505859375 653.023986816406 829.199340820312
"66" 1940.7451171875 1646.75756835938 952.891357421875
"67" 1087.01879882812 547.028564453125 1515.35302734375
"68" 1412.93505859375 653.023986816406 829.199340820312
"69" 1087.01879882812 547.028564453125 1515.35302734375
"70" 1025.8752 661.4182 1639.7747
"71" 994.0274 817.2822 1728.7961
"72" 952.252 984.5353 1779.7761
"73" 923.3916 1150.0097 1849.2274
"74" 889.701 1315.2279 1917.9521
"75" 871.5851 1489.5301 1964.9169
"76" 849.4071 1669.0458 1984.1995
"77" 847.9554 1848.969 1991.0232
"78" 855.3939 2027.3015 1997.8324
"79" 845.6085 2208.1793 1994.9703
