"V1" "V2" "V3"
"1" 20.8648452758789 24.9261970520019 4.88910722732544
"2" 21.284 25.1549 4.2444
"3" 22.059 25.3336 3.9063
"4" 22.8874 25.4976 3.7893
"5" 23.7356 25.658 3.6982
"6" 24.5509 25.8889 3.5143
"7" 25.3741 26.1488 3.5737
"8" 26.1926 26.4305 3.6427
"9" 26.9393 26.7404 3.9141
"10" 27.7576 26.9207 4.1247
"11" 28.5968 27.0527 4.2974
"12" 29.4526 27.1305 4.3817
"13" 30.2982 27.0932 4.2788
"14" 31.1222 27.1278 4.4327
"15" 31.8328 26.826 4.3186
"16" 32.5385971069336 26.4415950775146 4.63329410552979
"17" 14.948076248169 18.4456043243408 1.85138511657715
"18" 14.7908 18.9732 1.8732
"19" 14.3504 19.2699 1.9283
"20" 13.854 19.5238 2.0017
"21" 13.4893 19.9546 1.9648
"22" 13.0907 20.3306 1.9726
"23" 12.6638 20.217 1.7871
"24" 12.433 19.8011 1.5055
"25" 12.6648 19.3525 1.3413
"26" 13.0187 18.9248 1.3225
"27" 13.2322 18.4258 1.1756
"28" 13.6001 18.0568 1.1047
"29" 14.0975 18.0064 1.2822
"30" 14.5527 18.1698 1.5544
"31" 20.8648452758789 24.9261970520019 4.88910722732544
"32" 27.2577285766602 24.9109840393066 4.52082443237305
"33" 27.5899677276611 26.7425422668457 11.0799264907837
"34" 26.9035 26.0806 11.7347
"35" 26.0441 25.4365 12.1481
"36" 25.1441 24.7991 12.4292
"37" 24.1556 24.215 12.5069
"38" 23.0274 24.164 12.4459
"39" 22.006 24.4103 12.0324
"40" 20.9876 24.2699 11.4965
"41" 20.1254 24.2224 10.7361
"42" 19.5809 24.3939 9.7442
"43" 19.5018 24.7573 8.6501
"44" 19.81 25.1395 7.6148
"45" 20.472 25.4291 6.7116
"46" 21.3369 25.4773 5.9438
"47" 22.3402 25.6222 5.3783
"48" 23.4149 25.8675 5.0655
"49" 24.53 26.1864 5.0173
"50" 25.6371 26.4543 5.2231
"51" 26.6337 26.769 5.6967
"52" 27.3445 26.953 6.5859
"53" 27.7443 27.1135 7.6541
"54" 27.7589 27.1438 8.811
"55" 27.7124 27.0274 9.9601
"56" 21.1923732757568 23.4631462097168 5.31278371810913
"57" 22.365 23.498 5.0962
"58" 23.5118 23.7507 4.7638
"59" 24.6164 24.1332 4.4443
"60" 25.776 24.5165 4.4056
"61" 26.9355 24.8938 4.4075
"62" 28.0073 25.4268 4.6241
"63" 29.076 25.6353 5.1811
"64" 30.1702 25.724 5.6927
