"V1" "V2" "V3"
"1" 21.5259990692139 14.3282871246338 9.96915626525879
"2" 21.0745 14.9092 9.6025
"3" 20.576 15.3013 8.9796
"4" 20.1048 15.4826 8.2515
"5" 19.6063 15.5972 7.5262
"6" 19.0773 15.6325 6.8109
"7" 18.5772 15.6296 6.0806
"8" 18.0607 15.5624 5.3597
"9" 17.5785 15.4138 4.6408
"10" 17.0601 15.2484 3.9631
"11" 16.566 15.2237 3.2507
"12" 16.0415 15.1876 2.5322
"13" 15.4643 15.3232 1.871
"14" 14.7465 15.2749 1.3772
"15" 14.0715 14.817 1.0712
"16" 13.2259130477905 14.5775346755981 0.97262978553772
"17" 21.5089912414551 17.2137794494629 20.2521514892578
"18" 22.0552 17.0209 20.2449
"19" 22.6185 16.8761 20.3623
"20" 23.1775 16.9343 20.128
"21" 23.7349 17.0834 19.9252
"22" 24.2558 17.3359 19.9532
"23" 24.3979 17.7095 20.3006
"24" 24.2493 18.0031 20.8165
"25" 23.7021 17.9311 21.0532
"26" 23.2109 17.6583 21.2726
"27" 22.6999 17.5705 21.4738
"28" 22.1194 17.7428 21.4827
"29" 21.6735 17.829 21.1698
"30" 21.3722 17.5845 20.7122
"31" 21.5259990692139 14.3282871246338 9.96915626525879
"32" 16.6400203704834 14.2035903930664 7.02656698226929
"33" 17.1727752685547 6.85903835296631 4.61005640029907
"34" 17.5003 6.2872 5.6236
"35" 17.8994 5.8444 6.6755
"36" 18.3131 5.5127 7.7557
"37" 18.9093 5.5336 8.7997
"38" 19.782 5.7389 9.5971
"39" 20.5462 6.0359 10.4767
"40" 21.2315 6.5788 11.301
"41" 21.8009 7.461 11.8472
"42" 22.3158 8.5288 11.7955
"43" 22.4079 9.7111 11.5892
"44" 22.3433 10.7977 11.0914
"45" 22.051 11.7182 10.368
"46" 21.5178 12.4711 9.6117
"47" 20.8179 12.9152 8.7462
"48" 20.1823 13.3197 7.8033
"49" 19.4783 13.361 6.8314
"50" 18.7356 12.9564 5.9738
"51" 18.0919 12.3362 5.1869
"52" 17.6353 11.4548 4.4987
"53" 17.3743 10.3624 4.0873
"54" 17.2443 9.1691 3.9963
"55" 17.136 7.9733 4.1448
"56" 19.2472839355469 13.2175445556641 11.7831993103027
"57" 18.8258 13.691 10.6664
"58" 18.5249 14.1522 9.514
"59" 17.8873 14.3102 8.4027
"60" 17.1426 14.3218 7.3602
"61" 16.6527 14.4689 6.1774
"62" 16.1192 14.1576 5.0564
"63" 15.5477 13.7576 3.9721
"64" 14.6356 13.1781 3.3717
"65" 13.4617671966553 12.6546239852905 3.2519474029541
"66" 19.2472839355469 13.2175445556641 11.7831993103027
"67" 13.1217727661133 7.79684257507324 0.38294792175293
"68" 13.4617671966553 12.6546239852905 3.2519474029541
"69" 13.1217727661133 7.79684257507324 0.38294792175293
"70" 13.179 6.6722 1.6436
"71" 13.2151 5.81 3.1092
"72" 13.1167 5.3234 4.7333
"73" 13.146 5.0782 6.4172
"74" 13.1521 4.9283 8.1076
"75" 13.2318 4.8101 9.8041
"76" 13.2721 4.4729 11.473
"77" 13.2196 4.305 13.1655
"78" 13.1615 4.099 14.8545
"79" 13.1573 3.9005 16.5407
"80" 13.1553 3.7523 18.2347
"81" 13.1244 3.7309 19.9359
"82" 13.2246 3.8652 21.6246
"83" 13.1497 4.0509 23.3107
"84" 13.1358 4.327 24.9858
"85" 13.154 4.4241 26.6701
"86" 13.1126 4.3046 28.3667
"87" 13.0486030578613 4.29139232635498 30.0606937408447
"88" 13.3480110168457 13.8289842605591 31.3917121887207
"89" 13.0486030578613 4.29139232635498 30.0606937408447
"90" 13.2259130477905 14.5775346755981 0.97262978553772
"91" 5.01455211639404 14.5001449584961 9.6011266708374
"92" 5.6498 14.9451 8.9834
"93" 6.2339 15.4682 8.4225
"94" 6.7703 15.6706 7.6136
"95" 7.358 15.7306 6.8168
"96" 7.9398 15.7765 6.0148
"97" 8.5506 15.6429 5.2474
"98" 9.1237 15.4969 4.4508
"99" 9.6774 15.315 3.6545
"100" 10.2552 15.2192 2.8882
"101" 10.8964 15.2138 2.1408
"102" 11.5868 15.3373 1.5154
"103" 12.3171 14.9325 1.1267
"104" 13.2259130477905 14.5775346755981 0.97262978553772
"105" 5.01455211639404 14.5001449584961 9.6011266708374
"106" 9.96457386016846 14.2304267883301 6.87378692626953
"107" 9.53571796417236 7.26524257659912 4.38649892807007
"108" 9.2738 6.4896 5.357
"109" 8.8758 5.9252 6.4083
"110" 8.4991 5.6718 7.594
"111" 7.8356 5.5617 8.6503
"112" 7.0166 5.7735 9.448
"113" 6.1805 6.0649 10.3638
"114" 5.5411 6.6287 11.3072
"115" 4.796 7.4667 11.9044
"116" 4.3855 8.654 11.8178
"117" 4.2533 9.8577 11.4458
"118" 4.1819 10.9713 10.8421
"119" 4.4715 11.9309 10.0658
"120" 5.0159 12.7559 9.2644
"121" 5.7637 13.2272 8.3833
"122" 6.5673 13.3492 7.4004
"123" 7.3484 13.3474 6.3959
"124" 8.1288 12.91 5.4956
"125" 8.8394 12.1284 4.8129
"126" 9.3017 11.0004 4.4465
"127" 9.462 9.7759 4.1443
"128" 9.5377 8.5125 4.12
"129" 7.08919525146484 13.3854131698608 11.6181926727295
"130" 7.5604 13.8387 10.5028
"131" 8.195 14.0918 9.376
"132" 8.5925 14.2769 8.1586
"133" 9.455 14.4713 7.2243
"134" 10.0891 14.4237 6.0789
"135" 10.6408 14.1524 4.9156
"136" 11.2098 13.6899 3.8283
"137" 12.2186 13.078 3.2994
"138" 13.4617671966553 12.6546239852905 3.2519474029541
"139" 7.08919525146484 13.3854131698608 11.6181926727295
"140" 21.6539993286133 17.4349994659424 20.4636001586914
"141" 21.6072998046875 17.4871006011963 20.5214996337891
"142" 21.6072998046875 17.4871006011963 20.5214996337891
"143" 21.6650619506836 17.7965793609619 20.9937324523926
"144" 21.7555999755859 17.8791999816895 21.1858005523682
"145" 21.8064994812012 17.2570991516113 20.3031005859375
"146" 21.7579002380371 17.4361991882324 20.5216999053955
"147" 21.7574043273926 17.4492492675781 20.5424499511719
"148" 21.8271236419678 17.7748069763184 21.0482921600342
"149" 22.0416393280029 17.7926063537598 21.2939376831055
"150" 21.9098682403564 17.1773586273193 20.2586536407471
"151" 21.963436126709 17.2552261352539 20.4250144958496
"152" 22.0097999572754 17.4465007781982 20.7287006378174
"153" 23.2264995574951 17.6917991638184 20.9599990844727
"154" 23.2293224334717 17.7435054779053 21.0756912231445
"155" 23.1259174346924 17.2415428161621 20.2958431243896
"156" 23.1623973846436 17.2835578918457 20.3179035186768
"157" 23.1767921447754 17.3301753997803 20.4015445709229
"158" 23.3726921081543 17.7882232666016 20.9577522277832
"159" 23.2557392120361 17.7588329315186 21.0755939483643
"160" 23.1504955291748 17.262092590332 20.2981452941895
"161" 23.1746997833252 17.2839393615723 20.3030204772949
"162" 23.1767997741699 17.3344993591309 20.4109992980957
"163" 23.2679767608643 17.7056064605713 20.9339714050293
"164" 23.226900100708 17.7420997619629 21.0757007598877
"165" 22.8052940368652 17.1280727386475 20.514232635498
"166" 22.8969230651855 17.2557392120361 20.6451358795166
"167" 22.9408645629883 17.3550205230713 20.7793121337891
