"V1" "V2" "V3"
"1" 49446.83984375 10131.5078125 17309.3515625
"2" 48790.7978 10417.3317 15345.8567
"3" 47940.2424 10537.5307 13428.1852
"4" 46927.7325 10788.7496 11599.6729
"5" 45731.1057 11026.0157 9875.5644
"6" 44353.0921 11199.2618 8278.8207
"7" 42869.8196 11275.5077 6782.9735
"8" 41236.5733 11280.4348 5441.3104
"9" 39484.3602 11199.4473 4297.6876
"10" 37701.406 11184.4123 3203.7324
"11" 35784.2341 11028.7155 2340.4001
"12" 33835.9593 10969.1709 1524.5482
"13" 31800.5906 10787.9101 977.0378
"14" 29712.7326 10682.9612 681.1351
"15" 27604.6856 10639.6276 606.0042
"16" 25501.76953125 10590.146484375 452.722412109375
"17" 47128.1875 16023.435546875 29561.72265625
"18" 47978.4813 16171.961 30102.8302
"19" 48895.2845 16005.1441 30481.9606
"20" 49842.7429 15860.3789 30177.025
"21" 50803.0006 16146.7929 30179.783
"22" 51359.6867 16579.2093 30834.1697
"23" 51340.3461 17190.6444 31655.5241
"24" 50673.9947 17566.7082 32197.4982
"25" 49707.7447 17860.385 32418.9319
"26" 48719.5061 18138.9035 32373.2552
"27" 47788.7947 18307.3166 31971.353
"28" 47048.9558 18191.8143 31332.5507
"29" 46644.9828 17592.7046 30643.1961
"30" 46696.2408 16874.9196 29927.2452
"31" 49446.83984375 10131.5078125 17309.3515625
"32" 33528.75 9863.1455078125 7197.43896484375
"33" 32293.83203125 5075.40185546875 5967.40673828125
"34" 30911.9101 4273.3628 6600.4826
"35" 29868.7879 3566.5263 7784.6698
"36" 29276.6271 2851.2567 9243.0793
"37" 28985.4572 2248.6329 10840.5853
"38" 29463.1249 1902.7178 12459.8251
"39" 29965.2673 1716.7974 14105.9832
"40" 30945.7084 1593.1577 15506.3178
"41" 32207.2295 1641.0181 16695.7021
"42" 33597.199 1877.1758 17641.8109
"43" 35204.2343 2251.3921 18145.4011
"44" 36825.0252 2717.2574 18092.8908
"45" 38290.844 3169.5749 17337.06
"46" 39604.2723 3887.0177 16465.1385
"47" 40308.588 4561.6821 15063.4366
"48" 40606.0727 5334.3868 13543.3975
"49" 40640.7585 6071.5177 11975.2387
"50" 40279.4371 6600.5722 10387.1342
"51" 39445.3143 6980.2256 8945.6
"52" 38182.0343 7253.075 7798.5299
"53" 36737.1877 7192.065 6842.8653
"54" 35227.6755 6854.4449 6091.4459
"55" 33760.1655 5996.2445 5858.8651
"56" 48551.296875 9297.625 17596.466796875
"57" 46573.6397 9160.7382 15329.4779
"58" 44326.3379 9568.8975 13361.5002
"59" 42198.0477 10132.2699 11312.582
"60" 39996.7535 10322.3758 9287.1761
