"V1" "V2" "V3"
"1" 60.8130836486816 33.9725685119629 20.7349090576172
"2" 59.9773 31.8646 19.4088
"3" 58.9565 29.6877 18.3651
"4" 57.7981 27.394 17.8733
"5" 56.4979 25.2547 17.1595
"6" 55.8729 22.9529 16.0839
"7" 55.1509 20.9318 14.585
"8" 54.2331 18.916 13.1946
"9" 52.9204 16.9674 12.033
"10" 51.1809 15.2928 10.9925
"11" 49.3339 13.7083 10.0034
"12" 47.1453 12.4333 9.3426
"13" 44.8219 11.3042 9.2402
"14" 42.6954 9.8551 8.7982
"15" 40.404 8.8762 8.0207
"16" 37.9321365356445 8.39082527160645 7.3584098815918
"17" 55.424373626709 67.9180908203125 9.84899520874023
"18" 57.521 67.3802 10.0945
"19" 59.5331 66.8725 10.9309
"20" 61.7424 66.6127 11.083
"21" 63.9658 66.6624 10.9636
"22" 65.8108 67.762 10.9983
"23" 66.1066 69.873 10.9519
"24" 65.8063 72.0748 11.0973
"25" 64.4386 73.5245 11.2757
"26" 62.245 73.902 11.3976
"27" 60.061 73.6178 11.1761
"28" 57.955 73.0824 10.6269
"29" 56.2363 71.962 9.8444
"30" 55.2434 70.0188 9.4974
"31" 60.8130836486816 33.9725685119629 20.7349090576172
"32" 38.9928970336914 28.6245746612549 18.3910484313965
"33" 43.6119384765625 19.320821762085 30.3430671691894
"34" 41.4679 18.3649 30.4682
"35" 39.2637 17.5528 30.4994
"36" 36.9617 17.1911 30.761
"37" 34.8671 17.6799 31.5252
"38" 33.1532 18.8375 32.6467
"39" 31.8629 20.4043 33.7871
"40" 31.1842 22.2858 35.0119
"41" 30.9385 24.3848 36.0349
"42" 31.1792 26.4773 37.0172
"43" 31.9165 28.4225 38.0154
"44" 33.5232 29.9269 38.7927
"45" 35.5613 30.9763 39.236
"46" 37.8009 31.5572 39.4149
"47" 40.1083 31.6822 39.0027
"48" 42.3096 31.2149 38.4101
"49" 44.266 30.5473 37.2948
"50" 45.8405 29.3986 36.0413
"51" 47.1821 27.9705 34.7428
"52" 47.75 26.2265 33.2728
"53" 47.7366 24.2687 32.006
"54" 47.0711 22.3913 30.8743
"55" 45.4727 20.7581 30.4295
"56" 44.2806854248047 33.7655639648438 19.5055656433106
"57" 42.1513 32.4239 19.5748
"58" 40.8131 30.2204 19.314
"59" 39.4973 28.215 18.3983
"60" 38.898 25.9404 17.2078
"61" 38.6038 23.5246 16.1853
"62" 38.8602 21.1688 14.9802
"63" 39.1687 18.6018 14.4033
"64" 38.2413 16.5568 13.1976
"65" 35.8030052185059 15.6237907409668 13.5690631866455
"66" 44.2806854248047 33.7655639648438 19.5055656433106
"67" 31.8421306610107 13.3131332397461 26.7414207458496
"68" 35.8030052185059 15.6237907409668 13.5690631866455
"69" 31.8421306610107 13.3131332397461 26.7414207458496
"70" 30.8837 15.71 29.0362
"71" 30.031 18.1248 31.5326
"72" 29.1514 20.8063 33.7202
"73" 28.4305 23.8098 35.5195
"74" 27.8989 27.0949 36.789
"75" 27.2323 30.4946 37.587
"76" 26.8887 34.0524 37.6513
"77" 26.8062 37.6294 37.5476
"78" 26.581 41.1671 37.8937
"79" 26.3622 44.7239 38.0064
"80" 26.6516 48.2498 37.5123
"81" 27.0054 51.6591 36.4906
"82" 27.2416 55.1072 35.5818
"83" 27.5072 58.6221 34.9826
"84" 27.5156 62.0883 34.1089
"85" 27.8425 65.4532 32.9345
"86" 28.2929 68.7711 31.6859
"87" 29.5352096557617 71.6575317382812 30.2954177856445
"88" 35.995719909668 68.4043579101562 11.9253492355347
"89" 29.5352096557617 71.6575317382812 30.2954177856445
"90" 37.9321365356445 8.39082527160645 7.3584098815918
"91" 14.0889005661011 30.3290920257568 3.63216018676758
"92" 16.0731 28.6352 3.6501
"93" 17.7682 26.6479 3.9259
"94" 19.1696 24.4261 3.83
"95" 20.5907 22.339 3.192
"96" 22.3312 20.4132 2.8785
"97" 24.1427 18.5163 2.9728
"98" 25.9076 16.5709 2.8177
"99" 27.8571 14.8301 2.944
"100" 29.7429 13.1756 3.4116
"101" 31.7118 12.0048 4.7055
"102" 33.533 10.4299 5.7145
"103" 35.5611 8.9637 6.4114
"104" 37.9321365356445 8.39082527160645 7.3584098815918
"105" 14.0889005661011 30.3290920257568 3.63216018676758
"106" 31.0781440734863 28.1328601837158 15.7221622467041
"107" 19.4049568176269 19.2087364196777 22.1720676422119
"108" 21.0423 17.9929 23.41
"109" 22.7746 17.0466 24.7716
"110" 24.5576 16.7299 26.3532
"111" 26.0809 16.948 28.1536
"112" 26.7217 18.1184 30.1398
"113" 27.1895 19.6506 31.9177
"114" 26.9727 21.4923 33.4201
"115" 26.2796 23.5407 34.4728
"116" 25.1355 25.5619 35.1209
"117" 24.2792 27.7185 35.6216
"118" 22.696 29.4448 35.2458
"119" 20.7571 30.5339 34.357
"120" 18.9299 31.1311 32.8992
"121" 17.2923 31.2484 31.1692
"122" 15.9784 30.9419 29.1733
"123" 15.3127 29.8826 27.1304
"124" 14.9009 28.5089 25.1904
"125" 15.1062 26.768 23.6454
"126" 15.7599 24.8591 22.3498
"127" 16.7254 22.8776 21.4119
"128" 17.9037 20.8634 21.2617
"129" 26.2294273376465 34.5422744750977 13.7587471008301
"130" 27.1541 32.2978 14.376
"131" 28.3589 30.0495 15.0623
"132" 30.1031 28.1448 15.2976
"133" 31.4777 25.9327 14.8588
"134" 32.3442 23.5515 14.1186
"135" 33.0071 21.189 13.1375
"136" 33.5684 18.7962 12.1478
"137" 34.432 16.4308 11.5886
"138" 35.8030052185059 15.6237907409668 13.5690631866455
"139" 26.2294273376465 34.5422744750977 13.7587471008301
"140" 56.2800750732422 68.6079483032227 9.49489879608154
"141" 56.3686561584473 69.4592208862305 9.43740653991699
"142" 56.5671882629395 70.2169189453125 9.43962001800537
"143" 56.807071685791 71.0352554321289 9.50194263458252
"144" 57.2084922790527 72.0890350341797 9.82841491699219
