"V1" "V2" "V3"
"1" 4.80762481689453 25.5619411468506 4.71110057830811
"2" 5.065 26.0341 3.9276
"3" 5.4716 26.7099 3.3709
"4" 5.88 27.3614 2.7865
"5" 6.3585 28.0974 2.3807
"6" 6.8909 28.8281 2.0321
"7" 7.4746 29.5821 2.0401
"8" 8.0675 30.2863 1.7902
"9" 8.7305 30.9899 1.8558
"10" 9.4167 31.671 1.9124
"11" 10.1414 32.3087 1.993
"12" 10.8977 32.8806 2.1873
"13" 11.6286 33.4492 2.4357
"14" 12.3759 33.9342 2.8141
"15" 13.1182 34.4552 2.9189
"16" 13.9905233383179 34.8012046813965 2.75310325622559
"17" 7.82796096801758 16.8713569641113 1.28877544403076
"18" 7.342 17.3458 1.4406
"19" 6.6582 17.3721 1.5444
"20" 5.9836 17.128 1.6269
"21" 5.3147 17.3241 1.5659
"22" 4.6565 17.515 1.4078
"23" 4.0672 17.2094 1.2472
"24" 4.1747 16.6918 0.7585
"25" 4.6362 16.3457 0.4121
"26" 5.3239 16.2225 0.5763
"27" 5.9868 16.0206 0.6903
"28" 6.6277 15.8832 0.4137
"29" 7.3218 16.014 0.387
"30" 7.788 16.4265 0.7324
"31" 4.80762481689453 25.5619411468506 4.71110057830811
"32" 10.8790779113769 28.4260997772217 4.58393096923828
"33" 9.83447265625 32.103443145752 10.85227394104
"34" 9.4237 31.2831 11.3234
"35" 9.0294 30.3704 11.5698
"36" 8.659 29.489 11.9441
"37" 8.1139 28.6392 12.1553
"38" 7.5013 27.8146 12.1424
"39" 6.9279 27.02 11.8592
"40" 6.3105 26.4482 11.2724
"41" 5.7929 25.9906 10.5191
"42" 5.4036 25.9855 9.5751
"43" 5.1745 26.2613 8.6148
"44" 5.1573 26.7042 7.687
"45" 5.5018 27.3052 6.9467
"46" 5.8606 27.9672 6.2568
"47" 6.37 28.756 5.8417
"48" 6.9652 29.573 5.6454
"49" 7.6205 30.3612 5.5711
"50" 8.2178 31.165 5.79
"51" 8.772 31.8779 6.276
"52" 9.2248 32.3954 7.0312
"53" 9.6138 32.6142 7.9556
"54" 9.8581 32.6729 8.9522
"55" 10.0139 32.526 9.9268
"56" 9.25830459594727 23.9386024475098 4.89284706115723
"57" 9.3773 25.1393 4.9038
"58" 9.5235 26.3221 4.7039
"59" 10.0879 27.3751 4.5498
"60" 10.687 28.4231 4.4707
"61" 11.1609 29.525 4.3533
"62" 11.8495 30.4911 4.2474
"63" 12.5212 31.4847 4.3997
"64" 13.176 32.4387 4.7083
"65" 14.1717901229858 32.9326133728027 5.14252853393555
"66" 9.25830459594727 23.9386024475098 4.89284706115723
"67" 14.2240390777588 36.0484924316406 9.62606525421143
"68" 14.1717901229858 32.9326133728027 5.14252853393555
"69" 14.2240390777588 36.0484924316406 9.62606525421143
"70" 14.2719 35.1611 10.8392
"71" 14.2358 33.7965 11.5317
"72" 14.2615 32.3614 12.078
"73" 14.269 30.9127 12.5868
"74" 14.3694 29.5257 13.2434
"75" 14.2967 28.1902 13.9935
"76" 14.2189 26.8137 14.6595
"77" 14.22 25.3029 14.8907
"78" 14.2408 23.7763 15.0005
"79" 14.3466 22.2709 15.2648
"80" 14.3788 20.7595 15.5146
"81" 14.392 19.2304 15.6655
"82" 14.4102 17.711 15.8952
"83" 14.4386 16.1833 16.0586
"84" 14.4602 14.6549 16.2113
"85" 14.5438 13.1538 16.5336
"86" 14.663 11.6502 16.509
"87" 14.9827032089233 10.1883249282837 16.6536026000977
"88" 14.7182989120483 7.07323169708252 5.42506885528565
"89" 14.9827032089233 10.1883249282837 16.6536026000977
"90" 13.9905233383179 34.8012046813965 2.75310325622559
"91" 23.7254104614258 26.1637706756592 4.01097011566162
"92" 23.2085 26.7971 3.2741
"93" 22.7352 27.5685 2.6383
"94" 22.1003 28.3739 2.2268
"95" 21.4626 29.2257 1.9322
"96" 20.7643 30.0305 1.6509
"97" 19.9984 30.8236 1.6193
"98" 19.1994 31.5856 1.626
"99" 18.3504 32.2731 1.7876
"100" 17.5034 32.921 2.0777
"101" 16.6678 33.5088 2.4998
"102" 15.79 34.071 2.8507
"103" 14.9353 34.6073 2.8504
"104" 13.9905233383179 34.8012046813965 2.75310325622559
