"V1" "V2" "V3"
"1" 24.2943286895752 12.0061950683594 36.6698379516602
"2" 23.4792 11.4562 36.5756
"3" 22.6774 10.9018 36.7305
"4" 22.0069 10.1569 36.6998
"5" 21.344 9.4225 36.8845
"6" 20.5643 8.7926 36.8792
"7" 19.74 8.23 36.9756
"8" 18.8689 7.7387 37.0429
"9" 18.1214 7.1598 37.373
"10" 17.5968 6.5924 38.0115
"11" 17.0441 5.9647 38.5646
"12" 16.4984 5.2961 39.0697
"13" 15.9465 4.514 39.3763
"14" 15.3599 3.7265 39.5301
"15" 14.5275 3.1919 39.429
"16" 13.5995998382568 3.02952480316162 39.7196006774902
"17" 19.8009567260742 25.48166847229 34.266674041748
"18" 20.4423 24.9445 34.5374
"19" 21.2898 24.9798 34.6424
"20" 22.1432 25.012 34.6364
"21" 22.8562 24.5863 34.4274
"22" 23.4137 24.3077 33.7849
"23" 24.0167 24.3818 33.1954
"24" 24.0552 25.092 32.6804
"25" 23.8557 25.934 32.4783
"26" 23.2317 26.3224 32.8624
"27" 22.5943 26.2972 33.4668
"28" 21.8426 26.366 33.9131
"29" 20.9723 26.322 33.7889
"30" 20.1204 26.1462 33.8403
"31" 24.2943286895752 12.0061950683594 36.6698379516602
"32" 16.0376472473144 12.1438913345337 41.279598236084
"33" 19.7268257141113 6.66559982299805 46.4767150878906
"34" 19.8565 7.205 47.2701
"35" 20.0437 8.0448 47.764
"36" 20.3097 8.8831 48.2127
"37" 20.7682 9.7526 48.3267
"38" 21.3463 10.5529 48.2485
"39" 22.0172 11.1822 47.8919
"40" 22.5926 11.7985 47.3601
"41" 23.1684 12.2473 46.6948
"42" 23.616 12.4167 45.8292
"43" 23.9004 12.3206 44.8906
"44" 24.0038 12.0349 43.943
"45" 23.8749 11.5723 43.0717
"46" 23.5686 10.9583 42.3596
"47" 23.133 10.264 41.8053
"48" 22.6062 9.4851 41.4739
"49" 22.0134 8.7372 41.2621
"50" 21.3224 8.0503 41.4718
"51" 20.6261 7.5167 41.9367
"52" 20.2439 6.9901 42.6728
"53" 19.9557 6.6407 43.5594
"54" 19.818 6.4092 44.5134
"55" 19.7544 6.4926 45.4953
"56" 18.3423633575439 17.1375007629394 39.398811340332
"57" 17.9766 16.5003 39.8598
"58" 17.6781 15.8147 40.3372
"59" 17.1878 15.1978 40.7513
"60" 16.7116 14.45 40.8622
"61" 16.4472 13.6542 41.1277
"62" 16.0605 12.8488 41.1574
"63" 15.8309 12.0376 41.3366
"64" 15.3684 11.3035 41.5201
"65" 14.7166538238525 10.7537975311279 41.7804260253906
"66" 18.3423633575439 17.1375007629394 39.398811340332
"67" 14.8821229934692 0.620176315307617 46.8412094116211
"68" 14.7166538238525 10.7537975311279 41.7804260253906
"69" 14.8821229934692 0.620176315307617 46.8412094116211
"70" 14.9477 1.9491 47.8713
"71" 15.0248 3.4938 48.5695
"72" 15.0473 5.1156 49.0228
"73" 15.0565 6.7959 49.2197
"74" 15.0087 8.4795 49.0982
"75" 14.8748 10.1562 49.2727
"76" 14.9766 11.8101 49.5982
"77" 15.072 13.4608 49.9823
"78" 15.2603 15.1156 50.3084
"79" 15.4033 16.7805 50.6013
"80" 15.5312 18.4436 50.9188
"81" 15.7355 20.1008 51.2173
"82" 15.9256 21.7864 51.269
"83" 16.1626 23.4256 51.6361
"84" 16.2112 25.0823 52.0092
"85" 16.3158 26.7615 52.1631
"86" 16.3736 28.4565 52.0881
