"V1" "V2" "V3"
"1" 14.8907794952393 7.46792316436768 5.7972412109375
"2" 14.0823 7.899 5.3823
"3" 13.2392 8.3781 5.1165
"4" 12.3695 8.8604 4.9621
"5" 11.4908 9.3477 4.899
"6" 10.5842 9.7806 4.9257
"7" 9.6858 10.2328 4.9345
"8" 8.8019 10.703 5.0305
"9" 7.9223 11.1786 5.1521
"10" 7.0566 11.6874 5.1978
"11" 6.1765 12.1723 5.27
"12" 5.334 12.7182 5.3312
"13" 4.5191 13.3074 5.3574
"14" 3.7617 13.9554 5.2148
"15" 3.1683 14.714 4.9375
"16" 2.72897100448608 15.5792322158813 4.67400360107422
"17" 27.1798629760742 8.51172161102295 3.82240962982178
"18" 26.9079 7.9443 4.134
"19" 27.1464 7.2897 4.4217
"20" 27.3958 6.6247 4.6792
"21" 27.2671 5.9057 4.6929
"22" 27.3826 5.2688 4.3676
"23" 27.9594 4.9756 3.9828
"24" 28.668 5.0352 3.7407
"25" 28.9971 5.5236 3.843
"26" 29.0601 6.2552 4.0286
"27" 29.0116 6.9348 3.7522
"28" 28.7027 7.456 3.2992
"29" 28.3854 8.1325 3.25
"30" 27.8155 8.4994 3.4039
"31" 14.8907794952393 7.46792316436768 5.7972412109375
"32" 14.5557098388672 10.3709182739258 6.19368124008179
"33" 7.35446071624756 12.4035310745239 13.8766794204712
"34" 8.5295 12.122 14.5701
"35" 9.7922 11.7835 15.0885
"36" 11.0689 11.2846 15.3968
"37" 12.2741 10.582 15.5432
"38" 13.2336 9.5852 15.3205
"39" 14.3138 8.7927 14.9663
"40" 15.4329 8.1329 14.4875
"41" 16.1138 7.4116 13.4972
"42" 16.1955 7.0146 12.1687
"43" 15.9605 6.7581 10.8112
"44" 15.386 6.7879 9.5267
"45" 14.75 7.1786 8.3341
"46" 13.8813 7.6958 7.3835
"47" 12.7683 8.3947 6.9024
"48" 11.5088 8.9925 6.7297
"49" 10.2111 9.5416 6.7435
"50" 8.9779 10.0366 7.1629
"51" 7.9271 10.7257 7.7955
"52" 7.0497 11.3062 8.7004
"53" 6.5865 11.6559 9.9745
"54" 6.3703 11.9046 11.3321
"55" 6.6941 12.151 12.6576
"56" 16.5317287445068 9.82576084136963 6.68006229400635
"57" 15.2279 10.1278 6.2693
"58" 13.9389 10.3388 5.7771
"59" 12.756 11.0978 5.6319
"60" 11.6054 11.9237 5.5743
"61" 10.371 12.6096 5.4651
"62" 9.0238 12.9479 5.6611
"63" 7.8152 13.6041 5.9961
"64" 6.8745 14.4508 6.6129
"65" 6.53207683563232 15.6941213607788 7.17934608459473
"66" 16.5317287445068 9.82576084136963 6.68006229400635
"67" 2.74556541442871 16.2141990661621 12.0619173049927
"68" 6.53207683563232 15.6941213607788 7.17934608459473
"69" 2.74556541442871 16.2141990661621 12.0619173049927
