"V1" "V2" "V3"
"1" 18.1255702972412 7.26246738433838 6.26384258270264
"2" 17.4313 7.7201 6.1579
"3" 16.7409 8.1881 6.0868
"4" 16.0704 8.6901 6.098
"5" 15.3838 9.1643 6.1661
"6" 14.7153 9.6616 6.2619
"7" 14.0442 10.1472 6.3908
"8" 13.4069 10.6618 6.5559
"9" 12.8226 11.1707 6.8749
"10" 12.3038 11.6962 7.2641
"11" 11.6908 12.1296 7.6241
"12" 10.9852 12.528 7.8352
"13" 10.3221 13.0211 7.8131
"14" 9.7281 13.557 7.6382
"15" 9.3353 14.2692 7.8149
"16" 9.29398918151855 14.9861507415772 8.19463157653809
"17" 28.1338748931885 8.22707939147949 3.52286529541016
"18" 28.1175 7.7126 3.8039
"19" 28.2781 7.1367 3.9212
"20" 28.125 6.5659 3.8178
"21" 27.8691 6.0474 3.6314
"22" 27.6567 5.4949 3.5081
"23" 28.0312 5.2651 3.1261
"24" 28.4726 5.3912 2.7331
"25" 28.6735 5.8841 2.6088
"26" 28.8233 6.4058 2.8615
"27" 29.0698 6.9234 2.9079
"28" 29.1693 7.4865 2.7237
"29" 28.9539 8.023 2.758
"30" 28.4969 8.2745 3.0496
"31" 18.1255702972412 7.26246738433838 6.26384258270264
"32" 16.1953315734863 11.5708951950073 7.43938159942627
"33" 14.5055694580078 11.6663732528687 15.6293659210205
"34" 15.6792 11.589 16.2167
"35" 16.929 11.3413 16.5389
"36" 18.1352 11.007 16.8668
"37" 19.1286 10.1543 16.9081
"38" 19.918 9.1342 16.6457
"39" 20.7974 8.2624 16.3558
"40" 21.6884 7.7897 15.5753
"41" 22.1417 7.1121 14.5418
"42" 22.2787 6.7045 13.2945
"43" 22.094 6.4447 12.0203
"44" 21.4966 6.3393 10.8671
"45" 20.5165 6.4156 10.0035
"46" 19.4327 6.8112 9.373
"47" 18.3468 7.4299 8.982
"48" 17.3093 8.2036 8.7296
"49" 16.3462 9.0953 8.6123
"50" 15.4176 9.972 8.8704
"51" 14.5671 10.7366 9.497
"52" 14.032 11.2556 10.5729
"53" 13.711 11.5639 11.8112
"54" 13.7295 11.6934 13.1193
"55" 14.0378 11.7516 14.3972
"56" 19.4611434936523 9.33940887451172 8.1537914276123
"57" 18.9542 9.7691 7.4741
"58" 18.2445 10.397 7.3395
"59" 17.4371 10.904 7.3768
