"V1" "V2" "V3"
"1" 44.5498695373535 32.3517150878906 20.8039894104004
"2" 44.4374 32.4326 19.6568
"3" 44.2602 32.3629 18.5188
"4" 43.9798 32.2898 17.4013
"5" 43.7056 32.0056 16.3307
"6" 43.4055 31.6467 15.2764
"7" 43.0222 31.3294 14.2363
"8" 42.6533 30.951 13.2152
"9" 42.2689 30.5025 12.2267
"10" 41.8066 30.0444 11.272
"11" 41.4081 29.6223 10.2737
"12" 40.9203 29.4245 9.2627
"13" 40.417 29.2964 8.2315
"14" 39.7139 29.0585 7.3662
"15" 38.9672 28.3828 6.7997
"16" 38.009651184082 27.9870567321777 6.28824996948242
"17" 37.9485893249512 40.3773422241211 30.566011428833
"18" 38.7013 39.7284 30.5721
"19" 39.4796 39.5305 31.1338
"20" 40.3284 39.376 31.6005
"21" 41.3107 39.4595 31.761
"22" 42.1992 39.8126 32.0769
"23" 42.6707 40.271 32.7454
"24" 42.3103 40.8689 33.4438
"25" 41.5666 41.3154 33.8408
"26" 40.8136 41.4287 33.2538
"27" 39.9993 41.1239 32.8037
"28" 39.2138 41.4876 32.533
"29" 38.4733 41.6252 31.9054
"30" 38.0001 41.1874 31.1259
"31" 44.5498695373535 32.3517150878906 20.8039894104004
"32" 37.6682281494141 30.7913818359375 15.7719879150391
"33" 36.1108741760254 19.8573150634766 18.13525390625
"34" 36.5533 19.8063 19.6321
"35" 37.1572 19.9823 21.0607
"36" 37.8383 20.4277 22.4062
"37" 38.6042 21.1008 23.6041
"38" 39.5745 21.883 24.4752
"39" 40.814 22.8091 24.6266
"40" 41.7523 23.9341 24.0462
"41" 42.5365 25.051 23.2651
"42" 42.9759 26.1066 22.1909
"43" 43.1318 26.8225 20.794
"44" 43.2063 27.3724 19.3286
"45" 43.068 27.642 17.7831
"46" 42.774 27.5034 16.2448
"47" 42.4638 27.0626 14.7709
"48" 42.0701 26.2799 13.4753
"49" 41.5014 25.1833 12.4974
"50" 40.7071 23.8769 12.2392
"51" 39.8157 22.5883 12.3497
"52" 38.8569 21.4925 12.9313
"53" 37.9295 20.7317 13.9312
"54" 37.2047 20.2063 15.2242
"55" 36.5939 19.9208 16.6339
"56" 38.801342010498 32.7474136352539 21.0137996673584
"57" 38.432 32.2707 19.7135
"58" 38.0654 31.6675 18.4528
"59" 37.6954 31.1245 17.1642
"60" 37.6779 30.7613 15.7637
