"V1" "V2" "V3"
"1" 49.884838104248 33.9169120788574 34.6725845336914
"2" 49.6119 35.401 32.452
"3" 49.348 36.2723 29.9291
"4" 48.6551 37.0607 27.4519
"5" 47.7819 37.63 24.9723
"6" 46.889 38.2547 22.5121
"7" 45.9491 38.6857 20.0383
"8" 45.1146 39.129 17.5179
"9" 44.2852 39.5008 14.9851
"10" 43.4074 40.0275 12.5002
"11" 42.5386 40.5275 10.0094
"12" 41.5159 41.2438 7.6404
"13" 40.1917 41.9368 5.4374
"14" 38.4027 42.4607 3.57
"15" 36.2591 42.742 2.0868
"16" 33.6847152709961 42.6002616882324 1.81253623962402
"17" 52.8891220092773 43.7161483764648 62.2901916503906
"18" 54.4598 42.8464 61.6058
"19" 56.2931 42.2969 61.1556
"20" 58.078 43.1175 60.7105
"21" 59.9593 43.4187 61.1706
"22" 61.5746 44.0864 61.9796
"23" 61.9973 44.8281 63.7423
"24" 61.2063 45.2772 65.5334
"25" 59.8641 45.2709 66.981
"26" 58.0352 45.0275 66.515
"27" 56.3761 44.0473 66.7255
"28" 54.3968 44.3562 66.6505
"29" 52.5296 44.4208 65.884
"30" 52.3188 44.5968 64.0362
"31" 49.884838104248 33.9169120788574 34.6725845336914
"32" 40.2005195617676 34.3472213745117 33.8407745361328
"33" 40.6026992797852 22.0757751464844 21.0285453796387
"34" 39.6579 20.4958 22.0472
"35" 39.1895 19.1872 23.6135
"36" 39.0392 18.2497 25.5085
"37" 39.2807 17.4931 27.4778
"38" 39.903 16.8092 29.3781
"39" 41.0458 16.8557 31.1257
"40" 42.415 17.3867 32.6117
"41" 44.1034 17.8271 33.812
"42" 45.8796 18.6194 34.6358
"43" 47.4446 19.9826 35.0496
"44" 48.7597 21.5983 34.7697
"45" 49.8908 23.2214 34.0705
"46" 50.518 24.7345 32.7334
"47" 50.5491 25.971 31.0257
"48" 50.122 26.9009 29.186
"49" 49.4172 27.5216 27.3172
"50" 48.5337 28.0091 25.4499
"51" 47.3588 27.9568 23.6881
"52" 46.0635 27.5428 22.0921
"53" 44.5533 26.5899 20.9808
