"V1" "V2" "V3"
"1" 175.445785522461 88.5943145751953 22.9148559570312
"2" 172.7403 81.1733 18.9093
"3" 168.1345 74.56 15.0514
"4" 164.1936 67.7237 10.9538
"5" 158.6311 61.5347 8.9718
"6" 152.0434 55.6955 9.8979
"7" 145.101 50.1437 9.8044
"8" 138.7579 43.8435 10.2893
"9" 132.1423 38.0597 11.4884
"10" 126.7797 31.1341 13.3386
"11" 121.0873 24.6571 15.5506
"12" 115.292 19.7959 20.1561
"13" 109.5004 15.0939 24.9225
"14" 103.8794 10.1492 29.6692
"15" 97.4089 6.5192 34.6044
"16" 89.3412857055664 4.53475952148438 37.7624816894531
"17" 153.252716064453 135.333786010742 21.7623901367188
"18" 158.4766 133.3501 21.6092
"19" 163.7383 133.7417 20.0033
"20" 168.3076 136.2042 18.8318
"21" 173.2611 135.9532 16.0591
"22" 178.1134 137.3337 13.6298
"23" 181.5394 139.9732 10.6654
"24" 180.8922 144.8615 12.4446
"25" 176.4235 146.2468 15.7196
"26" 171.2368 148.4401 16.1487
"27" 165.8968 150.6124 15.9016
"28" 160.7065 149.0448 15.6512
"29" 157.6076 144.3804 16.9908
"30" 154.7953 139.6589 18.2684
"31" 175.445785522461 88.5943145751953 22.9148559570312
"32" 128.012771606445 65.1437683105469 50.3116455078125
"33" 135.050659179688 54.8898391723633 79.3037719726562
"34" 134.2632 57.9869 84.9156
"35" 133.1125 61.3099 90.3444
"36" 132.617 64.755 95.8229
"37" 132.4042 70.3043 99.0541
"38" 133.0891 76.4371 100.9242
"39" 134.4047 82.7858 100.9757
"40" 135.637 89.0953 100.4734
"41" 139.4233 93.586 98.4803
"42" 144.7461 96.3857 96.2552
"43" 150.6853 96.8337 93.9262
"44" 155.5733 96.0214 89.7404
"45" 158.6234 94.3244 84.5287
"46" 159.1148 91.8551 78.5499
"47" 159.2338 87.8322 73.4832
"48" 159.0878 83.1794 69.0949
"49" 158.0354 77.6809 65.8275
"50" 156.9654 71.9419 63.0611
