x;
1;Skull_left_MX-lateroventral
2;Skull_left_Labial-ridge 2
3;Skull_left_Labial-ridge 3
4;Skull_left_Labial-ridge 4
5;Skull_left_Labial-ridge 5
6;Skull_left_Labial-ridge 6
7;Skull_left_Labial-ridge 7
8;Skull_left_Labial-ridge 8
9;Skull_left_Labial-ridge 9
10;Skull_left_Labial-ridge 10
11;Skull_left_Labial-ridge 11
12;Skull_left_Labial-ridge 12
13;Skull_left_Labial-ridge 13
14;Skull_left_Labial-ridge 14
15;Skull_left_Labial-ridge 15
16;Skull_median_PM-Labial-ridge
17;Skull_left_Mandibular-cond 1
18;Skull_left_Mandibular-cond 2
19;Skull_left_Mandibular-cond 3
20;Skull_left_Mandibular-cond 4
21;Skull_left_Mandibular-cond 5
22;Skull_left_Mandibular-cond 6
23;Skull_left_Mandibular-cond 7
24;Skull_left_Mandibular-cond 8
25;Skull_left_Mandibular-cond 9
26;Skull_left_Mandibular-cond 10
27;Skull_left_Mandibular-cond 11
28;Skull_left_Mandibular-cond 12
29;Skull_left_Mandibular-cond 13
30;Skull_left_Mandibular-cond 14
31;31.Left-MX-lateroventral 1
32;41.Left-MX-PAL-anterior 1
33;Skull_left_Orbit 1
34;Skull_left_Orbit 2
35;Skull_left_Orbit 3
36;Skull_left_Orbit 4
37;Skull_left_Orbit 5
38;Skull_left_Orbit 6
39;Skull_left_Orbit 7
40;Skull_left_Orbit 8
41;Skull_left_Orbit 9
42;Skull_left_Orbit 10
43;Skull_left_Orbit 11
44;Skull_left_Orbit 12
45;Skull_left_Orbit 13
46;Skull_left_Orbit 14
47;Skull_left_Orbit 15
48;Skull_left_Orbit 16
49;Skull_left_Orbit 17
50;Skull_left_Orbit 18
51;Skull_left_Orbit 19
52;Skull_left_Orbit 20
53;Skull_left_Orbit 21
54;Skull_left_Orbit 22
55;Skull_left_Orbit 23
56;Skull_left_Triturating-surf-posterior
57;Skull_left_Triturating-surf 2
58;Skull_left_Triturating-surf 3
59;Skull_left_Triturating-surf 4
60;Skull_left_Triturating-surf 5
61;Skull_left_Triturating-surf 6
62;Skull_left_Triturating-surf 7
63;Skull_left_Triturating-surf 8
64;Skull_left_Triturating-surf 9
65;Skull_median_Anteromedian_triturating_surf
66;33.Left-Triturating-surf-posterior 1
67;1.Skull-anteriormost 1
68;30.Anteromedian-Triturating-surf 1
69;Skull_median_Anteriormost
70;Skull_median_midline 2
71;Skull_median_midline 3
72;Skull_median_midline 4
73;Skull_median_midline 5
74;Skull_median_midline 6
75;Skull_median_midline 7
76;Skull_median_midline 8
77;Skull_median_midline 9
78;Skull_median_midline 10
79;Skull_median_midline 11
80;Skull_median_midline 12
81;Skull_median_midline 13
82;Skull_median_midline 14
83;Skull_median_midline 15
84;Skull_median_midline 16
85;Skull_median_midline 17
86;Skull_median_midline 18
87;Skull_median_PA-posteriormost-roof
88;50.Occipital-cond-posterior 1
89;4.PA-posteriormost-roof 1
90;29.PM-Labial-ridge 1
91;Skull_right_MX-lateroventral
