Taxon;Specimen;Source;Type;full_dataset;partial_dataset;Seeds_fruits;Flowers;Stems;Terrestrial_leaves;Aquatic_leaves;Fungi;Vertebrates;Jellyfish;Aquatic_insects;Terrestrial_arthropods;Worms;Mollusks;Crustaceans;Mostly_vegetable_matter (herbivory);Mostly_animal_matter (carnivory);Mostly_hard_food (durophagy);Feed_on_water;Feed_on_land;Suction_feeding;Marine;Open_swimmer;Food_hardness;Food_evasiveness;Neck_retraction;Side_neck;Body_size;Neck_ratio;Reference (body size);Clade;Reference (diet)*;Reference (marine)*;Reference (neck)*;File_name
Aldabrachelys_gigantea;NHMUK 77.11.12.2;CT data avilable under Morphosource Media ID 000077393;Extant;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.5;0;1;0;1190;NA;Itescu et al. 2014;Testudinidae;"Hamilton & Coe 1982; Bjorndal 1985";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Aldabrachelys_gigantea_NHMUK7711122
Amyda_cartilaginea;FMNH 244117;CT data avilable under Morphosource Media ID 000077414;Extant;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0.6;0.6;1;0;830;1;Itescu et al. 2014;Trionychia;"Jensen & Das 2008; Auliya et al. 2016";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Amyda_cartilaginea_FMNH244117
Apalone_mutica;PCHP 2746;CT data avilable under Morphosource Media ID 000114285;Extant;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0.5;0.67;1;0;345;0.9;Itescu et al. 2014;Trionychia;Plummer & Farrar 1981;"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Apalone_mutica_PCHP2746
Apalone_spinifera;FMNH 22178;CT data avilable under Morphosource Media ID 000042603;Extant;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0.75;1;1;0;550;0.9;Itescu et al. 2014;Trionychia;Bonin et al. 2006;"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Apalone_spinifera_FMNH22178
Batagur_baska;NHMUK 67.9.28.7;CT data avilable under Morphosource Media ID 000077389;Extant;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0.67;0.17;1;0;600;0.39;Itescu et al. 2014;Geoemydidae;"Kimmel 1980; Moll 1980; Davenport et al. 1992; Moll et al. 2009";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Batagur_baska_NHMUK679287
Caretta_caretta;NHMUK 1938.1.9.1;CT data avilable under Morphosource Media ID 000077381;Extant;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0.62;0.62;0;0;1200;0.32;Angielczyk et al. 2015;Chelonioidea;"Tomas et al. 2001; Parker et al. 2005; Jones & Seminoff 2013";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Caretta_caretta_NHMUK1938191
Carettochelys_insculpta;NHMUK 1903.7.10.1;CT data avilable under Morphosource Media ID 000077378;Extant;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0.56;0.44;1;0;700;0.4;Angielczyk et al. 2015;Trionychia;"Georges et al. 2008; Welsh et al. 2017";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Carettochelys_insculpta_NHMUK19037101
Chelodina_oblonga;NHMUK 64.12.22;CT data avilable under Morphosource Media ID 000077387;Extant;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0.5;1;1;1;400;0.77;Angielczyk et al. 2015;Chelidae;"Kennett & Tory 1996; Welsh et al. 2017";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Chelodina_oblonga_NHMUK64.12.22
Chelonia_mydas;NHMUK 1969.776;CT data avilable under Morphosource Media ID 000077384;Extant;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1530;0.34;Angielczyk et al. 2015;Chelonioidea;"Garnett et al. 1985; Guebert-Bartholo et al. 2011; Jones & Seminoff 2013";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Chelonia_mydas_NHMUK1969776
Chelonoidis_carbonaria;LIRP unnumbered;CT data avilable under Morphosource Media ID 000398718;Extant;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0.3;0.1;1;0;593;0.519;Itescu et al. 2014;Testudinidae;"Moskovits & Bjorndal 1990; Wang et al. 2011";"Pritchard 1979; Bonin et al. 2006";Pritchard 1979;Chelonoidis_carbonaria_unnumbered
